transaccionId,cuentaId,monto,fecha,autorizado
TX-00049,CU-0049,24769.4,2023-10-04,true
TX-00050,CU-0050,20686.13,2023-08-15,true
TX-00051,CU-0051,6383.86,2024-12-02,true
TX-00052,CU-0052,16187.45,2023-07-01,false
TX-00053,CU-0053,46080.25,2023-07-26,true
TX-00054,CU-0054,44956.66,2023-12-13,false
TX-00055,CU-0055,26058.22,2024-06-04,true
TX-00056,CU-0056,16261.81,2024-03-01,true
TX-00057,CU-0057,49288.33,2023-11-05,false
TX-00058,CU-0058,12551.7,2024-10-16,true
TX-00059,CU-0059,34783.17,2023-04-30,false
TX-00060,CU-0060,20772.15,2023-07-12,true
TX-00061,CU-0061,7438.05,2024-02-09,false
TX-00062,CU-0062,32065.54,2024-03-15,true
TX-00063,CU-0063,41976.93,2024-12-17,false
TX-00064,CU-0064,24091.93,2024-06-03,true
TX-00065,CU-0065,21248.62,2023-08-18,true
TX-00066,CU-0066,35433.98,2024-02-03,true
TX-00067,CU-0067,36591.42,2024-03-08,true
TX-00068,CU-0068,24139.02,2024-02-20,true
TX-00069,CU-0069,48651.6,2024-09-12,true
TX-00070,CU-0070,49809.8,2024-10-29,false
TX-00071,CU-0071,40617.07,2023-01-05,true
TX-00072,CU-0072,9436.27,2024-03-03,true
TX-00073,CU-0073,31020.88,2023-10-24,true
TX-00074,CU-0074,39964.97,2023-01-09,true
TX-00075,CU-0075,10169.94,2023-08-12,true
TX-00076,CU-0076,22230.02,2024-12-12,false
TX-00077,CU-0077,34178.7,2023-08-23,true
TX-00078,CU-0078,34528.19,2023-06-04,true
TX-00079,CU-0079,34339.75,2024-03-15,false
TX-00080,CU-0080,33069.2,2024-07-29,true
TX-00081,CU-0081,46506.58,2024-05-29,true
TX-00082,CU-0082,40478.87,2023-08-03,true
TX-00083,CU-0083,32550.07,2024-09-23,true
TX-00084,CU-0084,20713.15,2023-12-01,true
TX-00085,CU-0085,48859.12,2024-05-18,true
TX-00086,CU-0086,49394.58,2023-02-01,true
TX-00087,CU-0087,34427.87,2024-11-13,true
TX-00088,CU-0088,17154.07,2024-12-06,true
TX-00089,CU-0089,31571.66,2023-02-18,true
TX-00090,CU-0090,22744.19,2023-03-05,true
TX-00091,CU-0091,7596.62,2024-09-29,true
TX-00092,CU-0092,8007.08,2024-09-05,true
TX-00093,CU-0093,45347.67,2023-03-17,true
TX-00094,CU-0094,20688.66,2024-08-11,true
TX-00095,CU-0095,22028.77,2023-12-21,true
TX-00096,CU-0096,41985.66,2024-11-02,false
TX-00097,CU-0097,40732.1,2023-05-15,true
TX-00098,CU-0098,9493.7,2023-09-20,false
TX-00099,CU-0099,3850.44,2023-09-01,true
TX-00100,CU-0100,17003.42,2023-02-04,false
TX-00101,CU-0101,17340.47,2024-02-14,false
TX-00102,CU-0102,34851.33,2024-01-09,true
TX-00103,CU-0103,46184.89,2024-08-16,false
TX-00104,CU-0104,20759.27,2023-04-19,true
TX-00105,CU-0105,35276.61,2024-05-19,true
TX-00106,CU-0106,45120.04,2023-08-17,true
TX-00107,CU-0107,47175.71,2023-06-11,true
TX-00108,CU-0108,21436.23,2023-08-14,true
TX-00109,CU-0109,14768.95,2023-09-14,true
TX-00110,CU-0110,23005.43,2023-04-14,true
TX-00111,CU-0111,40278.39,2023-07-18,true
TX-00112,CU-0112,19560.76,2024-04-06,true
TX-00113,CU-0113,29853.65,2024-08-27,true
TX-00114,CU-0114,32693.58,2024-05-22,true
TX-00115,CU-0115,25879.03,2024-05-29,true
TX-00116,CU-0116,10625.14,2023-04-07,true
TX-00117,CU-0117,6397.72,2023-10-06,false
TX-00118,CU-0118,16395.68,2023-02-22,false
TX-00119,CU-0119,41600.82,2024-09-14,false
TX-00120,CU-0120,33579.42,2023-02-05,true
TX-00121,CU-0121,19630.49,2024-12-27,true
TX-00122,CU-0122,42229.02,2024-08-09,true
TX-00123,CU-0123,30223.08,2023-04-18,true
TX-00124,CU-0124,24895.56,2024-06-20,true
TX-00125,CU-0125,14696.71,2024-11-07,true
TX-00126,CU-0126,31516.63,2023-04-17,true
TX-00127,CU-0127,30062.17,2023-01-15,true
TX-00128,CU-0128,41286.32,2023-11-18,true
TX-00129,CU-0129,36437.61,2023-08-22,true
TX-00130,CU-0130,22388.44,2024-03-04,true
TX-00131,CU-0131,19368.25,2023-06-19,false
TX-00132,CU-0132,44713.24,2023-11-14,true
TX-00133,CU-0133,10901.2,2024-04-17,true
TX-00134,CU-0134,9835.68,2023-09-02,true
TX-00135,CU-0135,40949.05,2024-12-23,true
TX-00136,CU-0136,8350.54,2023-01-05,false
TX-00137,CU-0137,27551.06,2023-05-01,false
TX-00138,CU-0138,20753.92,2023-12-16,true
TX-00139,CU-0139,3583.08,2023-05-20,true
TX-00140,CU-0140,43729.85,2023-03-02,true
TX-00141,CU-0141,40193.32,2023-10-04,false
TX-00142,CU-0142,33981.98,2023-01-14,true
TX-00143,CU-0143,24113.9,2024-08-31,true
TX-00144,CU-0144,33122.89,2023-06-29,true
TX-00145,CU-0145,9475.25,2024-02-19,false
TX-00146,CU-0146,18180.78,2024-12-12,true
TX-00147,CU-0147,17778.65,2023-11-04,true
TX-00148,CU-0148,7319.37,2023-11-27,true
TX-00149,CU-0149,48357.39,2024-12-25,true
TX-00150,CU-0150,40948.54,2023-11-19,true
TX-00151,CU-0151,43231.41,2023-03-18,false
TX-00152,CU-0152,49659.41,2024-10-26,true
TX-00153,CU-0153,48528.05,2024-07-11,false
TX-00154,CU-0154,12966.25,2023-11-28,false
TX-00155,CU-0155,47654.02,2023-02-22,false
TX-00156,CU-0156,10145.5,2023-09-04,true
TX-00157,CU-0157,31187.16,2024-01-04,true
TX-00158,CU-0158,15846.45,2023-12-12,true
TX-00159,CU-0159,9627.0,2024-07-10,false
TX-00160,CU-0160,36951.89,2023-05-29,false
TX-00161,CU-0161,33589.22,2023-06-14,true
TX-00162,CU-0162,46776.89,2023-09-14,false
TX-00163,CU-0163,23474.95,2023-08-03,false
TX-00164,CU-0164,28017.72,2024-03-30,true
TX-00165,CU-0165,49543.94,2023-07-13,true
TX-00166,CU-0166,4522.92,2024-12-30,true
TX-00167,CU-0167,9279.64,2023-09-04,true
TX-00168,CU-0168,18032.93,2023-12-16,false
TX-00169,CU-0169,15921.7,2024-06-26,false
TX-00170,CU-0170,44528.11,2023-12-22,true
TX-00171,CU-0171,7541.62,2024-05-01,true
TX-00172,CU-0172,49192.86,2024-08-16,false
TX-00173,CU-0173,5022.08,2024-05-30,false
TX-00174,CU-0174,7396.48,2024-01-11,true
TX-00175,CU-0175,45362.08,2023-11-18,true
TX-00176,CU-0176,34264.27,2024-06-20,true
TX-00177,CU-0177,8508.22,2024-01-06,true
TX-00178,CU-0178,23346.87,2024-11-11,true
TX-00179,CU-0179,832.15,2024-07-21,true
TX-00180,CU-0180,19712.64,2023-06-05,true
TX-00181,CU-0181,44528.6,2023-11-16,true
TX-00182,CU-0182,24985.49,2024-08-07,false
TX-00183,CU-0183,42663.14,2024-12-25,true
TX-00184,CU-0184,35669.35,2024-12-07,true
TX-00185,CU-0185,8954.4,2023-05-28,true
TX-00186,CU-0186,14512.31,2023-01-03,false
TX-00187,CU-0187,8150.44,2024-08-11,true
TX-00188,CU-0188,26357.16,2023-03-23,true
TX-00189,CU-0189,43316.59,2023-01-07,true
TX-00190,CU-0190,13099.72,2024-11-06,true
TX-00191,CU-0191,45451.62,2024-01-24,false
TX-00192,CU-0192,48220.55,2024-03-02,false
TX-00193,CU-0193,49337.69,2023-08-15,true
TX-00194,CU-0194,2808.36,2023-07-01,false
TX-00195,CU-0195,28616.05,2023-12-21,true
TX-00196,CU-0196,3822.47,2023-03-11,false
TX-00197,CU-0197,25795.33,2023-01-25,true
TX-00198,CU-0198,21691.72,2023-04-07,false
TX-00199,CU-0199,9968.03,2023-05-05,true
TX-00200,CU-0200,17848.02,2023-03-09,true
TX-00201,CU-0201,8896.88,2023-01-06,true
TX-00202,CU-0202,17833.33,2024-10-31,true
TX-00203,CU-0203,5542.03,2024-03-27,true
TX-00204,CU-0204,30367.79,2023-06-20,true
TX-00205,CU-0205,36836.12,2024-12-30,false
TX-00206,CU-0206,11938.1,2023-09-10,true
TX-00207,CU-0207,12537.62,2024-02-11,true
TX-00208,CU-0208,14791.43,2024-11-26,true
TX-00209,CU-0209,10532.23,2024-08-21,true
TX-00210,CU-0210,36871.49,2023-01-20,false
TX-00211,CU-0211,14381.24,2024-02-26,true
TX-00212,CU-0212,15972.98,2023-01-21,true
TX-00213,CU-0213,25562.77,2024-05-22,false
TX-00214,CU-0214,27859.12,2023-08-05,true
TX-00215,CU-0215,24170.29,2023-10-23,true
TX-00216,CU-0216,34593.83,2024-04-27,true
TX-00217,CU-0217,10028.46,2023-09-20,false
TX-00218,CU-0218,13859.28,2024-06-26,true
TX-00219,CU-0219,39038.84,2024-09-05,false
TX-00220,CU-0220,10963.91,2024-01-23,false
TX-00221,CU-0221,5185.81,2023-01-07,false
TX-00222,CU-0222,29714.66,2024-05-28,true
TX-00223,CU-0223,33922.25,2024-08-22,false
TX-00224,CU-0224,38688.01,2023-04-30,true
TX-00225,CU-0225,48713.93,2024-01-18,true
TX-00226,CU-0226,46766.71,2023-08-11,true
TX-00227,CU-0227,26166.76,2024-04-15,true
TX-00228,CU-0228,12432.19,2023-09-07,false
TX-00229,CU-0229,37795.73,2023-08-14,true
TX-00230,CU-0230,29974.79,2023-05-19,false
TX-00231,CU-0231,9418.42,2024-09-06,true
TX-00232,CU-0232,43255.16,2023-04-06,false
TX-00233,CU-0233,15235.97,2023-12-03,false
TX-00234,CU-0234,1856.68,2024-08-25,true
TX-00235,CU-0235,26705.13,2024-09-09,true
TX-00236,CU-0236,23968.95,2024-04-06,false
TX-00237,CU-0237,10036.53,2024-12-04,true
TX-00238,CU-0238,45197.88,2024-08-17,true
TX-00239,CU-0239,40519.8,2024-12-23,true
TX-00240,CU-0240,1594.53,2024-12-31,true
TX-00241,CU-0241,39651.66,2024-04-12,false
TX-00242,CU-0242,29413.8,2024-02-01,true
TX-00243,CU-0243,15417.06,2023-03-13,true
TX-00244,CU-0244,49836.46,2024-03-05,true
TX-00245,CU-0245,40462.75,2024-12-11,false
TX-00246,CU-0246,42004.92,2023-06-20,true
TX-00247,CU-0247,18357.91,2024-10-26,true
TX-00248,CU-0248,31229.79,2024-02-19,false
TX-00249,CU-0249,49969.44,2023-12-09,true
TX-00250,CU-0250,35310.8,2023-10-12,true
TX-00251,CU-0251,18426.82,2024-02-18,true
TX-00252,CU-0252,37571.29,2023-09-19,true
TX-00253,CU-0253,248.85,2023-10-06,true
TX-00254,CU-0254,11929.7,2023-05-06,true
TX-00255,CU-0255,38438.87,2024-09-13,true
TX-00256,CU-0256,36651.49,2024-05-30,true
TX-00257,CU-0257,22678.07,2023-07-31,true
TX-00258,CU-0258,41143.43,2024-09-05,false
TX-00259,CU-0259,34485.78,2024-02-25,true
TX-00260,CU-0260,46983.03,2024-06-04,false
TX-00261,CU-0261,24220.9,2023-03-10,false
TX-00262,CU-0262,34795.94,2023-12-30,true
TX-00263,CU-0263,40331.15,2024-04-15,true
TX-00264,CU-0264,38394.85,2023-04-20,true
TX-00265,CU-0265,48151.01,2023-06-11,true
TX-00266,CU-0266,45019.99,2024-02-23,true
TX-00267,CU-0267,38822.79,2023-01-01,true
TX-00268,CU-0268,36751.75,2024-04-24,false
TX-00269,CU-0269,20527.64,2023-10-30,true
TX-00270,CU-0270,34380.83,2023-08-04,true
TX-00271,CU-0271,19887.99,2023-06-21,true
TX-00272,CU-0272,12336.27,2023-03-15,true
TX-00273,CU-0273,15455.94,2024-03-07,true
TX-00274,CU-0274,41309.8,2024-01-29,true
TX-00275,CU-0275,10216.18,2024-09-27,true
TX-00276,CU-0276,33159.55,2023-07-09,true
TX-00277,CU-0277,31195.4,2024-04-27,true
TX-00278,CU-0278,21603.66,2024-03-25,true
TX-00279,CU-0279,11723.24,2024-10-12,true
TX-00280,CU-0280,43123.13,2024-08-01,true
TX-00281,CU-0281,37273.25,2023-03-17,true
TX-00282,CU-0282,48800.13,2024-06-15,true
TX-00283,CU-0283,11186.67,2024-03-30,true
TX-00284,CU-0284,41609.62,2023-05-17,true
TX-00285,CU-0285,49645.24,2023-12-23,true
TX-00286,CU-0286,47313.85,2023-02-06,true
TX-00287,CU-0287,4639.57,2023-07-15,true
TX-00288,CU-0288,21706.6,2023-06-27,true
TX-00289,CU-0289,43714.06,2023-09-10,true
TX-00290,CU-0290,33278.95,2023-03-06,true
TX-00291,CU-0291,34742.41,2024-01-07,false
TX-00292,CU-0292,29402.2,2023-08-12,true
TX-00293,CU-0293,38263.91,2023-09-15,true
TX-00294,CU-0294,3316.21,2024-05-19,true
TX-00295,CU-0295,38167.08,2024-02-11,true
TX-00296,CU-0296,40228.57,2024-03-17,true
TX-00297,CU-0297,42344.17,2023-09-25,true
TX-00298,CU-0298,49011.44,2023-01-03,true
TX-00299,CU-0299,36029.86,2023-03-16,true
TX-00300,CU-0300,43987.29,2024-11-05,true
TX-00301,CU-0301,33304.65,2024-10-25,false
TX-00302,CU-0302,5507.18,2024-09-07,false
TX-00303,CU-0303,25754.1,2024-08-29,true
TX-00304,CU-0304,27329.84,2023-10-02,true
TX-00305,CU-0305,49698.52,2024-07-20,true
TX-00306,CU-0306,18838.98,2024-12-28,true
TX-00307,CU-0307,29519.04,2024-10-11,true
TX-00308,CU-0308,20552.5,2024-02-29,false
TX-00309,CU-0309,3763.57,2023-10-25,true
TX-00310,CU-0310,25290.95,2023-06-02,false
TX-00311,CU-0311,38868.51,2023-02-22,true
TX-00312,CU-0312,29243.55,2024-12-07,true
TX-00313,CU-0313,234.95,2024-08-15,true
TX-00314,CU-0314,21642.45,2024-03-03,true
TX-00315,CU-0315,19543.25,2024-05-17,true
TX-00316,CU-0316,14277.62,2024-08-11,true
TX-00317,CU-0317,33773.86,2024-02-10,true
TX-00318,CU-0318,26422.88,2023-05-28,true
TX-00319,CU-0319,38445.48,2023-08-20,false
TX-00320,CU-0320,19283.55,2023-04-07,false
TX-00321,CU-0321,43321.69,2024-01-08,true
TX-00322,CU-0322,19849.07,2024-05-31,true
TX-00323,CU-0323,12277.55,2023-02-07,false
TX-00324,CU-0324,33769.69,2024-04-30,true
TX-00325,CU-0325,29479.66,2023-01-16,true
TX-00326,CU-0326,8897.22,2024-11-11,true
TX-00327,CU-0327,34420.09,2023-05-23,false
TX-00328,CU-0328,17029.41,2023-09-18,true
TX-00329,CU-0329,37632.16,2023-12-19,true
TX-00330,CU-0330,45255.21,2023-05-18,false
TX-00331,CU-0331,4042.48,2023-01-28,true
TX-00332,CU-0332,37447.53,2024-11-07,true
TX-00333,CU-0333,33350.63,2023-10-12,true
TX-00334,CU-0334,1542.23,2023-08-11,true
TX-00335,CU-0335,21564.87,2024-11-09,true
TX-00336,CU-0336,21107.22,2024-05-13,false
TX-00337,CU-0337,35624.4,2023-04-10,true
TX-00338,CU-0338,25469.75,2023-09-10,true
TX-00339,CU-0339,32124.12,2024-04-02,true
TX-00340,CU-0340,11092.22,2023-10-17,false
TX-00341,CU-0341,6492.29,2023-09-28,true
TX-00342,CU-0342,22814.83,2024-01-06,true
TX-00343,CU-0343,40228.22,2024-06-22,true
TX-00344,CU-0344,15457.5,2023-02-05,true
TX-00345,CU-0345,41356.96,2024-12-29,true
TX-00346,CU-0346,8825.54,2023-01-17,true
TX-00347,CU-0347,12336.74,2024-11-10,true
TX-00348,CU-0348,44024.2,2024-08-13,true
TX-00349,CU-0349,17023.25,2023-05-14,true
TX-00350,CU-0350,20371.04,2024-03-05,true
TX-00351,CU-0351,37309.06,2024-03-31,true
TX-00352,CU-0352,49683.27,2024-08-06,true
TX-00353,CU-0353,45976.21,2023-08-19,true
TX-00354,CU-0354,16408.2,2024-08-22,true
TX-00355,CU-0355,37418.64,2023-06-27,true
TX-00356,CU-0356,30942.45,2024-04-16,false
TX-00357,CU-0357,33737.44,2024-06-01,true
TX-00358,CU-0358,38291.85,2024-07-30,true
TX-00359,CU-0359,35402.92,2024-07-21,true
TX-00360,CU-0360,2209.18,2024-10-22,false
TX-00361,CU-0361,25235.44,2024-02-22,true
TX-00362,CU-0362,4299.47,2024-05-15,true
TX-00363,CU-0363,28257.47,2024-02-12,true
TX-00364,CU-0364,35661.5,2024-10-08,true
TX-00365,CU-0365,7839.76,2023-06-28,true
TX-00366,CU-0366,21182.72,2024-12-21,false
TX-00367,CU-0367,42675.51,2023-12-20,true
TX-00368,CU-0368,16601.05,2023-07-04,true
TX-00369,CU-0369,11608.37,2024-03-18,true
TX-00370,CU-0370,10641.67,2023-05-14,true
TX-00371,CU-0371,2413.93,2024-11-12,true
TX-00372,CU-0372,29967.28,2023-09-20,true
TX-00373,CU-0373,1502.01,2024-02-27,true
TX-00374,CU-0374,49822.47,2024-02-07,true
TX-00375,CU-0375,13654.73,2023-06-05,true
TX-00376,CU-0376,38404.65,2024-01-13,true
TX-00377,CU-0377,2530.39,2023-06-07,true
TX-00378,CU-0378,35759.28,2024-01-07,true
TX-00379,CU-0379,10351.95,2023-01-11,true
TX-00380,CU-0380,24965.96,2024-06-19,false
TX-00381,CU-0381,13408.79,2024-03-01,true
TX-00382,CU-0382,13022.8,2024-12-15,true
TX-00383,CU-0383,46602.46,2023-04-20,true
TX-00384,CU-0384,19729.19,2023-11-02,true
TX-00385,CU-0385,15924.98,2024-10-06,false
TX-00386,CU-0386,49941.87,2023-03-05,true
TX-00387,CU-0387,17941.56,2023-03-21,true
TX-00388,CU-0388,48253.06,2024-12-30,true
TX-00389,CU-0389,4529.39,2024-10-31,false
TX-00390,CU-0390,31593.28,2024-11-17,false
TX-00391,CU-0391,46096.46,2023-06-17,true
TX-00392,CU-0392,22038.93,2024-04-25,true
TX-00393,CU-0393,29242.67,2023-02-07,true
TX-00394,CU-0394,30453.11,2024-09-07,true
TX-00395,CU-0395,48697.95,2024-05-04,true
TX-00396,CU-0396,41270.5,2023-08-06,true
TX-00397,CU-0397,40770.39,2024-03-06,true
TX-00398,CU-0398,14363.5,2024-01-04,true
TX-00399,CU-0399,26319.77,2023-06-26,true
TX-00400,CU-0400,39826.89,2023-03-29,true
TX-00401,CU-0401,7765.38,2024-12-10,true
TX-00402,CU-0402,24517.41,2023-01-27,true
TX-00403,CU-0403,27351.43,2024-12-31,true
TX-00404,CU-0404,27162.96,2024-03-25,false
TX-00405,CU-0405,40143.49,2024-09-04,true
TX-00406,CU-0406,26317.14,2023-11-14,true
TX-00407,CU-0407,18003.21,2023-02-04,true
TX-00408,CU-0408,37911.98,2023-05-06,false
TX-00409,CU-0409,27321.08,2024-07-06,true
TX-00410,CU-0410,37361.23,2023-12-13,true
TX-00411,CU-0411,85.41,2024-10-19,true
TX-00412,CU-0412,12689.4,2024-03-21,true
TX-00413,CU-0413,18852.62,2024-01-29,true
TX-00414,CU-0414,46801.77,2023-08-28,true
TX-00415,CU-0415,48703.6,2023-07-23,true
TX-00416,CU-0416,39662.76,2024-12-10,false
TX-00417,CU-0417,17252.96,2023-07-05,true
TX-00418,CU-0418,14422.09,2023-11-17,true
TX-00419,CU-0419,15981.36,2024-10-10,true
TX-00420,CU-0420,31219.44,2024-10-18,true
TX-00421,CU-0421,47474.27,2024-05-13,true
TX-00422,CU-0422,37556.22,2023-11-21,true
TX-00423,CU-0423,24239.62,2023-08-26,true
TX-00424,CU-0424,26440.69,2023-12-25,true
TX-00425,CU-0425,34001.74,2024-11-01,true
TX-00426,CU-0426,30607.58,2023-09-17,true
TX-00427,CU-0427,3235.36,2024-03-21,false
TX-00428,CU-0428,12556.21,2024-05-03,true
TX-00429,CU-0429,7088.75,2024-06-03,true
TX-00430,CU-0430,39274.64,2024-09-27,true
TX-00431,CU-0431,16612.19,2024-05-19,false
TX-00432,CU-0432,36526.27,2024-08-31,false
TX-00433,CU-0433,624.64,2023-10-21,false
TX-00434,CU-0434,27530.95,2023-10-19,true
TX-00435,CU-0435,15152.81,2023-07-09,true
TX-00436,CU-0436,49033.97,2023-07-12,false
TX-00437,CU-0437,16818.37,2023-07-27,false
TX-00438,CU-0438,47245.01,2023-11-18,false
TX-00439,CU-0439,19803.61,2023-06-10,true
TX-00440,CU-0440,24509.44,2024-05-15,true
TX-00441,CU-0441,42979.61,2023-05-30,true
TX-00442,CU-0442,12385.07,2024-08-25,false
TX-00443,CU-0443,12370.48,2024-03-23,true
TX-00444,CU-0444,28473.44,2024-05-25,true
TX-00445,CU-0445,34309.04,2023-10-27,false
TX-00446,CU-0446,7033.41,2024-02-14,true
TX-00447,CU-0447,4093.68,2024-03-28,false
TX-00448,CU-0448,17791.06,2024-04-04,true
TX-00449,CU-0449,16634.99,2023-11-08,true
TX-00450,CU-0450,22946.05,2023-11-24,true
TX-00451,CU-0451,13905.26,2024-10-14,false
TX-00452,CU-0452,23023.05,2023-02-05,true
TX-00453,CU-0453,35594.88,2023-07-25,true
TX-00454,CU-0454,30933.2,2024-05-03,true
TX-00455,CU-0455,1671.51,2024-04-09,true
TX-00456,CU-0456,20443.21,2024-03-01,true
TX-00457,CU-0457,15885.43,2024-07-14,false
TX-00458,CU-0458,43253.98,2024-06-17,false
TX-00459,CU-0459,5590.84,2024-08-10,true
TX-00460,CU-0460,12074.28,2024-03-12,true
TX-00461,CU-0461,26539.44,2023-02-04,true
TX-00462,CU-0462,48889.1,2024-03-11,true
TX-00463,CU-0463,8102.54,2024-07-02,false
TX-00464,CU-0464,23745.42,2024-01-16,true
TX-00465,CU-0465,36753.31,2023-12-01,true
TX-00466,CU-0466,45011.15,2023-05-14,true
TX-00467,CU-0467,34425.4,2024-06-29,true
TX-00468,CU-0468,27033.57,2023-11-24,true
TX-00469,CU-0469,24226.7,2023-10-26,true
TX-00470,CU-0470,1073.79,2023-10-23,true
TX-00471,CU-0471,2972.77,2024-04-23,false
TX-00472,CU-0472,18954.97,2024-06-19,true
TX-00473,CU-0473,17170.39,2024-01-11,false
TX-00474,CU-0474,35234.36,2024-03-27,true
TX-00475,CU-0475,16792.4,2023-11-05,true
TX-00476,CU-0476,23883.11,2024-02-20,true
TX-00477,CU-0477,19227.5,2024-09-13,true
TX-00478,CU-0478,17420.73,2024-12-13,true
TX-00479,CU-0479,19693.14,2024-07-29,false
TX-00480,CU-0480,18147.37,2024-06-06,true
TX-00481,CU-0481,11054.35,2023-12-24,true
TX-00482,CU-0482,13614.63,2024-10-13,false
TX-00483,CU-0483,35120.38,2024-11-18,true
TX-00484,CU-0484,10593.83,2024-12-28,true
TX-00485,CU-0485,39953.63,2024-03-03,true
TX-00486,CU-0486,522.18,2024-08-12,false
TX-00487,CU-0487,47261.6,2023-08-04,true
TX-00488,CU-0488,44378.12,2024-02-21,false
TX-00489,CU-0489,42897.96,2024-07-12,true
TX-00490,CU-0490,4805.55,2023-02-25,true
TX-00491,CU-0491,49766.45,2024-01-14,true
TX-00492,CU-0492,21090.97,2023-05-11,true
TX-00493,CU-0493,38516.14,2023-06-15,true
TX-00494,CU-0494,31947.39,2023-11-13,true
TX-00495,CU-0495,28207.81,2024-06-01,true
TX-00496,CU-0496,11031.34,2023-12-11,true
TX-00497,CU-0497,8632.76,2023-03-26,false
TX-00498,CU-0498,1854.22,2023-09-29,true
TX-00499,CU-0499,14203.6,2023-12-20,true
TX-00500,CU-0500,45147.27,2024-02-29,true
TX-00501,CU-0501,4324.69,2024-11-20,true
TX-00502,CU-0502,2236.39,2024-09-01,false
TX-00503,CU-0503,40531.12,2023-07-16,true
TX-00504,CU-0504,8247.41,2023-06-27,true
TX-00505,CU-0505,32998.19,2023-05-04,true
TX-00506,CU-0506,39839.91,2024-03-21,false
TX-00507,CU-0507,16284.24,2023-12-16,true
TX-00508,CU-0508,7630.27,2023-04-01,true
TX-00509,CU-0509,3628.98,2023-01-10,false
TX-00510,CU-0510,18107.77,2023-05-25,true
TX-00511,CU-0511,25170.86,2023-03-05,true
TX-00512,CU-0512,34859.22,2024-03-25,true
TX-00513,CU-0513,15349.58,2024-12-09,true
TX-00514,CU-0514,36667.82,2023-09-12,true
TX-00515,CU-0515,7741.0,2024-02-24,true
TX-00516,CU-0516,14578.11,2024-09-21,false
TX-00517,CU-0517,31731.59,2023-10-27,false
TX-00518,CU-0518,29182.66,2023-06-04,false
TX-00519,CU-0519,39370.39,2023-07-26,true
TX-00520,CU-0520,49409.6,2024-02-17,true
TX-00521,CU-0521,45492.14,2023-12-05,true
TX-00522,CU-0522,38165.19,2023-02-02,false
TX-00523,CU-0523,24188.33,2024-09-03,true
TX-00524,CU-0524,34032.61,2023-08-15,true
TX-00525,CU-0525,796.05,2024-02-12,true
TX-00526,CU-0526,21174.5,2024-07-04,false
TX-00527,CU-0527,26430.01,2024-12-10,false
TX-00528,CU-0528,3607.42,2023-12-29,true
TX-00529,CU-0529,17980.38,2023-09-09,true
TX-00530,CU-0530,1084.22,2024-01-22,false
TX-00531,CU-0531,35789.06,2023-12-28,true
TX-00532,CU-0532,45643.33,2024-10-30,true
TX-00533,CU-0533,31958.48,2023-05-15,true
TX-00534,CU-0534,7329.38,2024-03-12,true
TX-00535,CU-0535,2165.17,2024-03-01,false
TX-00536,CU-0536,16160.68,2024-05-06,true
