tarjetaId,ultimosCuatroDigitos,tipoTarjeta,limiteCredito,fechaVencimiento,bloqueada,intentosFallidos,redesContactadas,fechaEmision,banco
TJ-0100,1306,credito,1973.73,2028-01-09,false,2,Amex,2023-04-13,Banrural
TJ-0101,8074,credito,40164.36,2027-06-21,false,0,Amex,2020-06-20,Citibank
TJ-0102,6381,prepago,38640.2,2028-02-01,false,2,Visa,2021-08-28,Citibank
TJ-0103,8257,debito,22800.95,2024-12-27,false,0,Mastercard,2020-07-04,BAC
TJ-0104,6428,debito,21172.18,2025-08-07,false,1,Mastercard|Visa,2018-12-26,Banistmo
TJ-0105,6843,prepago,28951.57,2024-06-08,true,4,Amex|Visa,2020-01-14,Banrural
TJ-0106,4300,debito,35756.68,2028-03-19,false,0,Amex,2020-03-12,HSBC
TJ-0107,2152,credito,33909.33,2029-10-15,false,2,Visa,2023-07-24,HSBC
TJ-0108,2733,prepago,6724.77,2026-10-06,false,2,Amex|Visa,2023-03-26,Banrural
TJ-0109,6379,prepago,20303.42,2024-07-18,false,0,Amex,2023-06-13,Citibank
TJ-0110,3384,prepago,18909.26,2029-09-28,false,1,Amex,2020-11-23,Industrial
TJ-0111,8658,debito,35137.15,2024-07-28,false,2,Amex,2018-01-17,Davivienda
TJ-0112,5662,prepago,29537.23,2027-05-02,false,1,Mastercard|Amex,2021-06-22,HSBC
TJ-0113,1708,debito,20746.61,2025-11-28,true,9,Mastercard,2021-11-07,HSBC
TJ-0114,5877,debito,41686.89,2025-03-22,false,2,Visa|Mastercard,2020-10-18,Citibank
TJ-0115,9444,credito,46124.18,2029-10-13,false,1,Mastercard,2022-10-24,Citibank
TJ-0116,6148,debito,25861.77,2026-07-02,false,2,Mastercard|Amex,2018-10-23,Banistmo
TJ-0117,6069,credito,49558.14,2024-06-08,false,1,Visa,2022-12-19,Banrural
TJ-0118,8634,debito,47907.78,2025-01-19,false,2,Mastercard,2018-04-15,BAC
TJ-0119,9758,credito,20007.31,2025-10-03,false,0,Visa,2023-08-15,Citibank
TJ-0120,4871,credito,21031.21,2027-10-24,false,0,Amex|Visa,2020-02-07,Industrial
TJ-0121,3264,prepago,40256.97,2027-07-14,true,6,Mastercard,2020-09-01,Citibank
TJ-0122,6423,credito,14952.43,2029-01-19,false,0,Amex|Visa,2020-02-11,G&T Continental
TJ-0123,5025,debito,24621.5,2024-11-02,false,1,Amex|Mastercard,2018-05-17,Industrial
TJ-0124,6143,debito,17889.15,2029-01-23,false,0,Visa,2018-06-17,Banistmo
TJ-0125,5120,credito,10533.52,2027-06-20,true,7,Amex|Mastercard,2023-04-10,Banistmo
TJ-0126,3623,credito,27999.6,2026-10-18,true,4,Mastercard,2018-02-28,Banistmo
TJ-0127,8169,prepago,20855.84,2025-09-22,false,0,Amex,2020-08-28,BAC
TJ-0128,5850,debito,21543.07,2027-12-15,false,0,Mastercard,2022-02-28,Citibank
TJ-0129,6572,prepago,17315.39,2025-05-31,false,1,Amex,2021-09-25,Banistmo
TJ-0130,9166,debito,38639.86,2027-06-30,true,6,Amex,2019-07-15,Davivienda
TJ-0131,4140,prepago,36435.57,2024-09-09,false,1,Visa|Amex,2023-10-30,G&T Continental
TJ-0132,5000,debito,28712.69,2025-08-05,false,1,Visa,2020-01-23,G&T Continental
TJ-0133,8276,debito,47495.98,2024-04-05,true,9,Mastercard,2018-06-02,Banistmo
TJ-0134,8573,credito,45966.66,2024-10-01,false,1,Visa,2018-06-08,BAC
TJ-0135,4420,debito,16157.6,2024-05-15,false,1,Amex|Mastercard,2019-11-02,Banrural
TJ-0136,2210,prepago,32803.62,2026-08-31,false,2,Amex,2018-10-25,G&T Continental
TJ-0137,7191,prepago,30860.61,2025-04-05,false,0,Visa|Amex,2023-05-22,Banrural
TJ-0138,7846,credito,43428.71,2025-05-30,false,0,Amex,2023-03-13,Davivienda
TJ-0139,3979,debito,39190.79,2027-07-16,false,1,Mastercard|Amex,2019-11-14,G&T Continental
TJ-0140,4170,credito,8780.19,2029-10-24,true,3,Visa,2022-09-23,BAC
TJ-0141,5238,debito,35480.73,2028-02-06,false,2,Visa|Mastercard,2023-07-05,Banistmo
TJ-0142,7831,prepago,41273.86,2028-10-13,true,7,Visa|Mastercard,2021-11-04,G&T Continental
TJ-0143,4563,debito,27955.5,2026-10-23,false,1,Amex|Mastercard,2018-02-27,Davivienda
TJ-0144,5466,debito,16585.94,2029-04-01,true,10,Mastercard,2018-12-20,G&T Continental
TJ-0145,9420,prepago,30726.52,2025-09-19,false,2,Visa|Mastercard,2023-11-10,BAC
TJ-0146,3233,prepago,40035.8,2025-08-23,false,1,Amex,2022-03-27,HSBC
TJ-0147,1439,credito,17738.41,2029-07-11,true,4,Visa|Mastercard,2022-05-05,Banistmo
TJ-0148,1173,credito,4639.27,2028-07-02,false,1,Mastercard|Amex,2018-09-20,G&T Continental
TJ-0149,9580,credito,44980.78,2025-12-14,false,1,Amex,2022-01-18,Industrial
TJ-0150,5424,credito,42084.29,2024-03-14,false,0,Amex,2020-12-07,BAC
TJ-0151,1045,prepago,6806.49,2024-01-05,false,2,Mastercard|Visa,2022-02-12,G&T Continental
TJ-0152,8656,prepago,6069.57,2024-08-12,true,10,Visa|Mastercard,2020-07-15,Industrial
TJ-0153,9977,prepago,19276.51,2028-12-18,false,2,Mastercard|Visa,2021-04-17,Banistmo
TJ-0154,1879,debito,48747.83,2025-01-10,true,3,Visa,2023-04-05,BAC
TJ-0155,9132,prepago,37108.55,2024-04-25,false,2,Visa,2022-03-05,BAC
TJ-0156,5735,prepago,24204.21,2026-07-29,false,2,Visa,2018-12-02,BAC
TJ-0157,3820,prepago,45159.79,2029-04-11,false,1,Mastercard|Amex,2021-09-29,Industrial
TJ-0158,7918,debito,30155.15,2029-01-22,false,2,Mastercard|Visa,2021-11-20,G&T Continental
TJ-0159,5225,prepago,32773.86,2024-08-18,false,1,Mastercard,2021-03-10,Banrural
TJ-0160,4460,debito,15294.32,2028-02-09,false,0,Visa,2023-02-22,Industrial
TJ-0161,7942,debito,37336.37,2029-01-06,false,1,Amex,2022-03-24,BAC
TJ-0162,6246,debito,25323.82,2024-12-28,false,1,Amex|Visa,2022-01-27,HSBC
TJ-0163,7405,prepago,25947.86,2027-01-31,false,1,Amex,2018-08-27,Industrial
TJ-0164,6528,prepago,20637.62,2027-03-06,false,2,Amex,2021-12-27,Davivienda
TJ-0165,6418,credito,28681.93,2028-11-23,false,0,Mastercard,2022-03-12,Industrial
TJ-0166,8231,prepago,29966.96,2025-02-02,false,0,Amex,2018-08-21,Citibank
TJ-0167,2160,prepago,13263.98,2028-10-03,false,2,Amex|Visa,2019-11-11,Banrural
TJ-0168,7751,credito,25503.92,2026-05-08,false,0,Amex|Visa,2021-01-31,BAC
TJ-0169,1653,credito,8242.04,2028-09-10,false,1,Mastercard,2023-07-22,G&T Continental
TJ-0170,6437,debito,27785.8,2025-11-02,true,10,Amex,2019-08-01,Banrural
TJ-0171,5618,debito,48615.4,2026-11-12,false,2,Mastercard|Amex,2022-05-03,BAC
TJ-0172,5061,debito,47962.13,2029-05-27,false,2,Amex|Mastercard,2020-01-09,Banrural
TJ-0173,2286,debito,9974.92,2027-10-08,false,2,Mastercard,2021-11-10,G&T Continental
TJ-0174,3964,debito,22854.7,2028-10-18,false,2,Amex|Mastercard,2023-04-12,Citibank
TJ-0175,6396,prepago,13641.14,2029-01-25,false,1,Visa,2021-02-11,BAC
TJ-0176,3231,prepago,46845.38,2026-05-22,true,9,Amex,2021-09-06,Banistmo
TJ-0177,8433,debito,33510.92,2024-09-19,false,2,Mastercard,2022-03-24,Industrial
TJ-0178,1445,credito,8506.37,2027-02-15,false,2,Mastercard|Amex,2020-09-19,Banistmo
TJ-0179,6725,debito,6822.59,2024-10-13,false,1,Amex|Mastercard,2019-07-12,G&T Continental
TJ-0180,4932,credito,48338.31,2029-03-21,false,0,Mastercard|Amex,2023-10-25,BAC
TJ-0181,4802,credito,19559.6,2025-06-21,false,2,Mastercard,2021-05-11,Industrial
TJ-0182,4492,debito,48050.88,2025-12-22,false,2,Visa|Mastercard,2019-10-26,HSBC
TJ-0183,6769,debito,10214.6,2024-09-13,false,0,Amex,2018-11-10,Industrial
TJ-0184,1234,debito,27682.01,2026-01-31,false,2,Amex|Visa,2022-06-07,Banistmo
TJ-0185,5895,debito,31506.56,2029-09-22,true,8,Mastercard|Visa,2021-12-19,Banistmo
TJ-0186,5857,credito,26621.38,2024-04-27,false,0,Mastercard,2019-07-26,Banrural
TJ-0187,9573,prepago,27474.43,2028-11-07,false,2,Mastercard,2021-01-21,Banistmo
TJ-0188,9617,debito,9604.55,2029-08-16,false,0,Mastercard|Visa,2021-09-06,G&T Continental
TJ-0189,2298,prepago,11790.75,2025-11-17,true,10,Amex,2019-11-18,Industrial
TJ-0190,1274,credito,43505.58,2028-04-12,false,2,Mastercard|Visa,2022-12-18,Davivienda
TJ-0191,3231,debito,47292.31,2027-10-16,false,0,Visa|Mastercard,2022-04-01,BAC
TJ-0192,3450,credito,25785.13,2029-06-01,false,1,Mastercard,2022-11-28,Banrural
TJ-0193,1118,debito,9917.84,2026-07-21,false,0,Amex|Mastercard,2022-02-17,Davivienda
TJ-0194,7967,credito,10451.01,2025-06-12,false,1,Amex|Visa,2018-08-18,HSBC
TJ-0195,6564,prepago,18466.19,2029-04-08,false,0,Visa,2023-03-09,Industrial
TJ-0196,3073,credito,27986.79,2029-01-09,false,0,Amex|Visa,2020-11-08,BAC
TJ-0197,3496,debito,17766.96,2027-04-04,false,1,Amex,2023-01-17,Davivienda
TJ-0198,5803,credito,6095.95,2029-05-06,false,2,Mastercard,2022-09-22,HSBC
TJ-0199,8540,credito,26854.53,2027-11-07,false,1,Mastercard,2021-02-14,HSBC
TJ-0200,8065,debito,37559.43,2026-04-28,false,0,Amex,2018-10-16,G&T Continental
TJ-0201,6411,debito,27198.29,2028-11-27,false,0,Amex,2022-09-30,G&T Continental
TJ-0202,5288,debito,29551.5,2027-02-16,false,0,Mastercard|Visa,2023-06-23,Banistmo
TJ-0203,6292,credito,3898.69,2025-06-11,true,3,Visa,2023-09-27,BAC
TJ-0204,4953,prepago,47320.8,2029-08-05,false,0,Visa|Amex,2020-10-11,Citibank
TJ-0205,1873,debito,44663.53,2024-11-06,false,0,Visa,2022-02-08,Industrial
TJ-0206,5590,credito,16977.79,2029-02-20,false,0,Amex,2023-01-17,Davivienda
TJ-0207,8549,credito,49901.24,2028-04-09,false,1,Amex|Mastercard,2023-03-11,HSBC
TJ-0208,9104,debito,28848.95,2028-02-28,false,1,Mastercard,2021-08-20,Industrial
TJ-0209,7336,credito,28594.11,2024-12-05,false,1,Mastercard,2023-10-07,Citibank
TJ-0210,5689,credito,28398.39,2027-11-14,false,0,Visa|Mastercard,2019-08-11,BAC
TJ-0211,9676,prepago,48849.33,2025-11-02,false,0,Amex|Mastercard,2019-01-30,Banrural
TJ-0212,4030,credito,15669.1,2028-03-12,false,1,Amex|Mastercard,2021-08-02,G&T Continental
TJ-0213,4350,credito,39685.11,2025-07-09,true,10,Amex|Mastercard,2023-03-13,Industrial
TJ-0214,9960,credito,15709.09,2024-08-20,true,6,Amex|Visa,2019-12-07,Banrural
TJ-0215,5661,debito,1470.74,2025-12-09,false,2,Mastercard,2020-08-14,HSBC
TJ-0216,1361,prepago,13275.21,2025-12-22,false,2,Amex,2018-06-08,Citibank
TJ-0217,3699,debito,24431.56,2027-07-22,false,2,Amex,2018-04-21,HSBC
TJ-0218,8838,prepago,45741.81,2024-12-28,false,0,Visa,2021-08-23,HSBC
TJ-0219,2414,prepago,45102.18,2024-12-22,false,0,Mastercard,2020-08-13,HSBC
TJ-0220,7011,debito,4364.21,2026-05-27,false,2,Amex|Visa,2023-03-07,Banistmo
TJ-0221,2428,credito,25184.87,2027-04-04,false,0,Visa,2019-09-10,BAC
TJ-0222,2414,prepago,35679.72,2029-08-20,false,0,Visa,2019-01-13,HSBC
TJ-0223,6002,prepago,2684.12,2029-11-23,false,2,Amex,2023-12-04,Banrural
TJ-0224,7752,debito,40668.91,2025-10-08,false,0,Amex,2019-03-18,BAC
TJ-0225,2148,prepago,11630.95,2027-08-07,false,1,Visa,2022-12-17,G&T Continental
TJ-0226,8062,prepago,20535.93,2024-08-08,false,1,Mastercard,2018-12-15,BAC
TJ-0227,4566,prepago,27844.94,2025-01-12,false,2,Amex,2023-05-17,HSBC
TJ-0228,1494,credito,12719.71,2026-04-23,true,5,Visa,2021-01-20,HSBC
TJ-0229,8042,credito,47949.33,2024-11-09,false,1,Mastercard|Amex,2018-08-26,Davivienda
TJ-0230,3514,debito,35666.83,2029-02-24,false,0,Visa,2022-03-26,Industrial
TJ-0231,1427,credito,33444.71,2029-08-25,true,4,Amex,2018-08-13,Citibank
TJ-0232,8200,credito,47751.21,2028-04-01,false,0,Mastercard,2022-06-23,Davivienda
TJ-0233,6658,prepago,30769.24,2028-07-07,true,9,Amex|Visa,2019-07-15,Industrial
TJ-0234,8556,credito,2434.63,2025-03-18,false,2,Amex|Visa,2018-04-19,Davivienda
TJ-0235,2076,debito,33142.25,2028-09-19,false,0,Visa,2020-06-04,HSBC
TJ-0236,1501,debito,17544.62,2029-12-29,false,1,Mastercard|Visa,2019-12-02,Industrial
TJ-0237,1085,prepago,25151.49,2025-08-05,false,2,Amex|Visa,2022-03-12,Citibank
TJ-0238,6833,debito,49947.87,2025-04-06,false,0,Amex,2022-09-20,BAC
TJ-0239,6092,prepago,43234.64,2026-08-21,false,1,Amex|Visa,2023-06-27,Industrial
TJ-0240,4154,credito,47689.53,2029-12-18,false,0,Mastercard,2020-08-22,Banistmo
TJ-0241,6965,prepago,16248.85,2028-09-20,false,1,Amex|Mastercard,2020-12-24,Banrural
TJ-0242,9046,credito,7383.2,2028-06-27,false,0,Mastercard,2021-09-25,Citibank
TJ-0243,8246,debito,20582.16,2025-05-14,false,1,Amex|Mastercard,2018-01-20,Banrural
TJ-0244,5413,debito,40163.4,2028-02-23,true,10,Amex,2019-04-07,HSBC
TJ-0245,7213,credito,4561.89,2028-04-10,false,0,Mastercard,2022-05-03,BAC
TJ-0246,7144,credito,5376.97,2025-11-12,false,1,Mastercard,2021-10-31,Citibank
TJ-0247,5417,debito,48596.03,2026-11-23,false,0,Amex|Visa,2022-04-05,HSBC
TJ-0248,4792,debito,23151.77,2026-12-29,false,0,Mastercard,2021-01-21,Citibank
TJ-0249,6537,prepago,18354.44,2028-08-07,false,1,Visa,2020-08-03,BAC
TJ-0250,2519,prepago,47808.77,2025-07-17,false,0,Visa|Amex,2023-11-11,Banistmo
TJ-0251,8726,debito,34662.46,2025-02-09,false,2,Amex|Visa,2022-05-19,Industrial
TJ-0252,1906,prepago,16917.36,2029-01-21,false,0,Mastercard,2018-05-01,Banrural
TJ-0253,6909,credito,27636.19,2024-10-12,false,0,Amex|Mastercard,2018-03-20,Industrial
TJ-0254,9645,prepago,13342.0,2027-01-19,false,0,Mastercard|Visa,2018-03-05,Banistmo
TJ-0255,8979,prepago,17205.26,2027-10-05,false,2,Mastercard,2020-01-13,Citibank
TJ-0256,7343,debito,29227.81,2027-04-17,false,0,Amex,2023-05-04,Citibank
TJ-0257,3136,debito,17796.95,2029-08-12,false,0,Visa,2022-08-27,Banrural
TJ-0258,8320,credito,14274.2,2029-03-03,false,2,Amex|Mastercard,2020-01-25,Industrial
TJ-0259,2925,debito,35868.34,2026-07-22,false,0,Mastercard|Amex,2019-01-09,BAC
TJ-0260,8290,credito,23791.04,2025-02-27,true,5,Amex|Mastercard,2023-01-11,Banistmo
TJ-0261,4922,credito,42965.31,2027-05-20,false,2,Visa|Mastercard,2019-12-13,Industrial
TJ-0262,6744,credito,39571.6,2026-04-07,false,2,Mastercard,2019-11-24,Davivienda
TJ-0263,7641,prepago,25105.19,2025-05-25,false,2,Visa,2019-07-22,Banistmo
TJ-0264,7199,debito,32223.47,2029-04-18,false,0,Mastercard,2023-10-22,G&T Continental
TJ-0265,2060,prepago,43399.93,2029-04-03,false,0,Visa|Amex,2023-06-21,Banrural
TJ-0266,7824,credito,4727.26,2028-07-01,true,7,Mastercard|Visa,2019-02-27,Industrial
TJ-0267,8495,debito,40211.98,2025-12-07,true,7,Visa|Mastercard,2020-01-27,Industrial
TJ-0268,8911,debito,28418.83,2029-07-22,false,1,Visa,2023-04-05,Banrural
TJ-0269,6580,credito,9456.51,2025-01-23,false,0,Amex,2018-05-07,G&T Continental
TJ-0270,7654,debito,29015.81,2024-09-04,false,2,Amex|Mastercard,2022-08-15,BAC
TJ-0271,8051,debito,45617.66,2026-04-12,false,2,Amex,2022-01-18,Davivienda
TJ-0272,6037,debito,38141.05,2029-12-09,true,5,Amex,2018-01-05,BAC
TJ-0273,8739,credito,41766.36,2024-03-27,false,1,Visa,2023-06-20,BAC
TJ-0274,9390,prepago,21428.83,2028-11-15,false,2,Visa,2018-05-30,Davivienda
TJ-0275,1575,prepago,48231.22,2029-10-09,false,0,Amex|Mastercard,2019-09-26,Banistmo
TJ-0276,5988,prepago,22572.65,2028-08-03,false,2,Amex,2022-08-06,Citibank
TJ-0277,8778,debito,33986.68,2027-01-06,true,8,Mastercard|Amex,2019-06-30,Banistmo
TJ-0278,6905,prepago,14532.66,2029-09-19,false,0,Mastercard,2021-01-16,Davivienda
TJ-0279,6734,credito,43096.12,2024-06-14,false,0,Mastercard|Visa,2019-09-03,BAC
TJ-0280,3941,debito,30961.36,2026-07-13,false,0,Visa,2022-05-13,HSBC
TJ-0281,7082,debito,11911.35,2024-02-11,false,2,Mastercard,2020-11-22,BAC
TJ-0282,4720,debito,5240.53,2029-10-10,false,1,Amex,2019-09-01,HSBC
TJ-0283,8841,debito,6986.41,2027-11-04,false,2,Mastercard,2018-04-12,BAC
TJ-0284,6868,credito,20572.58,2028-07-29,false,2,Visa,2019-07-12,Davivienda
TJ-0285,4556,debito,7346.41,2029-12-22,false,1,Visa|Amex,2023-03-22,G&T Continental
TJ-0286,4589,debito,34034.3,2026-02-01,false,1,Visa,2018-05-25,Industrial
