clienteId,tarjetaId,fechaAsignacion,esTitular,limitePersonal
CL-0164,TJ-0164,2021-05-30,true,14041.49
CL-0165,TJ-0165,2021-11-01,true,31845.48
CL-0166,TJ-0166,2023-04-24,true,44879.75
CL-0167,TJ-0167,2022-05-10,true,46468.97
CL-0168,TJ-0168,2022-03-24,true,8376.59
CL-0169,TJ-0169,2020-04-05,true,21137.83
CL-0170,TJ-0170,2019-02-27,true,6018.48
CL-0171,TJ-0171,2019-05-19,true,37740.13
CL-0172,TJ-0172,2018-06-26,true,12179.58
CL-0173,TJ-0173,2022-02-11,true,34808.27
CL-0174,TJ-0174,2023-05-19,true,34905.96
CL-0175,TJ-0175,2019-05-16,true,31970.97
CL-0176,TJ-0176,2022-12-26,true,17698.48
CL-0177,TJ-0177,2021-11-12,true,48995.03
CL-0178,TJ-0178,2019-12-09,true,11201.33
CL-0179,TJ-0179,2018-01-24,true,3318.08
CL-0180,TJ-0180,2019-06-19,true,10060.86
CL-0181,TJ-0181,2020-01-01,true,7324.18
CL-0182,TJ-0182,2023-01-18,true,5486.5
CL-0183,TJ-0183,2022-04-27,true,16244.57
CL-0184,TJ-0184,2020-06-08,true,33441.37
CL-0185,TJ-0185,2020-02-28,true,37062.13
CL-0186,TJ-0186,2021-12-27,true,45889.48
CL-0187,TJ-0187,2023-01-24,true,31717.22
CL-0188,TJ-0188,2019-10-17,true,45974.23
CL-0189,TJ-0189,2018-09-28,true,4366.82
CL-0190,TJ-0190,2019-07-01,true,47970.02
CL-0191,TJ-0191,2019-10-25,true,22654.61
CL-0192,TJ-0192,2018-02-05,true,42083.34
CL-0193,TJ-0193,2020-05-19,true,36546.32
CL-0194,TJ-0194,2022-09-24,true,40780.33
CL-0195,TJ-0195,2022-10-24,true,31897.15
CL-0196,TJ-0196,2019-05-30,true,3325.89
CL-0197,TJ-0197,2019-04-23,true,36657.08
CL-0198,TJ-0198,2019-01-18,true,25434.5
CL-0199,TJ-0199,2020-10-02,true,4682.84
CL-0200,TJ-0200,2018-11-15,true,2965.96
CL-0201,TJ-0201,2019-04-15,true,2513.26
CL-0202,TJ-0202,2020-12-10,true,20225.68
CL-0203,TJ-0203,2018-07-16,true,41215.18
CL-0204,TJ-0204,2020-02-01,true,32766.69
CL-0205,TJ-0205,2018-07-11,true,16255.66
CL-0206,TJ-0206,2021-10-26,true,41574.54
CL-0207,TJ-0207,2022-09-07,true,27207.31
CL-0208,TJ-0208,2022-06-29,true,35793.25
CL-0209,TJ-0209,2018-12-31,true,2022.58
CL-0210,TJ-0210,2022-01-07,true,11317.42
CL-0211,TJ-0211,2020-01-14,true,7637.37
CL-0212,TJ-0212,2023-12-09,true,12274.72
CL-0213,TJ-0213,2020-01-19,true,37153.25
CL-0214,TJ-0214,2018-02-03,true,9159.71
CL-0215,TJ-0215,2020-05-28,true,9887.83
CL-0216,TJ-0216,2021-01-02,true,26911.43
CL-0217,TJ-0217,2018-04-02,true,25094.1
CL-0218,TJ-0218,2022-08-04,true,30329.89
CL-0219,TJ-0219,2022-11-20,true,18487.98
CL-0220,TJ-0220,2023-04-22,true,39923.24
CL-0221,TJ-0221,2021-07-12,true,16281.56
CL-0222,TJ-0222,2021-12-14,true,48167.33
CL-0223,TJ-0223,2019-11-04,true,28152.32
CL-0224,TJ-0224,2019-02-14,true,13559.27
CL-0225,TJ-0225,2020-08-24,true,38365.7
CL-0226,TJ-0226,2019-11-12,true,43803.71
CL-0227,TJ-0227,2021-04-25,true,17782.45
CL-0228,TJ-0228,2020-08-26,true,13699.31
CL-0229,TJ-0229,2020-12-07,true,29516.32
CL-0230,TJ-0230,2018-09-27,true,47507.57
CL-0231,TJ-0231,2022-07-22,true,2669.11
CL-0232,TJ-0232,2023-09-18,true,14002.87
CL-0233,TJ-0233,2023-03-22,true,27662.45
CL-0234,TJ-0234,2019-05-09,true,28342.81
CL-0235,TJ-0235,2019-08-17,true,9004.35
CL-0236,TJ-0236,2020-12-27,true,34272.34
CL-0237,TJ-0237,2021-04-01,true,14643.34
CL-0238,TJ-0238,2021-05-22,true,27257.52
CL-0239,TJ-0239,2023-11-22,true,18400.02
CL-0240,TJ-0240,2022-06-07,true,39136.82
CL-0241,TJ-0241,2021-06-25,true,15759.45
CL-0242,TJ-0242,2021-09-07,true,4938.42
CL-0243,TJ-0243,2020-12-11,true,9679.07
CL-0244,TJ-0244,2022-02-16,true,23709.97
CL-0245,TJ-0245,2019-01-17,true,13579.48
CL-0246,TJ-0246,2022-04-04,true,36177.13
CL-0247,TJ-0247,2023-05-19,true,4146.57
CL-0248,TJ-0248,2020-04-11,true,39675.7
CL-0249,TJ-0249,2018-12-16,true,14221.1
CL-0250,TJ-0250,2024-01-01,true,7352.75
CL-0251,TJ-0251,2022-07-10,true,39502.55
CL-0252,TJ-0252,2022-06-13,true,6647.89
CL-0253,TJ-0253,2019-06-26,true,11366.52
CL-0254,TJ-0254,2021-12-11,true,16805.95
CL-0255,TJ-0255,2022-02-11,true,37249.64
CL-0256,TJ-0256,2019-08-27,true,44919.78
CL-0257,TJ-0257,2019-04-03,true,41962.26
CL-0258,TJ-0258,2022-12-14,true,9466.79
CL-0259,TJ-0259,2018-02-12,true,41380.94
CL-0260,TJ-0260,2023-04-04,true,22628.6
CL-0261,TJ-0261,2020-06-10,true,3953.42
CL-0262,TJ-0262,2023-03-03,true,28520.22
CL-0263,TJ-0263,2020-09-14,true,42793.9
CL-0264,TJ-0264,2020-05-25,true,13511.02
CL-0265,TJ-0265,2022-06-07,true,8884.1
CL-0266,TJ-0266,2023-05-16,true,17839.4
CL-0267,TJ-0267,2020-05-18,true,28595.12
CL-0268,TJ-0268,2018-12-24,true,38277.4
CL-0269,TJ-0269,2020-02-19,true,27901.25
CL-0270,TJ-0270,2019-10-10,true,26332.87
CL-0271,TJ-0271,2018-12-10,true,25994.16
CL-0272,TJ-0272,2020-05-13,true,44284.33
CL-0273,TJ-0273,2021-08-05,true,1644.61
CL-0274,TJ-0274,2020-08-25,true,31497.95
CL-0275,TJ-0275,2021-05-27,true,27078.82
CL-0276,TJ-0276,2021-08-11,true,17646.55
CL-0277,TJ-0277,2022-01-27,true,2803.53
CL-0278,TJ-0278,2023-09-18,true,6829.36
CL-0279,TJ-0279,2019-01-20,true,34549.65
CL-0280,TJ-0280,2020-12-21,true,21310.97
CL-0281,TJ-0281,2023-03-02,true,48490.06
CL-0282,TJ-0282,2021-09-28,true,20368.71
CL-0283,TJ-0283,2022-07-25,true,8890.95
CL-0284,TJ-0284,2023-04-07,true,46802.43
CL-0285,TJ-0285,2022-05-28,true,46372.49
CL-0286,TJ-0286,2023-03-08,true,43901.72
CL-0287,TJ-0287,2019-12-27,true,16178.31
CL-0288,TJ-0288,2023-09-02,true,41581.88
CL-0289,TJ-0289,2021-06-03,true,14187.38
CL-0290,TJ-0290,2022-01-25,true,21067.2
CL-0291,TJ-0291,2021-12-08,true,5080.89
CL-0292,TJ-0292,2021-01-04,true,30045.71
CL-0293,TJ-0293,2023-01-27,true,17804.73
CL-0294,TJ-0294,2018-05-24,true,4414.79
CL-0295,TJ-0295,2020-11-29,true,19861.43
CL-0296,TJ-0296,2020-05-20,true,12961.49
CL-0297,TJ-0297,2020-12-07,true,16750.84
CL-0298,TJ-0298,2021-03-08,true,17348.53
CL-0299,TJ-0299,2018-01-14,true,5373.68
CL-0300,TJ-0300,2019-08-06,true,7849.87
CL-0301,TJ-0301,2023-11-05,true,32705.24
CL-0302,TJ-0302,2023-08-22,true,15549.16
CL-0303,TJ-0303,2019-02-15,true,11019.22
CL-0304,TJ-0304,2019-06-09,true,48623.15
CL-0305,TJ-0305,2022-01-05,true,43923.83
CL-0306,TJ-0306,2020-09-30,true,3739.77
CL-0307,TJ-0307,2023-11-02,true,31264.1
CL-0308,TJ-0308,2020-08-17,true,2166.24
CL-0309,TJ-0309,2019-09-15,true,33032.42
CL-0310,TJ-0310,2020-01-30,true,8425.35
CL-0311,TJ-0311,2018-06-12,true,9081.12
CL-0312,TJ-0312,2021-06-18,true,43971.62
CL-0313,TJ-0313,2023-08-10,true,21909.46
CL-0314,TJ-0314,2022-12-02,true,3235.77
CL-0315,TJ-0315,2022-07-13,true,43668.85
CL-0316,TJ-0316,2020-04-04,true,35140.31
CL-0317,TJ-0317,2019-10-13,true,28082.14
CL-0318,TJ-0318,2022-03-29,true,35667.01
CL-0319,TJ-0319,2023-01-11,true,15186.62
CL-0320,TJ-0320,2018-03-17,true,33645.42
CL-0321,TJ-0321,2023-05-24,true,24899.21
CL-0322,TJ-0322,2021-09-04,true,34849.37
CL-0323,TJ-0323,2021-04-17,true,29436.51
CL-0324,TJ-0324,2022-08-05,true,10079.08
CL-0325,TJ-0325,2021-12-04,true,29969.99
CL-0326,TJ-0326,2019-04-18,true,7914.9
CL-0327,TJ-0327,2020-06-09,true,18847.94
CL-0328,TJ-0328,2020-02-13,true,3538.04
CL-0329,TJ-0329,2019-10-25,true,17566.89
CL-0330,TJ-0330,2020-10-31,true,34543.99
CL-0331,TJ-0331,2020-03-24,true,22150.93
CL-0332,TJ-0332,2020-11-24,true,20053.12
CL-0333,TJ-0333,2020-06-30,true,23785.45
CL-0334,TJ-0334,2022-10-12,true,24302.94
CL-0335,TJ-0335,2021-09-06,true,45869.96
CL-0336,TJ-0336,2021-05-07,true,15233.05
CL-0337,TJ-0337,2020-05-12,true,31861.91
CL-0338,TJ-0338,2021-01-02,true,26236.0
CL-0339,TJ-0339,2020-01-22,true,6856.53
CL-0340,TJ-0340,2020-12-02,true,45576.87
CL-0341,TJ-0341,2021-09-15,true,47671.56
CL-0342,TJ-0342,2023-07-16,true,9846.59
CL-0343,TJ-0343,2021-11-22,true,19373.97
CL-0344,TJ-0344,2020-07-19,true,8973.53
CL-0345,TJ-0345,2022-06-13,true,40712.99
CL-0346,TJ-0346,2021-08-21,true,44082.12
CL-0347,TJ-0347,2021-12-11,true,16543.33
CL-0348,TJ-0348,2019-09-24,true,19987.96
CL-0349,TJ-0349,2021-03-13,true,40124.45
CL-0350,TJ-0350,2018-02-26,true,18279.44
CL-0351,TJ-0351,2023-11-12,true,41003.41
CL-0352,TJ-0352,2022-05-24,true,3635.32
CL-0353,TJ-0353,2019-10-14,true,8291.01
CL-0354,TJ-0354,2023-08-22,true,14814.41
CL-0355,TJ-0355,2020-03-27,true,48081.8
CL-0356,TJ-0356,2019-09-06,true,39872.57
CL-0357,TJ-0357,2023-12-20,true,32079.09
CL-0358,TJ-0358,2022-07-23,true,43947.94
CL-0359,TJ-0359,2023-09-02,true,29346.33
CL-0360,TJ-0360,2018-03-01,true,5799.9
CL-0361,TJ-0361,2022-06-27,true,31989.02
CL-0362,TJ-0362,2021-10-26,true,47089.3
CL-0363,TJ-0363,2020-01-08,true,26981.54
CL-0364,TJ-0364,2021-03-13,true,47797.54
CL-0365,TJ-0365,2020-03-12,true,2567.46
CL-0366,TJ-0366,2019-12-17,true,33351.87
CL-0367,TJ-0367,2022-10-08,true,6057.7
CL-0368,TJ-0368,2020-11-08,true,43538.6
CL-0369,TJ-0369,2019-01-27,true,22176.31
CL-0370,TJ-0370,2020-08-14,true,32977.82
CL-0371,TJ-0371,2018-03-15,true,23564.65
CL-0372,TJ-0372,2019-10-26,true,25333.47
CL-0373,TJ-0373,2020-12-03,true,35567.03
CL-0374,TJ-0374,2018-04-30,true,3209.01
CL-0375,TJ-0375,2021-12-02,true,3594.25
CL-0376,TJ-0376,2021-04-18,true,40391.11
CL-0377,TJ-0377,2018-01-20,true,44440.28
CL-0378,TJ-0378,2022-12-18,true,28936.09
CL-0379,TJ-0379,2020-07-17,true,30503.0
CL-0380,TJ-0380,2022-12-19,true,24210.61
CL-0381,TJ-0381,2023-10-01,true,42395.31
CL-0382,TJ-0382,2018-07-13,true,46621.24
CL-0383,TJ-0383,2023-09-12,true,19102.8
CL-0384,TJ-0384,2019-02-15,true,46979.12
CL-0385,TJ-0385,2018-04-12,true,37316.82
CL-0386,TJ-0386,2020-12-22,true,9362.25
CL-0387,TJ-0387,2021-04-27,true,28250.35
CL-0388,TJ-0388,2023-01-06,true,26612.96
CL-0389,TJ-0389,2018-06-30,true,16107.39
CL-0390,TJ-0390,2021-06-12,true,25472.32
CL-0391,TJ-0391,2019-03-04,true,13753.6
CL-0392,TJ-0392,2023-09-30,true,43117.34
CL-0393,TJ-0393,2023-10-24,true,23684.48
CL-0394,TJ-0394,2021-12-01,true,42508.01
CL-0395,TJ-0395,2018-11-14,true,16840.17
CL-0396,TJ-0396,2022-06-29,true,30883.91
CL-0397,TJ-0397,2019-10-20,true,7556.24
CL-0398,TJ-0398,2019-04-15,true,46815.69
CL-0399,TJ-0399,2020-03-28,true,23349.1
CL-0400,TJ-0400,2018-05-19,true,31799.1
CL-0401,TJ-0401,2022-06-19,true,28179.06
CL-0402,TJ-0402,2021-02-28,true,34040.66
CL-0403,TJ-0403,2021-06-16,true,35239.7
CL-0404,TJ-0404,2022-07-12,true,34791.56
CL-0405,TJ-0405,2020-07-30,true,1561.88
CL-0406,TJ-0406,2021-06-23,true,24076.4
CL-0407,TJ-0407,2019-02-14,true,15933.63
CL-0408,TJ-0408,2021-07-11,true,33069.09
CL-0409,TJ-0409,2020-02-01,true,38591.09
CL-0410,TJ-0410,2023-08-16,true,15796.96
CL-0411,TJ-0411,2023-03-29,true,44091.26
CL-0412,TJ-0412,2022-04-06,true,25026.3
CL-0413,TJ-0413,2023-02-14,true,14630.01
CL-0414,TJ-0414,2022-11-11,true,17470.18
CL-0415,TJ-0415,2022-12-27,true,14716.31
CL-0416,TJ-0416,2022-07-30,true,37014.27
CL-0417,TJ-0417,2022-12-11,true,28234.74
CL-0418,TJ-0418,2022-09-13,true,11092.82
CL-0419,TJ-0419,2022-12-21,true,5965.14
CL-0420,TJ-0420,2021-04-29,true,12591.11
CL-0421,TJ-0421,2018-10-06,true,32999.81
CL-0422,TJ-0422,2019-04-11,true,5625.2
CL-0423,TJ-0423,2022-07-17,true,40450.81
CL-0424,TJ-0424,2022-02-20,true,29795.07
CL-0425,TJ-0425,2022-03-02,true,49538.06
CL-0426,TJ-0426,2019-07-21,true,16224.86
CL-0427,TJ-0427,2023-07-18,true,6765.79
CL-0428,TJ-0428,2023-11-09,true,25202.4
CL-0429,TJ-0429,2023-07-03,true,27834.3
CL-0430,TJ-0430,2021-07-12,true,20931.7
CL-0431,TJ-0431,2020-10-12,true,14371.16
CL-0432,TJ-0432,2020-04-15,true,9491.11
CL-0433,TJ-0433,2018-12-26,true,1493.34
CL-0434,TJ-0434,2018-12-02,true,2326.42
CL-0435,TJ-0435,2023-11-14,true,10952.53
CL-0436,TJ-0436,2019-04-26,true,39462.4
CL-0437,TJ-0437,2018-10-04,true,14223.14
CL-0438,TJ-0438,2018-08-07,true,5157.07
CL-0439,TJ-0439,2019-06-14,true,3226.85
CL-0440,TJ-0440,2018-12-01,true,32700.47
CL-0441,TJ-0441,2021-06-05,true,23903.36
CL-0442,TJ-0442,2019-01-17,true,49767.22
CL-0443,TJ-0443,2023-04-30,true,28864.53
CL-0444,TJ-0444,2019-01-31,true,49708.07
CL-0445,TJ-0445,2021-01-27,true,44419.8
CL-0446,TJ-0446,2020-02-13,true,39156.6
CL-0447,TJ-0447,2018-08-20,true,10118.8
CL-0448,TJ-0448,2018-10-05,true,9467.84
CL-0449,TJ-0449,2021-08-12,true,40379.66
CL-0450,TJ-0450,2019-09-24,true,13869.83
CL-0451,TJ-0451,2023-05-12,true,37727.04
CL-0452,TJ-0452,2023-09-16,true,48455.58
CL-0453,TJ-0453,2023-08-03,true,3116.8
CL-0454,TJ-0454,2020-01-10,true,23605.8
CL-0455,TJ-0455,2022-01-26,true,22982.11
CL-0456,TJ-0456,2020-03-01,true,21076.36
CL-0457,TJ-0457,2021-03-26,true,9015.62
CL-0458,TJ-0458,2021-01-29,true,9744.73
CL-0459,TJ-0459,2021-06-22,true,34268.27
CL-0460,TJ-0460,2018-09-06,true,47419.04
CL-0461,TJ-0461,2022-05-01,true,31601.6
CL-0462,TJ-0462,2019-03-19,true,31835.22
CL-0463,TJ-0463,2021-04-11,true,20525.74
CL-0464,TJ-0464,2022-11-23,true,30721.2
CL-0465,TJ-0465,2019-06-24,true,46170.48
CL-0466,TJ-0466,2018-01-07,true,24705.77
CL-0467,TJ-0467,2019-12-15,true,29013.86
CL-0468,TJ-0468,2019-09-03,true,7445.54
CL-0469,TJ-0469,2020-08-22,true,35338.73
CL-0470,TJ-0470,2023-11-14,true,32749.6
CL-0471,TJ-0471,2018-04-15,true,25929.89
CL-0472,TJ-0472,2022-08-08,true,47158.27
CL-0473,TJ-0473,2020-09-13,true,11196.21
CL-0474,TJ-0474,2021-05-24,true,37990.38
CL-0475,TJ-0475,2021-02-07,true,18169.87
CL-0476,TJ-0476,2022-12-06,true,47353.45
CL-0477,TJ-0477,2018-07-11,true,27897.95
CL-0478,TJ-0478,2018-03-25,true,34722.02
CL-0479,TJ-0479,2023-10-05,true,36245.44
CL-0480,TJ-0480,2021-08-12,true,20079.78
CL-0481,TJ-0481,2023-08-17,true,3249.79
CL-0482,TJ-0482,2019-07-21,true,28299.11
CL-0483,TJ-0483,2021-02-14,true,1094.39
CL-0484,TJ-0484,2019-09-22,true,23086.04
CL-0485,TJ-0485,2020-03-30,true,21575.02
CL-0486,TJ-0486,2019-06-25,true,33292.05
CL-0487,TJ-0487,2021-02-04,true,31279.49
CL-0488,TJ-0488,2021-04-27,true,6330.83
CL-0489,TJ-0489,2021-04-16,true,40573.78
CL-0490,TJ-0490,2023-02-19,true,30373.86
CL-0491,TJ-0491,2020-12-17,true,15030.95
CL-0492,TJ-0492,2021-08-29,true,5015.33
CL-0493,TJ-0493,2020-08-18,true,44888.44
CL-0494,TJ-0494,2019-11-14,true,20639.09
CL-0495,TJ-0495,2018-03-15,true,41988.59
CL-0496,TJ-0496,2022-11-02,true,2032.19
CL-0497,TJ-0497,2019-06-14,true,13207.23
CL-0498,TJ-0498,2023-10-21,true,8181.11
CL-0499,TJ-0499,2018-03-08,true,1675.71
CL-0500,TJ-0500,2019-12-07,true,30109.64
CL-0501,TJ-0501,2018-02-05,true,21641.02
CL-0502,TJ-0502,2023-05-28,true,36806.66
CL-0503,TJ-0503,2019-07-24,true,31667.43
CL-0504,TJ-0504,2022-09-25,true,16389.06
CL-0505,TJ-0505,2021-07-08,true,10924.0
CL-0506,TJ-0506,2019-08-27,true,8312.52
CL-0507,TJ-0507,2019-11-28,true,6926.21
CL-0508,TJ-0508,2023-10-07,true,27832.35
CL-0509,TJ-0509,2022-06-22,true,31548.08
CL-0510,TJ-0510,2020-04-18,true,39947.93
CL-0511,TJ-0511,2021-08-04,true,41160.16
CL-0512,TJ-0512,2020-06-08,true,38905.75
CL-0513,TJ-0513,2019-12-16,true,36127.76
CL-0514,TJ-0514,2019-09-05,true,12154.61
CL-0515,TJ-0515,2023-07-21,true,8038.25
CL-0516,TJ-0516,2021-06-03,true,13693.19
