clienteId,transaccionId,fecha,canal,ipOrigen
CL-0034,TX-00034,2023-09-08,app_movil,131.111.222.218
CL-0035,TX-00035,2024-08-15,app_movil,12.148.198.177
CL-0036,TX-00036,2023-12-02,online,60.112.24.190
CL-0037,TX-00037,2024-01-05,POS,90.191.18.194
CL-0038,TX-00038,2023-07-05,POS,64.39.143.182
CL-0039,TX-00039,2024-08-28,transferencia,40.249.114.161
CL-0040,TX-00040,2023-03-26,online,170.155.44.255
CL-0041,TX-00041,2024-08-20,POS,39.224.219.2
CL-0042,TX-00042,2023-11-26,online,47.56.64.126
CL-0043,TX-00043,2023-06-23,online,184.236.113.188
CL-0044,TX-00044,2024-01-10,transferencia,27.186.72.200
CL-0045,TX-00045,2024-05-14,POS,220.190.180.246
CL-0046,TX-00046,2024-04-07,POS,62.193.40.7
CL-0047,TX-00047,2024-10-19,ATM,102.99.60.202
CL-0048,TX-00048,2024-12-08,transferencia,30.155.138.85
CL-0049,TX-00049,2023-10-04,POS,103.40.238.64
CL-0050,TX-00050,2023-08-15,ATM,195.192.136.6
CL-0051,TX-00051,2024-12-02,transferencia,199.205.229.150
CL-0052,TX-00052,2023-07-01,online,25.137.192.54
CL-0053,TX-00053,2023-07-26,transferencia,218.2.14.132
CL-0054,TX-00054,2023-12-13,app_movil,164.238.171.103
CL-0055,TX-00055,2024-06-04,app_movil,172.26.150.184
CL-0056,TX-00056,2024-03-01,POS,186.120.153.152
CL-0057,TX-00057,2023-11-05,app_movil,75.156.76.217
CL-0058,TX-00058,2024-10-16,ATM,149.202.124.89
CL-0059,TX-00059,2023-04-30,online,158.239.239.106
CL-0060,TX-00060,2023-07-12,transferencia,206.248.7.183
CL-0061,TX-00061,2024-02-09,POS,130.41.234.223
CL-0062,TX-00062,2024-03-15,POS,128.149.167.138
CL-0063,TX-00063,2024-12-17,online,154.210.34.179
CL-0064,TX-00064,2024-06-03,online,214.255.83.251
CL-0065,TX-00065,2023-08-18,POS,158.215.66.67
CL-0066,TX-00066,2024-02-03,POS,150.156.15.44
CL-0067,TX-00067,2024-03-08,online,88.216.26.249
CL-0068,TX-00068,2024-02-20,POS,4.184.176.30
CL-0069,TX-00069,2024-09-12,app_movil,57.119.61.68
CL-0070,TX-00070,2024-10-29,ATM,101.92.249.241
CL-0071,TX-00071,2023-01-05,online,52.87.81.158
CL-0072,TX-00072,2024-03-03,POS,64.23.19.150
CL-0073,TX-00073,2023-10-24,online,190.79.32.251
CL-0074,TX-00074,2023-01-09,POS,152.60.105.50
CL-0075,TX-00075,2023-08-12,ATM,10.71.198.35
CL-0076,TX-00076,2024-12-12,ATM,95.142.36.46
CL-0077,TX-00077,2023-08-23,online,175.134.33.73
CL-0078,TX-00078,2023-06-04,transferencia,124.231.80.162
CL-0079,TX-00079,2024-03-15,transferencia,106.190.128.94
CL-0080,TX-00080,2024-07-29,app_movil,109.44.255.108
CL-0081,TX-00081,2024-05-29,POS,133.214.99.159
CL-0082,TX-00082,2023-08-03,transferencia,161.113.162.37
CL-0083,TX-00083,2024-09-23,ATM,113.153.250.133
CL-0084,TX-00084,2023-12-01,ATM,186.19.156.166
CL-0085,TX-00085,2024-05-18,ATM,93.132.60.10
CL-0086,TX-00086,2023-02-01,transferencia,5.238.47.83
CL-0087,TX-00087,2024-11-13,online,43.5.128.151
CL-0088,TX-00088,2024-12-06,online,18.201.156.232
CL-0089,TX-00089,2023-02-18,POS,223.207.16.111
CL-0090,TX-00090,2023-03-05,app_movil,135.37.220.225
CL-0091,TX-00091,2024-09-29,app_movil,148.108.86.148
CL-0092,TX-00092,2024-09-05,transferencia,144.63.174.175
CL-0093,TX-00093,2023-03-17,ATM,106.102.135.202
CL-0094,TX-00094,2024-08-11,app_movil,48.181.132.44
CL-0095,TX-00095,2023-12-21,app_movil,213.149.135.225
CL-0096,TX-00096,2024-11-02,app_movil,149.178.117.107
CL-0097,TX-00097,2023-05-15,transferencia,82.237.215.209
CL-0098,TX-00098,2023-09-20,transferencia,74.218.144.129
CL-0099,TX-00099,2023-09-01,app_movil,160.60.23.122
CL-0100,TX-00100,2023-02-04,online,204.189.76.253
CL-0101,TX-00101,2024-02-14,online,100.164.52.208
CL-0102,TX-00102,2024-01-09,ATM,208.4.221.3
CL-0103,TX-00103,2024-08-16,app_movil,146.198.23.6
CL-0104,TX-00104,2023-04-19,app_movil,46.186.194.38
CL-0105,TX-00105,2024-05-19,app_movil,13.137.195.252
CL-0106,TX-00106,2023-08-17,ATM,220.230.215.226
CL-0107,TX-00107,2023-06-11,transferencia,193.76.221.180
CL-0108,TX-00108,2023-08-14,app_movil,46.117.167.134
CL-0109,TX-00109,2023-09-14,app_movil,71.122.139.65
CL-0110,TX-00110,2023-04-14,app_movil,183.185.15.209
CL-0111,TX-00111,2023-07-18,online,216.123.205.124
CL-0112,TX-00112,2024-04-06,online,200.223.173.237
CL-0113,TX-00113,2024-08-27,online,84.12.219.85
CL-0114,TX-00114,2024-05-22,app_movil,37.205.149.156
CL-0115,TX-00115,2024-05-29,POS,113.27.8.4
CL-0116,TX-00116,2023-04-07,ATM,196.115.35.163
CL-0117,TX-00117,2023-10-06,app_movil,84.188.74.157
CL-0118,TX-00118,2023-02-22,POS,102.79.240.98
CL-0119,TX-00119,2024-09-14,app_movil,202.168.198.44
CL-0120,TX-00120,2023-02-05,POS,182.192.2.161
CL-0121,TX-00121,2024-12-27,online,25.147.192.114
CL-0122,TX-00122,2024-08-09,online,61.242.187.173
CL-0123,TX-00123,2023-04-18,POS,49.89.1.15
CL-0124,TX-00124,2024-06-20,transferencia,1.254.85.53
CL-0125,TX-00125,2024-11-07,POS,14.90.150.196
CL-0126,TX-00126,2023-04-17,ATM,101.201.236.120
CL-0127,TX-00127,2023-01-15,ATM,214.212.76.28
CL-0128,TX-00128,2023-11-18,online,14.228.164.7
CL-0129,TX-00129,2023-08-22,transferencia,199.217.244.62
CL-0130,TX-00130,2024-03-04,transferencia,63.244.170.123
CL-0131,TX-00131,2023-06-19,POS,88.55.94.108
CL-0132,TX-00132,2023-11-14,online,128.28.192.78
CL-0133,TX-00133,2024-04-17,app_movil,122.43.192.105
CL-0134,TX-00134,2023-09-02,POS,40.160.42.103
CL-0135,TX-00135,2024-12-23,transferencia,18.86.46.90
CL-0136,TX-00136,2023-01-05,ATM,94.141.49.151
CL-0137,TX-00137,2023-05-01,transferencia,131.222.170.164
CL-0138,TX-00138,2023-12-16,app_movil,103.236.145.130
CL-0139,TX-00139,2023-05-20,app_movil,153.30.248.199
CL-0140,TX-00140,2023-03-02,ATM,125.124.94.178
CL-0141,TX-00141,2023-10-04,app_movil,165.130.164.167
CL-0142,TX-00142,2023-01-14,ATM,53.9.27.73
CL-0143,TX-00143,2024-08-31,app_movil,13.114.161.27
CL-0144,TX-00144,2023-06-29,transferencia,105.16.32.162
CL-0145,TX-00145,2024-02-19,app_movil,217.68.12.195
CL-0146,TX-00146,2024-12-12,online,155.104.7.61
CL-0147,TX-00147,2023-11-04,online,157.238.157.246
CL-0148,TX-00148,2023-11-27,transferencia,197.81.147.29
CL-0149,TX-00149,2024-12-25,transferencia,199.78.249.18
CL-0150,TX-00150,2023-11-19,POS,50.239.214.201
CL-0151,TX-00151,2023-03-18,ATM,73.67.80.243
CL-0152,TX-00152,2024-10-26,app_movil,40.15.163.81
CL-0153,TX-00153,2024-07-11,transferencia,198.154.76.52
CL-0154,TX-00154,2023-11-28,transferencia,22.147.153.76
CL-0155,TX-00155,2023-02-22,online,94.212.113.113
CL-0156,TX-00156,2023-09-04,online,185.186.82.190
CL-0157,TX-00157,2024-01-04,ATM,25.175.153.150
CL-0158,TX-00158,2023-12-12,online,154.240.207.71
CL-0159,TX-00159,2024-07-10,ATM,36.165.51.99
CL-0160,TX-00160,2023-05-29,online,179.99.206.70
CL-0161,TX-00161,2023-06-14,transferencia,154.156.56.130
CL-0162,TX-00162,2023-09-14,app_movil,178.24.61.200
CL-0163,TX-00163,2023-08-03,ATM,133.19.244.255
CL-0164,TX-00164,2024-03-30,online,134.87.116.230
CL-0165,TX-00165,2023-07-13,POS,142.233.98.148
CL-0166,TX-00166,2024-12-30,transferencia,126.199.173.5
CL-0167,TX-00167,2023-09-04,POS,111.96.140.246
CL-0168,TX-00168,2023-12-16,POS,190.134.23.238
CL-0169,TX-00169,2024-06-26,transferencia,73.166.248.155
CL-0170,TX-00170,2023-12-22,POS,135.206.139.143
CL-0171,TX-00171,2024-05-01,ATM,207.41.0.24
CL-0172,TX-00172,2024-08-16,POS,68.252.89.182
CL-0173,TX-00173,2024-05-30,online,65.69.216.52
CL-0174,TX-00174,2024-01-11,POS,214.11.188.79
CL-0175,TX-00175,2023-11-18,transferencia,168.231.153.126
CL-0176,TX-00176,2024-06-20,app_movil,162.154.144.116
CL-0177,TX-00177,2024-01-06,POS,86.18.118.181
CL-0178,TX-00178,2024-11-11,online,41.136.135.63
CL-0179,TX-00179,2024-07-21,ATM,116.139.231.95
CL-0180,TX-00180,2023-06-05,ATM,22.168.214.222
CL-0181,TX-00181,2023-11-16,ATM,194.143.133.205
CL-0182,TX-00182,2024-08-07,online,35.244.185.230
CL-0183,TX-00183,2024-12-25,ATM,44.147.16.163
CL-0184,TX-00184,2024-12-07,POS,125.150.234.121
CL-0185,TX-00185,2023-05-28,app_movil,145.188.161.42
CL-0186,TX-00186,2023-01-03,online,161.251.151.116
CL-0187,TX-00187,2024-08-11,app_movil,94.220.27.233
CL-0188,TX-00188,2023-03-23,transferencia,4.66.141.12
CL-0189,TX-00189,2023-01-07,POS,207.62.108.227
CL-0190,TX-00190,2024-11-06,POS,46.88.182.227
CL-0191,TX-00191,2024-01-24,transferencia,122.36.43.242
CL-0192,TX-00192,2024-03-02,online,136.151.76.108
CL-0193,TX-00193,2023-08-15,online,79.62.95.220
CL-0194,TX-00194,2023-07-01,app_movil,211.21.228.153
CL-0195,TX-00195,2023-12-21,ATM,133.103.115.43
CL-0196,TX-00196,2023-03-11,POS,125.128.53.98
CL-0197,TX-00197,2023-01-25,ATM,91.65.3.156
CL-0198,TX-00198,2023-04-07,POS,82.215.74.176
CL-0199,TX-00199,2023-05-05,ATM,22.30.99.188
CL-0200,TX-00200,2023-03-09,transferencia,166.192.33.123
CL-0201,TX-00201,2023-01-06,online,71.211.126.208
CL-0202,TX-00202,2024-10-31,transferencia,84.213.38.56
CL-0203,TX-00203,2024-03-27,online,143.41.236.173
CL-0204,TX-00204,2023-06-20,ATM,87.250.196.192
CL-0205,TX-00205,2024-12-30,POS,31.196.84.139
CL-0206,TX-00206,2023-09-10,transferencia,183.70.98.231
CL-0207,TX-00207,2024-02-11,ATM,185.7.241.106
CL-0208,TX-00208,2024-11-26,transferencia,55.28.113.9
CL-0209,TX-00209,2024-08-21,online,94.113.130.15
CL-0210,TX-00210,2023-01-20,transferencia,122.222.236.116
CL-0211,TX-00211,2024-02-26,online,92.72.53.194
CL-0212,TX-00212,2023-01-21,POS,58.217.3.65
CL-0213,TX-00213,2024-05-22,online,162.71.58.91
CL-0214,TX-00214,2023-08-05,online,209.141.150.218
CL-0215,TX-00215,2023-10-23,transferencia,203.8.230.123
CL-0216,TX-00216,2024-04-27,transferencia,96.193.112.179
CL-0217,TX-00217,2023-09-20,POS,137.51.3.46
CL-0218,TX-00218,2024-06-26,transferencia,181.181.156.186
CL-0219,TX-00219,2024-09-05,app_movil,118.172.204.206
CL-0220,TX-00220,2024-01-23,app_movil,194.183.67.135
CL-0221,TX-00221,2023-01-07,app_movil,17.43.90.48
CL-0222,TX-00222,2024-05-28,app_movil,191.32.40.141
CL-0223,TX-00223,2024-08-22,ATM,95.141.154.17
CL-0224,TX-00224,2023-04-30,transferencia,77.208.204.214
CL-0225,TX-00225,2024-01-18,online,19.47.132.87
CL-0226,TX-00226,2023-08-11,online,72.62.222.227
CL-0227,TX-00227,2024-04-15,app_movil,6.31.86.207
CL-0228,TX-00228,2023-09-07,transferencia,152.63.202.254
CL-0229,TX-00229,2023-08-14,transferencia,79.175.223.121
CL-0230,TX-00230,2023-05-19,online,93.248.36.160
CL-0231,TX-00231,2024-09-06,transferencia,2.57.189.164
CL-0232,TX-00232,2023-04-06,online,197.56.39.11
CL-0233,TX-00233,2023-12-03,app_movil,215.238.175.228
CL-0234,TX-00234,2024-08-25,app_movil,60.183.89.245
CL-0235,TX-00235,2024-09-09,app_movil,199.100.220.215
CL-0236,TX-00236,2024-04-06,online,7.56.154.112
CL-0237,TX-00237,2024-12-04,POS,191.147.244.166
CL-0238,TX-00238,2024-08-17,app_movil,88.210.228.241
CL-0239,TX-00239,2024-12-23,POS,221.75.77.113
CL-0240,TX-00240,2024-12-31,online,126.148.127.165
CL-0241,TX-00241,2024-04-12,transferencia,143.177.37.49
CL-0242,TX-00242,2024-02-01,app_movil,42.154.226.45
CL-0243,TX-00243,2023-03-13,app_movil,64.39.174.172
CL-0244,TX-00244,2024-03-05,online,38.139.8.96
CL-0245,TX-00245,2024-12-11,app_movil,90.138.143.107
CL-0246,TX-00246,2023-06-20,ATM,113.43.207.245
CL-0247,TX-00247,2024-10-26,transferencia,124.158.226.82
CL-0248,TX-00248,2024-02-19,transferencia,146.177.243.216
CL-0249,TX-00249,2023-12-09,online,73.79.83.206
CL-0250,TX-00250,2023-10-12,ATM,121.174.250.201
CL-0251,TX-00251,2024-02-18,transferencia,33.127.106.208
CL-0252,TX-00252,2023-09-19,POS,78.163.144.69
CL-0253,TX-00253,2023-10-06,online,35.148.72.22
CL-0254,TX-00254,2023-05-06,POS,99.61.19.25
CL-0255,TX-00255,2024-09-13,POS,39.190.159.41
CL-0256,TX-00256,2024-05-30,ATM,85.149.153.84
CL-0257,TX-00257,2023-07-31,online,126.176.215.81
CL-0258,TX-00258,2024-09-05,app_movil,84.48.80.142
CL-0259,TX-00259,2024-02-25,transferencia,67.21.74.134
CL-0260,TX-00260,2024-06-04,app_movil,57.9.186.32
CL-0261,TX-00261,2023-03-10,ATM,7.50.90.96
CL-0262,TX-00262,2023-12-30,transferencia,203.68.238.149
CL-0263,TX-00263,2024-04-15,app_movil,153.41.10.210
CL-0264,TX-00264,2023-04-20,app_movil,93.136.197.164
CL-0265,TX-00265,2023-06-11,online,178.152.85.21
CL-0266,TX-00266,2024-02-23,POS,164.150.56.121
CL-0267,TX-00267,2023-01-01,ATM,126.149.35.29
CL-0268,TX-00268,2024-04-24,transferencia,32.168.63.153
CL-0269,TX-00269,2023-10-30,online,136.112.138.79
CL-0270,TX-00270,2023-08-04,transferencia,8.122.152.206
CL-0271,TX-00271,2023-06-21,app_movil,16.18.70.67
CL-0272,TX-00272,2023-03-15,online,5.93.155.47
CL-0273,TX-00273,2024-03-07,online,167.159.86.21
CL-0274,TX-00274,2024-01-29,app_movil,5.99.229.227
CL-0275,TX-00275,2024-09-27,POS,77.123.14.186
CL-0276,TX-00276,2023-07-09,online,77.51.17.241
CL-0277,TX-00277,2024-04-27,POS,61.56.192.132
CL-0278,TX-00278,2024-03-25,POS,200.188.168.54
CL-0279,TX-00279,2024-10-12,POS,59.254.78.231
CL-0280,TX-00280,2024-08-01,POS,103.151.6.110
CL-0281,TX-00281,2023-03-17,ATM,168.8.125.72
CL-0282,TX-00282,2024-06-15,POS,182.166.229.104
CL-0283,TX-00283,2024-03-30,ATM,95.218.237.43
CL-0284,TX-00284,2023-05-17,online,221.196.219.66
CL-0285,TX-00285,2023-12-23,app_movil,3.234.166.159
CL-0286,TX-00286,2023-02-06,ATM,191.132.252.92
CL-0287,TX-00287,2023-07-15,online,31.116.30.245
CL-0288,TX-00288,2023-06-27,transferencia,114.52.170.97
CL-0289,TX-00289,2023-09-10,transferencia,140.60.10.105
CL-0290,TX-00290,2023-03-06,ATM,79.32.146.184
CL-0291,TX-00291,2024-01-07,transferencia,208.161.120.236
CL-0292,TX-00292,2023-08-12,transferencia,203.138.20.31
CL-0293,TX-00293,2023-09-15,ATM,150.69.203.86
CL-0294,TX-00294,2024-05-19,POS,11.228.144.4
CL-0295,TX-00295,2024-02-11,online,57.108.84.32
CL-0296,TX-00296,2024-03-17,ATM,103.237.99.130
CL-0297,TX-00297,2023-09-25,ATM,201.92.3.76
CL-0298,TX-00298,2023-01-03,transferencia,171.204.227.219
CL-0299,TX-00299,2023-03-16,ATM,14.169.90.99
CL-0300,TX-00300,2024-11-05,transferencia,205.75.234.152
CL-0301,TX-00301,2024-10-25,online,200.167.134.5
CL-0302,TX-00302,2024-09-07,app_movil,146.31.35.113
CL-0303,TX-00303,2024-08-29,POS,159.174.93.230
CL-0304,TX-00304,2023-10-02,transferencia,69.209.149.192
CL-0305,TX-00305,2024-07-20,POS,220.52.108.142
CL-0306,TX-00306,2024-12-28,POS,169.6.40.0
CL-0307,TX-00307,2024-10-11,app_movil,108.255.111.112
CL-0308,TX-00308,2024-02-29,POS,219.89.146.225
CL-0309,TX-00309,2023-10-25,ATM,114.192.61.76
CL-0310,TX-00310,2023-06-02,online,59.166.97.67
CL-0311,TX-00311,2023-02-22,ATM,71.214.114.217
CL-0312,TX-00312,2024-12-07,transferencia,210.108.12.174
CL-0313,TX-00313,2024-08-15,ATM,202.132.221.91
CL-0314,TX-00314,2024-03-03,online,64.208.68.135
CL-0315,TX-00315,2024-05-17,POS,119.41.79.122
CL-0316,TX-00316,2024-08-11,ATM,8.33.15.213
CL-0317,TX-00317,2024-02-10,transferencia,27.254.0.235
CL-0318,TX-00318,2023-05-28,online,99.89.112.80
CL-0319,TX-00319,2023-08-20,ATM,115.119.56.41
CL-0320,TX-00320,2023-04-07,transferencia,102.162.20.72
CL-0321,TX-00321,2024-01-08,ATM,50.248.84.50
CL-0322,TX-00322,2024-05-31,online,7.93.185.144
CL-0323,TX-00323,2023-02-07,ATM,24.197.107.180
CL-0324,TX-00324,2024-04-30,online,221.133.14.231
CL-0325,TX-00325,2023-01-16,transferencia,195.226.67.248
CL-0326,TX-00326,2024-11-11,transferencia,112.222.255.4
CL-0327,TX-00327,2023-05-23,app_movil,64.185.217.109
CL-0328,TX-00328,2023-09-18,ATM,163.175.125.217
CL-0329,TX-00329,2023-12-19,transferencia,85.97.231.29
CL-0330,TX-00330,2023-05-18,POS,15.48.29.197
CL-0331,TX-00331,2023-01-28,app_movil,67.134.36.154
CL-0332,TX-00332,2024-11-07,POS,30.188.36.175
CL-0333,TX-00333,2023-10-12,ATM,37.116.169.194
CL-0334,TX-00334,2023-08-11,transferencia,188.236.216.235
CL-0335,TX-00335,2024-11-09,POS,41.23.43.254
CL-0336,TX-00336,2024-05-13,POS,163.114.135.84
CL-0337,TX-00337,2023-04-10,ATM,86.139.177.165
CL-0338,TX-00338,2023-09-10,transferencia,141.76.97.173
CL-0339,TX-00339,2024-04-02,POS,190.83.32.215
CL-0340,TX-00340,2023-10-17,online,144.64.141.151
CL-0341,TX-00341,2023-09-28,ATM,92.167.129.14
CL-0342,TX-00342,2024-01-06,ATM,57.141.191.84
CL-0343,TX-00343,2024-06-22,POS,11.29.189.107
CL-0344,TX-00344,2023-02-05,online,106.55.135.255
CL-0345,TX-00345,2024-12-29,ATM,167.92.160.97
CL-0346,TX-00346,2023-01-17,transferencia,152.82.190.130
CL-0347,TX-00347,2024-11-10,transferencia,190.38.44.229
CL-0348,TX-00348,2024-08-13,app_movil,207.231.207.83
CL-0349,TX-00349,2023-05-14,ATM,84.172.243.76
CL-0350,TX-00350,2024-03-05,online,22.130.111.201
CL-0351,TX-00351,2024-03-31,online,93.42.168.230
CL-0352,TX-00352,2024-08-06,POS,158.247.106.127
CL-0353,TX-00353,2023-08-19,app_movil,15.116.215.167
CL-0354,TX-00354,2024-08-22,online,135.120.87.115
CL-0355,TX-00355,2023-06-27,transferencia,215.139.192.137
CL-0356,TX-00356,2024-04-16,POS,18.7.196.193
CL-0357,TX-00357,2024-06-01,ATM,40.218.64.108
CL-0358,TX-00358,2024-07-30,online,185.133.198.67
CL-0359,TX-00359,2024-07-21,transferencia,36.167.68.73
CL-0360,TX-00360,2024-10-22,ATM,104.122.139.252
CL-0361,TX-00361,2024-02-22,online,30.11.110.156
CL-0362,TX-00362,2024-05-15,ATM,153.108.177.161
CL-0363,TX-00363,2024-02-12,transferencia,136.74.164.0
CL-0364,TX-00364,2024-10-08,POS,212.177.19.143
CL-0365,TX-00365,2023-06-28,ATM,219.14.98.150
CL-0366,TX-00366,2024-12-21,transferencia,102.203.175.251
CL-0367,TX-00367,2023-12-20,transferencia,106.166.219.62
CL-0368,TX-00368,2023-07-04,ATM,39.22.102.31
CL-0369,TX-00369,2024-03-18,ATM,208.186.32.3
CL-0370,TX-00370,2023-05-14,app_movil,100.242.140.241
CL-0371,TX-00371,2024-11-12,app_movil,206.123.112.77
CL-0372,TX-00372,2023-09-20,transferencia,186.80.210.179
CL-0373,TX-00373,2024-02-27,ATM,183.238.2.172
CL-0374,TX-00374,2024-02-07,app_movil,42.105.193.164
CL-0375,TX-00375,2023-06-05,app_movil,34.236.210.126
CL-0376,TX-00376,2024-01-13,ATM,158.151.207.58
CL-0377,TX-00377,2023-06-07,ATM,174.83.182.245
CL-0378,TX-00378,2024-01-07,transferencia,65.86.167.162
CL-0379,TX-00379,2023-01-11,app_movil,29.50.139.101
CL-0380,TX-00380,2024-06-19,POS,71.170.68.65
CL-0381,TX-00381,2024-03-01,app_movil,44.24.24.94
CL-0382,TX-00382,2024-12-15,app_movil,14.155.129.213
CL-0383,TX-00383,2023-04-20,app_movil,68.157.27.66
CL-0384,TX-00384,2023-11-02,app_movil,128.163.129.96
CL-0385,TX-00385,2024-10-06,POS,168.18.3.223
CL-0386,TX-00386,2023-03-05,app_movil,29.11.132.158
CL-0387,TX-00387,2023-03-21,POS,205.31.211.170
CL-0388,TX-00388,2024-12-30,app_movil,112.46.103.191
CL-0389,TX-00389,2024-10-31,transferencia,40.205.49.121
CL-0390,TX-00390,2024-11-17,app_movil,105.242.177.69
CL-0391,TX-00391,2023-06-17,ATM,203.56.84.190
CL-0392,TX-00392,2024-04-25,transferencia,204.149.75.125
CL-0393,TX-00393,2023-02-07,transferencia,199.152.145.142
CL-0394,TX-00394,2024-09-07,transferencia,59.250.153.102
CL-0395,TX-00395,2024-05-04,transferencia,75.223.205.76
CL-0396,TX-00396,2023-08-06,ATM,151.162.241.205
CL-0397,TX-00397,2024-03-06,ATM,106.71.143.122
CL-0398,TX-00398,2024-01-04,transferencia,38.188.65.191
CL-0399,TX-00399,2023-06-26,transferencia,167.39.14.166
CL-0400,TX-00400,2023-03-29,transferencia,67.248.221.44
CL-0401,TX-00401,2024-12-10,transferencia,175.156.47.71
CL-0402,TX-00402,2023-01-27,online,215.188.19.231
CL-0403,TX-00403,2024-12-31,ATM,43.241.92.114
CL-0404,TX-00404,2024-03-25,online,217.121.109.119
CL-0405,TX-00405,2024-09-04,ATM,70.132.218.38
CL-0406,TX-00406,2023-11-14,ATM,72.151.209.126
CL-0407,TX-00407,2023-02-04,online,167.125.170.18
CL-0408,TX-00408,2023-05-06,ATM,219.101.82.67
CL-0409,TX-00409,2024-07-06,POS,188.30.89.51
CL-0410,TX-00410,2023-12-13,online,45.19.41.69
CL-0411,TX-00411,2024-10-19,POS,69.19.227.244
CL-0412,TX-00412,2024-03-21,app_movil,94.29.242.25
CL-0413,TX-00413,2024-01-29,transferencia,91.1.166.69
CL-0414,TX-00414,2023-08-28,online,133.94.207.82
CL-0415,TX-00415,2023-07-23,transferencia,170.153.138.102
CL-0416,TX-00416,2024-12-10,ATM,107.50.187.116
CL-0417,TX-00417,2023-07-05,transferencia,56.24.54.170
CL-0418,TX-00418,2023-11-17,app_movil,153.150.64.225
CL-0419,TX-00419,2024-10-10,online,24.215.159.82
CL-0420,TX-00420,2024-10-18,app_movil,88.221.187.83
CL-0421,TX-00421,2024-05-13,online,72.90.83.140
CL-0422,TX-00422,2023-11-21,transferencia,36.173.127.125
CL-0423,TX-00423,2023-08-26,app_movil,51.128.128.188
CL-0424,TX-00424,2023-12-25,app_movil,144.185.70.159
CL-0425,TX-00425,2024-11-01,transferencia,129.29.171.35
CL-0426,TX-00426,2023-09-17,POS,193.253.114.206
CL-0427,TX-00427,2024-03-21,transferencia,214.48.173.118
CL-0428,TX-00428,2024-05-03,online,137.76.20.216
CL-0429,TX-00429,2024-06-03,ATM,220.189.47.20
CL-0430,TX-00430,2024-09-27,app_movil,132.114.213.216
CL-0431,TX-00431,2024-05-19,transferencia,151.5.116.59
CL-0432,TX-00432,2024-08-31,ATM,41.17.157.85
CL-0433,TX-00433,2023-10-21,online,68.16.125.239
CL-0434,TX-00434,2023-10-19,app_movil,179.240.146.219
CL-0435,TX-00435,2023-07-09,ATM,185.208.234.154
CL-0436,TX-00436,2023-07-12,app_movil,20.249.144.110
CL-0437,TX-00437,2023-07-27,POS,182.177.71.189
CL-0438,TX-00438,2023-11-18,online,13.212.136.179
CL-0439,TX-00439,2023-06-10,POS,16.55.199.10
CL-0440,TX-00440,2024-05-15,POS,161.48.161.168
CL-0441,TX-00441,2023-05-30,transferencia,196.44.77.148
CL-0442,TX-00442,2024-08-25,app_movil,10.3.28.115
CL-0443,TX-00443,2024-03-23,transferencia,102.209.71.148
CL-0444,TX-00444,2024-05-25,app_movil,113.254.160.43
CL-0445,TX-00445,2023-10-27,POS,212.255.30.200
CL-0446,TX-00446,2024-02-14,app_movil,182.251.56.147
CL-0447,TX-00447,2024-03-28,POS,52.183.31.9
CL-0448,TX-00448,2024-04-04,ATM,9.172.99.158
CL-0449,TX-00449,2023-11-08,ATM,16.239.194.6
CL-0450,TX-00450,2023-11-24,POS,137.61.8.240
CL-0451,TX-00451,2024-10-14,app_movil,219.129.210.200
CL-0452,TX-00452,2023-02-05,transferencia,50.164.120.70
