transaccionId1,transaccionId2,similitudScore,tipoPatron,fechaDeteccion
TX-00087,TX-00090,0.726,mismo_comercio,2024-03-12
TX-00088,TX-00095,0.794,monto_similar,2024-11-02
TX-00089,TX-00094,0.779,mismo_comercio,2024-07-18
TX-00090,TX-00097,0.709,mismo_comercio,2024-09-10
TX-00093,TX-00100,0.75,monto_similar,2024-12-05
TX-00094,TX-00095,0.931,monto_similar,2024-10-19
TX-00095,TX-00100,0.844,mismo_dispositivo,2024-10-03
TX-00096,TX-00101,0.759,mismo_dispositivo,2024-04-28
TX-00097,TX-00101,0.798,monto_similar,2024-12-24
TX-00100,TX-00103,0.734,mismo_comercio,2024-02-12
TX-00101,TX-00105,0.971,mismo_dispositivo,2024-07-24
TX-00102,TX-00104,0.73,mismo_dispositivo,2024-10-25
TX-00103,TX-00105,0.839,mismo_comercio,2024-11-12
TX-00104,TX-00110,0.894,mismo_comercio,2024-09-19
TX-00105,TX-00110,0.917,mismo_dispositivo,2024-07-15
TX-00106,TX-00111,0.911,mismo_comercio,2024-12-18
TX-00107,TX-00113,0.919,mismo_dispositivo,2024-07-04
TX-00108,TX-00113,0.86,monto_similar,2024-09-22
TX-00110,TX-00113,0.922,mismo_dispositivo,2024-12-03
TX-00111,TX-00115,0.831,monto_similar,2024-03-01
TX-00112,TX-00118,0.956,monto_similar,2024-12-18
TX-00113,TX-00118,0.858,mismo_dispositivo,2024-07-12
TX-00114,TX-00119,1.0,mismo_dispositivo,2024-01-13
TX-00115,TX-00118,0.715,monto_similar,2024-11-28
TX-00118,TX-00119,0.852,monto_similar,2024-12-04
TX-00119,TX-00123,0.977,monto_similar,2024-01-03
TX-00120,TX-00122,0.744,monto_similar,2024-07-06
TX-00121,TX-00127,0.772,mismo_dispositivo,2024-06-14
TX-00122,TX-00127,0.932,mismo_dispositivo,2024-01-11
TX-00123,TX-00129,0.767,monto_similar,2024-07-11
TX-00124,TX-00127,0.918,mismo_comercio,2024-05-05
TX-00126,TX-00131,0.754,mismo_comercio,2024-01-09
TX-00127,TX-00131,0.913,mismo_comercio,2024-01-19
TX-00128,TX-00132,0.744,monto_similar,2024-11-12
TX-00129,TX-00130,0.962,mismo_comercio,2024-11-30
TX-00130,TX-00138,0.75,mismo_comercio,2024-02-20
TX-00131,TX-00132,0.885,mismo_dispositivo,2024-10-02
TX-00132,TX-00135,0.883,mismo_comercio,2024-08-11
TX-00135,TX-00137,0.936,mismo_dispositivo,2024-10-20
TX-00137,TX-00143,0.771,monto_similar,2024-05-05
TX-00138,TX-00141,0.921,mismo_comercio,2024-09-08
TX-00140,TX-00142,0.82,mismo_comercio,2024-12-17
TX-00141,TX-00144,0.916,monto_similar,2024-02-11
TX-00142,TX-00147,0.997,mismo_comercio,2024-04-19
TX-00143,TX-00144,0.721,monto_similar,2024-01-12
TX-00144,TX-00146,0.961,monto_similar,2024-04-01
TX-00145,TX-00146,0.818,monto_similar,2024-09-07
TX-00146,TX-00150,0.901,mismo_dispositivo,2024-02-18
TX-00147,TX-00153,0.878,monto_similar,2024-10-07
TX-00149,TX-00155,0.738,mismo_comercio,2024-05-04
TX-00150,TX-00152,0.996,monto_similar,2024-11-06
TX-00151,TX-00155,0.862,monto_similar,2024-06-12
TX-00152,TX-00157,0.831,monto_similar,2024-05-07
TX-00153,TX-00157,0.815,mismo_comercio,2024-03-12
TX-00155,TX-00160,0.746,mismo_dispositivo,2024-10-30
TX-00157,TX-00162,0.993,mismo_comercio,2024-04-24
TX-00158,TX-00164,0.705,mismo_comercio,2024-05-21
TX-00160,TX-00162,0.899,mismo_comercio,2024-04-14
TX-00161,TX-00163,0.851,mismo_dispositivo,2024-11-15
TX-00162,TX-00163,0.752,mismo_dispositivo,2024-01-14
TX-00163,TX-00164,0.756,monto_similar,2024-11-24
TX-00164,TX-00170,0.717,mismo_dispositivo,2024-07-28
TX-00165,TX-00168,0.887,mismo_dispositivo,2024-04-10
TX-00168,TX-00169,0.786,mismo_comercio,2024-12-08
TX-00169,TX-00172,0.907,monto_similar,2024-07-18
TX-00170,TX-00172,0.748,mismo_dispositivo,2024-04-21
TX-00172,TX-00176,0.864,mismo_dispositivo,2024-10-29
TX-00175,TX-00180,0.803,mismo_dispositivo,2024-05-23
TX-00176,TX-00183,0.979,mismo_comercio,2024-02-11
TX-00178,TX-00182,0.747,mismo_dispositivo,2024-12-14
TX-00180,TX-00183,0.868,mismo_comercio,2024-03-18
TX-00181,TX-00184,0.706,mismo_comercio,2024-08-21
TX-00182,TX-00183,0.767,monto_similar,2024-12-15
TX-00183,TX-00186,0.835,mismo_dispositivo,2024-01-09
TX-00184,TX-00191,0.705,monto_similar,2024-02-23
TX-00186,TX-00188,0.793,mismo_comercio,2024-06-08
TX-00187,TX-00191,0.974,mismo_dispositivo,2024-01-06
TX-00188,TX-00189,0.799,monto_similar,2024-04-23
TX-00189,TX-00197,0.968,mismo_dispositivo,2024-04-24
TX-00191,TX-00193,0.908,mismo_dispositivo,2024-08-04
TX-00192,TX-00197,0.712,mismo_dispositivo,2024-01-07
TX-00193,TX-00195,0.752,mismo_dispositivo,2024-02-06
TX-00195,TX-00203,0.793,mismo_dispositivo,2024-11-09
TX-00197,TX-00200,0.891,mismo_comercio,2024-06-19
TX-00198,TX-00205,0.961,monto_similar,2024-05-06
TX-00200,TX-00202,0.929,mismo_comercio,2024-08-26
TX-00202,TX-00211,0.878,mismo_dispositivo,2024-04-13
TX-00203,TX-00210,0.823,mismo_dispositivo,2024-01-21
TX-00204,TX-00212,0.888,monto_similar,2024-07-15
TX-00205,TX-00212,0.819,monto_similar,2024-02-27
TX-00210,TX-00214,0.952,mismo_comercio,2024-03-12
TX-00211,TX-00215,0.846,monto_similar,2024-06-04
TX-00212,TX-00213,0.994,mismo_dispositivo,2024-10-06
TX-00213,TX-00217,0.849,mismo_comercio,2024-06-22
TX-00214,TX-00216,0.864,mismo_comercio,2024-10-08
TX-00215,TX-00222,0.907,mismo_dispositivo,2024-01-29
TX-00216,TX-00222,0.762,mismo_dispositivo,2024-06-02
TX-00217,TX-00220,0.731,monto_similar,2024-09-18
TX-00219,TX-00225,0.904,monto_similar,2024-02-25
TX-00220,TX-00225,0.976,mismo_dispositivo,2024-09-15
TX-00222,TX-00224,0.965,monto_similar,2024-09-12
TX-00223,TX-00228,0.984,mismo_dispositivo,2024-07-09
TX-00224,TX-00226,0.991,mismo_comercio,2024-03-09
TX-00225,TX-00226,0.799,mismo_comercio,2024-09-14
TX-00226,TX-00227,0.989,monto_similar,2024-07-02
TX-00227,TX-00229,0.819,mismo_comercio,2024-07-17
TX-00228,TX-00232,0.964,mismo_dispositivo,2024-12-13
TX-00229,TX-00236,0.979,mismo_comercio,2024-05-04
TX-00230,TX-00232,0.94,mismo_comercio,2024-03-01
TX-00232,TX-00233,0.944,mismo_comercio,2024-11-16
TX-00233,TX-00239,0.982,monto_similar,2024-06-19
TX-00235,TX-00236,0.701,monto_similar,2024-02-19
TX-00236,TX-00243,0.916,mismo_comercio,2024-01-02
TX-00238,TX-00239,0.887,mismo_dispositivo,2024-08-28
TX-00239,TX-00242,0.819,mismo_comercio,2024-03-14
TX-00241,TX-00245,0.731,mismo_comercio,2024-06-28
TX-00242,TX-00244,0.954,mismo_comercio,2024-10-20
TX-00243,TX-00245,0.977,mismo_dispositivo,2024-06-19
TX-00244,TX-00247,0.723,mismo_comercio,2024-03-21
TX-00245,TX-00247,0.874,mismo_comercio,2024-04-04
TX-00246,TX-00249,0.938,mismo_comercio,2024-03-17
TX-00247,TX-00250,0.862,monto_similar,2024-11-15
TX-00248,TX-00253,0.912,mismo_dispositivo,2024-09-08
TX-00249,TX-00252,0.829,mismo_comercio,2024-02-15
TX-00250,TX-00255,0.86,mismo_comercio,2024-12-14
TX-00251,TX-00254,0.814,mismo_dispositivo,2024-02-26
TX-00252,TX-00256,0.709,monto_similar,2024-04-04
TX-00253,TX-00258,0.898,mismo_dispositivo,2024-10-28
TX-00254,TX-00257,0.901,mismo_dispositivo,2024-09-04
TX-00255,TX-00260,0.948,mismo_dispositivo,2024-06-04
TX-00256,TX-00257,0.908,mismo_comercio,2024-03-05
TX-00257,TX-00261,0.93,mismo_dispositivo,2024-12-27
TX-00258,TX-00261,0.74,mismo_dispositivo,2024-03-11
TX-00259,TX-00264,0.703,mismo_dispositivo,2024-09-28
TX-00260,TX-00262,0.958,monto_similar,2024-06-08
TX-00261,TX-00263,0.998,mismo_dispositivo,2024-01-20
TX-00262,TX-00264,0.805,monto_similar,2024-01-06
TX-00263,TX-00265,0.933,mismo_dispositivo,2024-12-19
TX-00264,TX-00269,0.887,mismo_comercio,2024-03-23
TX-00265,TX-00269,0.872,mismo_dispositivo,2024-01-24
TX-00266,TX-00271,0.843,monto_similar,2024-06-10
TX-00267,TX-00269,0.778,mismo_comercio,2024-12-02
TX-00268,TX-00269,0.876,mismo_comercio,2024-12-04
TX-00269,TX-00276,0.925,mismo_dispositivo,2024-01-19
TX-00270,TX-00276,0.721,monto_similar,2024-05-07
TX-00271,TX-00273,0.895,monto_similar,2024-08-23
TX-00273,TX-00280,0.86,mismo_dispositivo,2024-09-30
TX-00274,TX-00281,0.902,mismo_dispositivo,2024-02-14
TX-00276,TX-00281,0.894,mismo_comercio,2024-08-04
TX-00277,TX-00282,0.883,mismo_comercio,2024-05-17
TX-00278,TX-00281,0.748,monto_similar,2024-04-26
TX-00280,TX-00285,0.977,mismo_comercio,2024-06-04
TX-00281,TX-00284,0.82,monto_similar,2024-08-23
TX-00282,TX-00288,0.919,mismo_comercio,2024-06-03
TX-00283,TX-00289,0.918,mismo_dispositivo,2024-08-22
TX-00284,TX-00285,0.904,monto_similar,2024-08-13
TX-00285,TX-00286,0.788,mismo_comercio,2024-11-25
TX-00286,TX-00290,0.895,monto_similar,2024-07-05
TX-00288,TX-00290,0.816,monto_similar,2024-05-11
TX-00289,TX-00292,0.956,mismo_dispositivo,2024-12-06
TX-00290,TX-00296,0.964,monto_similar,2024-02-07
TX-00291,TX-00293,0.745,mismo_dispositivo,2024-09-26
TX-00292,TX-00293,0.91,mismo_comercio,2024-01-21
TX-00293,TX-00297,0.948,monto_similar,2024-07-03
TX-00295,TX-00299,0.951,monto_similar,2024-01-30
TX-00296,TX-00300,0.738,monto_similar,2024-08-26
TX-00297,TX-00301,0.854,mismo_comercio,2024-02-06
TX-00298,TX-00303,0.963,mismo_comercio,2024-01-30
TX-00299,TX-00304,0.786,monto_similar,2024-06-21
TX-00300,TX-00306,0.929,mismo_dispositivo,2024-12-31
TX-00301,TX-00305,0.987,mismo_comercio,2024-02-22
TX-00303,TX-00305,0.851,monto_similar,2024-09-03
TX-00304,TX-00306,0.887,monto_similar,2024-10-01
TX-00305,TX-00311,0.863,monto_similar,2024-08-04
TX-00306,TX-00311,0.942,mismo_comercio,2024-11-01
TX-00307,TX-00312,0.749,mismo_comercio,2024-09-25
TX-00308,TX-00311,0.939,mismo_comercio,2024-11-03
TX-00310,TX-00314,0.849,mismo_dispositivo,2024-10-09
TX-00311,TX-00315,0.887,monto_similar,2024-04-15
TX-00312,TX-00317,0.806,mismo_dispositivo,2024-04-11
TX-00314,TX-00316,0.777,mismo_dispositivo,2024-04-05
TX-00315,TX-00317,0.864,monto_similar,2024-09-14
TX-00316,TX-00320,0.734,mismo_dispositivo,2024-05-09
TX-00317,TX-00321,0.924,mismo_comercio,2024-08-09
TX-00318,TX-00324,0.966,mismo_dispositivo,2024-12-07
TX-00319,TX-00321,0.925,mismo_dispositivo,2024-04-03
TX-00320,TX-00324,0.894,mismo_comercio,2024-07-27
TX-00321,TX-00328,0.71,monto_similar,2024-06-17
TX-00322,TX-00328,0.899,mismo_comercio,2024-07-01
TX-00324,TX-00325,0.757,mismo_comercio,2024-05-22
TX-00325,TX-00330,0.756,mismo_comercio,2024-12-01
TX-00327,TX-00332,0.987,monto_similar,2024-04-21
TX-00328,TX-00333,0.945,mismo_comercio,2024-03-16
TX-00329,TX-00335,0.786,mismo_dispositivo,2024-10-29
TX-00330,TX-00334,0.981,mismo_comercio,2024-11-17
TX-00332,TX-00334,0.936,monto_similar,2024-06-08
TX-00333,TX-00336,0.797,mismo_comercio,2024-07-18
TX-00334,TX-00339,0.876,mismo_dispositivo,2024-09-12
TX-00335,TX-00338,0.72,mismo_dispositivo,2024-05-26
TX-00336,TX-00343,0.878,monto_similar,2024-12-11
TX-00337,TX-00339,0.915,mismo_comercio,2024-04-17
TX-00338,TX-00345,0.87,mismo_comercio,2024-01-16
TX-00339,TX-00342,0.794,mismo_comercio,2024-09-09
TX-00342,TX-00343,0.809,mismo_dispositivo,2024-10-22
TX-00343,TX-00350,0.906,mismo_comercio,2024-12-03
TX-00344,TX-00345,0.873,mismo_dispositivo,2024-05-19
TX-00345,TX-00350,0.887,mismo_dispositivo,2024-11-11
TX-00348,TX-00352,0.724,monto_similar,2024-11-10
TX-00349,TX-00353,0.836,mismo_comercio,2024-02-13
TX-00350,TX-00355,0.784,monto_similar,2024-07-13
TX-00351,TX-00354,0.947,mismo_comercio,2024-05-06
TX-00352,TX-00355,0.741,mismo_dispositivo,2024-04-23
TX-00353,TX-00355,0.74,mismo_comercio,2024-07-26
TX-00354,TX-00359,0.91,monto_similar,2024-12-22
TX-00355,TX-00356,0.798,mismo_comercio,2024-04-02
TX-00356,TX-00357,0.853,mismo_comercio,2024-06-21
TX-00357,TX-00359,0.739,mismo_comercio,2024-02-17
TX-00358,TX-00363,0.885,mismo_comercio,2024-05-11
TX-00359,TX-00366,0.869,mismo_dispositivo,2024-12-28
TX-00360,TX-00367,0.783,mismo_dispositivo,2024-03-24
TX-00361,TX-00364,0.834,mismo_dispositivo,2024-02-21
TX-00363,TX-00372,0.94,mismo_comercio,2024-06-09
TX-00364,TX-00368,0.957,monto_similar,2024-01-29
TX-00366,TX-00374,0.978,mismo_dispositivo,2024-09-27
TX-00367,TX-00376,0.989,mismo_dispositivo,2024-01-03
TX-00368,TX-00374,0.943,mismo_comercio,2024-11-30
TX-00372,TX-00376,0.707,mismo_comercio,2024-07-28
TX-00374,TX-00378,0.77,mismo_comercio,2024-05-12
TX-00376,TX-00378,0.931,mismo_comercio,2024-07-27
TX-00378,TX-00382,0.926,monto_similar,2024-08-14
