transaccionId,comercioId,fecha,metodoPago,montoTotal
TX-00151,CO-0151,2023-03-18,ATM,43231.41
TX-00152,CO-0152,2024-10-26,app_movil,49659.41
TX-00153,CO-0153,2024-07-11,transferencia,48528.05
TX-00154,CO-0154,2023-11-28,transferencia,12966.25
TX-00155,CO-0155,2023-02-22,online,47654.02
TX-00156,CO-0156,2023-09-04,online,10145.5
TX-00157,CO-0157,2024-01-04,ATM,31187.16
TX-00158,CO-0158,2023-12-12,online,15846.45
TX-00159,CO-0159,2024-07-10,ATM,9627.0
TX-00160,CO-0160,2023-05-29,online,36951.89
TX-00161,CO-0161,2023-06-14,transferencia,33589.22
TX-00162,CO-0162,2023-09-14,app_movil,46776.89
TX-00163,CO-0163,2023-08-03,ATM,23474.95
TX-00164,CO-0164,2024-03-30,online,28017.72
TX-00165,CO-0165,2023-07-13,POS,49543.94
TX-00166,CO-0166,2024-12-30,transferencia,4522.92
TX-00167,CO-0167,2023-09-04,POS,9279.64
TX-00168,CO-0168,2023-12-16,POS,18032.93
TX-00169,CO-0169,2024-06-26,transferencia,15921.7
TX-00170,CO-0170,2023-12-22,POS,44528.11
TX-00171,CO-0171,2024-05-01,ATM,7541.62
TX-00172,CO-0172,2024-08-16,POS,49192.86
TX-00173,CO-0173,2024-05-30,online,5022.08
TX-00174,CO-0174,2024-01-11,POS,7396.48
TX-00175,CO-0175,2023-11-18,transferencia,45362.08
TX-00176,CO-0176,2024-06-20,app_movil,34264.27
TX-00177,CO-0177,2024-01-06,POS,8508.22
TX-00178,CO-0178,2024-11-11,online,23346.87
TX-00179,CO-0179,2024-07-21,ATM,832.15
TX-00180,CO-0180,2023-06-05,ATM,19712.64
TX-00181,CO-0181,2023-11-16,ATM,44528.6
TX-00182,CO-0182,2024-08-07,online,24985.49
TX-00183,CO-0183,2024-12-25,ATM,42663.14
TX-00184,CO-0184,2024-12-07,POS,35669.35
TX-00185,CO-0185,2023-05-28,app_movil,8954.4
TX-00186,CO-0186,2023-01-03,online,14512.31
TX-00187,CO-0187,2024-08-11,app_movil,8150.44
TX-00188,CO-0188,2023-03-23,transferencia,26357.16
TX-00189,CO-0189,2023-01-07,POS,43316.59
TX-00190,CO-0190,2024-11-06,POS,13099.72
TX-00191,CO-0191,2024-01-24,transferencia,45451.62
TX-00192,CO-0192,2024-03-02,online,48220.55
TX-00193,CO-0193,2023-08-15,online,49337.69
TX-00194,CO-0194,2023-07-01,app_movil,2808.36
TX-00195,CO-0195,2023-12-21,ATM,28616.05
TX-00196,CO-0196,2023-03-11,POS,3822.47
TX-00197,CO-0197,2023-01-25,ATM,25795.33
TX-00198,CO-0198,2023-04-07,POS,21691.72
TX-00199,CO-0199,2023-05-05,ATM,9968.03
TX-00200,CO-0200,2023-03-09,transferencia,17848.02
TX-00201,CO-0201,2023-01-06,online,8896.88
TX-00202,CO-0202,2024-10-31,transferencia,17833.33
TX-00203,CO-0203,2024-03-27,online,5542.03
TX-00204,CO-0204,2023-06-20,ATM,30367.79
TX-00205,CO-0205,2024-12-30,POS,36836.12
TX-00206,CO-0206,2023-09-10,transferencia,11938.1
TX-00207,CO-0207,2024-02-11,ATM,12537.62
TX-00208,CO-0208,2024-11-26,transferencia,14791.43
TX-00209,CO-0209,2024-08-21,online,10532.23
TX-00210,CO-0210,2023-01-20,transferencia,36871.49
TX-00211,CO-0211,2024-02-26,online,14381.24
TX-00212,CO-0212,2023-01-21,POS,15972.98
TX-00213,CO-0213,2024-05-22,online,25562.77
TX-00214,CO-0214,2023-08-05,online,27859.12
TX-00215,CO-0215,2023-10-23,transferencia,24170.29
TX-00216,CO-0216,2024-04-27,transferencia,34593.83
TX-00217,CO-0217,2023-09-20,POS,10028.46
TX-00218,CO-0218,2024-06-26,transferencia,13859.28
TX-00219,CO-0219,2024-09-05,app_movil,39038.84
TX-00220,CO-0220,2024-01-23,app_movil,10963.91
TX-00221,CO-0221,2023-01-07,app_movil,5185.81
TX-00222,CO-0222,2024-05-28,app_movil,29714.66
TX-00223,CO-0223,2024-08-22,ATM,33922.25
TX-00224,CO-0224,2023-04-30,transferencia,38688.01
TX-00225,CO-0225,2024-01-18,online,48713.93
TX-00226,CO-0226,2023-08-11,online,46766.71
TX-00227,CO-0227,2024-04-15,app_movil,26166.76
TX-00228,CO-0228,2023-09-07,transferencia,12432.19
TX-00229,CO-0229,2023-08-14,transferencia,37795.73
TX-00230,CO-0230,2023-05-19,online,29974.79
TX-00231,CO-0231,2024-09-06,transferencia,9418.42
TX-00232,CO-0232,2023-04-06,online,43255.16
TX-00233,CO-0233,2023-12-03,app_movil,15235.97
TX-00234,CO-0234,2024-08-25,app_movil,1856.68
TX-00235,CO-0235,2024-09-09,app_movil,26705.13
TX-00236,CO-0236,2024-04-06,online,23968.95
TX-00237,CO-0237,2024-12-04,POS,10036.53
TX-00238,CO-0238,2024-08-17,app_movil,45197.88
TX-00239,CO-0239,2024-12-23,POS,40519.8
TX-00240,CO-0240,2024-12-31,online,1594.53
TX-00241,CO-0241,2024-04-12,transferencia,39651.66
TX-00242,CO-0242,2024-02-01,app_movil,29413.8
TX-00243,CO-0243,2023-03-13,app_movil,15417.06
TX-00244,CO-0244,2024-03-05,online,49836.46
TX-00245,CO-0245,2024-12-11,app_movil,40462.75
TX-00246,CO-0246,2023-06-20,ATM,42004.92
TX-00247,CO-0247,2024-10-26,transferencia,18357.91
TX-00248,CO-0248,2024-02-19,transferencia,31229.79
TX-00249,CO-0249,2023-12-09,online,49969.44
TX-00250,CO-0250,2023-10-12,ATM,35310.8
TX-00251,CO-0251,2024-02-18,transferencia,18426.82
TX-00252,CO-0252,2023-09-19,POS,37571.29
TX-00253,CO-0253,2023-10-06,online,248.85
TX-00254,CO-0254,2023-05-06,POS,11929.7
TX-00255,CO-0255,2024-09-13,POS,38438.87
TX-00256,CO-0256,2024-05-30,ATM,36651.49
TX-00257,CO-0257,2023-07-31,online,22678.07
TX-00258,CO-0258,2024-09-05,app_movil,41143.43
TX-00259,CO-0259,2024-02-25,transferencia,34485.78
TX-00260,CO-0260,2024-06-04,app_movil,46983.03
TX-00261,CO-0261,2023-03-10,ATM,24220.9
TX-00262,CO-0262,2023-12-30,transferencia,34795.94
TX-00263,CO-0263,2024-04-15,app_movil,40331.15
TX-00264,CO-0264,2023-04-20,app_movil,38394.85
TX-00265,CO-0265,2023-06-11,online,48151.01
TX-00266,CO-0266,2024-02-23,POS,45019.99
TX-00267,CO-0267,2023-01-01,ATM,38822.79
TX-00268,CO-0268,2024-04-24,transferencia,36751.75
TX-00269,CO-0269,2023-10-30,online,20527.64
TX-00270,CO-0270,2023-08-04,transferencia,34380.83
TX-00271,CO-0271,2023-06-21,app_movil,19887.99
TX-00272,CO-0272,2023-03-15,online,12336.27
TX-00273,CO-0273,2024-03-07,online,15455.94
TX-00274,CO-0274,2024-01-29,app_movil,41309.8
TX-00275,CO-0275,2024-09-27,POS,10216.18
TX-00276,CO-0276,2023-07-09,online,33159.55
TX-00277,CO-0277,2024-04-27,POS,31195.4
TX-00278,CO-0278,2024-03-25,POS,21603.66
TX-00279,CO-0279,2024-10-12,POS,11723.24
TX-00280,CO-0280,2024-08-01,POS,43123.13
TX-00281,CO-0281,2023-03-17,ATM,37273.25
TX-00282,CO-0282,2024-06-15,POS,48800.13
TX-00283,CO-0283,2024-03-30,ATM,11186.67
TX-00284,CO-0284,2023-05-17,online,41609.62
TX-00285,CO-0285,2023-12-23,app_movil,49645.24
TX-00286,CO-0286,2023-02-06,ATM,47313.85
TX-00287,CO-0287,2023-07-15,online,4639.57
TX-00288,CO-0288,2023-06-27,transferencia,21706.6
TX-00289,CO-0289,2023-09-10,transferencia,43714.06
TX-00290,CO-0290,2023-03-06,ATM,33278.95
TX-00291,CO-0291,2024-01-07,transferencia,34742.41
TX-00292,CO-0292,2023-08-12,transferencia,29402.2
TX-00293,CO-0293,2023-09-15,ATM,38263.91
TX-00294,CO-0294,2024-05-19,POS,3316.21
TX-00295,CO-0295,2024-02-11,online,38167.08
TX-00296,CO-0296,2024-03-17,ATM,40228.57
TX-00297,CO-0297,2023-09-25,ATM,42344.17
TX-00298,CO-0298,2023-01-03,transferencia,49011.44
TX-00299,CO-0299,2023-03-16,ATM,36029.86
TX-00300,CO-0300,2024-11-05,transferencia,43987.29
TX-00301,CO-0001,2024-10-25,online,33304.65
TX-00302,CO-0002,2024-09-07,app_movil,5507.18
TX-00303,CO-0003,2024-08-29,POS,25754.1
TX-00304,CO-0004,2023-10-02,transferencia,27329.84
TX-00305,CO-0005,2024-07-20,POS,49698.52
TX-00306,CO-0006,2024-12-28,POS,18838.98
TX-00307,CO-0007,2024-10-11,app_movil,29519.04
TX-00308,CO-0008,2024-02-29,POS,20552.5
TX-00309,CO-0009,2023-10-25,ATM,3763.57
TX-00310,CO-0010,2023-06-02,online,25290.95
TX-00311,CO-0011,2023-02-22,ATM,38868.51
TX-00312,CO-0012,2024-12-07,transferencia,29243.55
TX-00313,CO-0013,2024-08-15,ATM,234.95
TX-00314,CO-0014,2024-03-03,online,21642.45
TX-00315,CO-0015,2024-05-17,POS,19543.25
TX-00316,CO-0016,2024-08-11,ATM,14277.62
TX-00317,CO-0017,2024-02-10,transferencia,33773.86
TX-00318,CO-0018,2023-05-28,online,26422.88
TX-00319,CO-0019,2023-08-20,ATM,38445.48
TX-00320,CO-0020,2023-04-07,transferencia,19283.55
TX-00321,CO-0021,2024-01-08,ATM,43321.69
TX-00322,CO-0022,2024-05-31,online,19849.07
TX-00323,CO-0023,2023-02-07,ATM,12277.55
TX-00324,CO-0024,2024-04-30,online,33769.69
TX-00325,CO-0025,2023-01-16,transferencia,29479.66
TX-00326,CO-0026,2024-11-11,transferencia,8897.22
TX-00327,CO-0027,2023-05-23,app_movil,34420.09
TX-00328,CO-0028,2023-09-18,ATM,17029.41
TX-00329,CO-0029,2023-12-19,transferencia,37632.16
TX-00330,CO-0030,2023-05-18,POS,45255.21
TX-00331,CO-0031,2023-01-28,app_movil,4042.48
TX-00332,CO-0032,2024-11-07,POS,37447.53
TX-00333,CO-0033,2023-10-12,ATM,33350.63
TX-00334,CO-0034,2023-08-11,transferencia,1542.23
TX-00335,CO-0035,2024-11-09,POS,21564.87
TX-00336,CO-0036,2024-05-13,POS,21107.22
TX-00337,CO-0037,2023-04-10,ATM,35624.4
TX-00338,CO-0038,2023-09-10,transferencia,25469.75
TX-00339,CO-0039,2024-04-02,POS,32124.12
TX-00340,CO-0040,2023-10-17,online,11092.22
TX-00341,CO-0041,2023-09-28,ATM,6492.29
TX-00342,CO-0042,2024-01-06,ATM,22814.83
TX-00343,CO-0043,2024-06-22,POS,40228.22
TX-00344,CO-0044,2023-02-05,online,15457.5
TX-00345,CO-0045,2024-12-29,ATM,41356.96
TX-00346,CO-0046,2023-01-17,transferencia,8825.54
TX-00347,CO-0047,2024-11-10,transferencia,12336.74
TX-00348,CO-0048,2024-08-13,app_movil,44024.2
TX-00349,CO-0049,2023-05-14,ATM,17023.25
TX-00350,CO-0050,2024-03-05,online,20371.04
TX-00351,CO-0051,2024-03-31,online,37309.06
TX-00352,CO-0052,2024-08-06,POS,49683.27
TX-00353,CO-0053,2023-08-19,app_movil,45976.21
TX-00354,CO-0054,2024-08-22,online,16408.2
TX-00355,CO-0055,2023-06-27,transferencia,37418.64
TX-00356,CO-0056,2024-04-16,POS,30942.45
TX-00357,CO-0057,2024-06-01,ATM,33737.44
TX-00358,CO-0058,2024-07-30,online,38291.85
TX-00359,CO-0059,2024-07-21,transferencia,35402.92
TX-00360,CO-0060,2024-10-22,ATM,2209.18
TX-00361,CO-0061,2024-02-22,online,25235.44
TX-00362,CO-0062,2024-05-15,ATM,4299.47
TX-00363,CO-0063,2024-02-12,transferencia,28257.47
TX-00364,CO-0064,2024-10-08,POS,35661.5
TX-00365,CO-0065,2023-06-28,ATM,7839.76
TX-00366,CO-0066,2024-12-21,transferencia,21182.72
TX-00367,CO-0067,2023-12-20,transferencia,42675.51
TX-00368,CO-0068,2023-07-04,ATM,16601.05
TX-00369,CO-0069,2024-03-18,ATM,11608.37
TX-00370,CO-0070,2023-05-14,app_movil,10641.67
TX-00371,CO-0071,2024-11-12,app_movil,2413.93
TX-00372,CO-0072,2023-09-20,transferencia,29967.28
TX-00373,CO-0073,2024-02-27,ATM,1502.01
TX-00374,CO-0074,2024-02-07,app_movil,49822.47
TX-00375,CO-0075,2023-06-05,app_movil,13654.73
TX-00376,CO-0076,2024-01-13,ATM,38404.65
TX-00377,CO-0077,2023-06-07,ATM,2530.39
TX-00378,CO-0078,2024-01-07,transferencia,35759.28
TX-00379,CO-0079,2023-01-11,app_movil,10351.95
TX-00380,CO-0080,2024-06-19,POS,24965.96
TX-00381,CO-0081,2024-03-01,app_movil,13408.79
TX-00382,CO-0082,2024-12-15,app_movil,13022.8
TX-00383,CO-0083,2023-04-20,app_movil,46602.46
TX-00384,CO-0084,2023-11-02,app_movil,19729.19
TX-00385,CO-0085,2024-10-06,POS,15924.98
TX-00386,CO-0086,2023-03-05,app_movil,49941.87
TX-00387,CO-0087,2023-03-21,POS,17941.56
TX-00388,CO-0088,2024-12-30,app_movil,48253.06
TX-00389,CO-0089,2024-10-31,transferencia,4529.39
TX-00390,CO-0090,2024-11-17,app_movil,31593.28
TX-00391,CO-0091,2023-06-17,ATM,46096.46
TX-00392,CO-0092,2024-04-25,transferencia,22038.93
TX-00393,CO-0093,2023-02-07,transferencia,29242.67
TX-00394,CO-0094,2024-09-07,transferencia,30453.11
TX-00395,CO-0095,2024-05-04,transferencia,48697.95
TX-00396,CO-0096,2023-08-06,ATM,41270.5
TX-00397,CO-0097,2024-03-06,ATM,40770.39
TX-00398,CO-0098,2024-01-04,transferencia,14363.5
TX-00399,CO-0099,2023-06-26,transferencia,26319.77
TX-00400,CO-0100,2023-03-29,transferencia,39826.89
TX-00401,CO-0101,2024-12-10,transferencia,7765.38
TX-00402,CO-0102,2023-01-27,online,24517.41
TX-00403,CO-0103,2024-12-31,ATM,27351.43
TX-00404,CO-0104,2024-03-25,online,27162.96
TX-00405,CO-0105,2024-09-04,ATM,40143.49
TX-00406,CO-0106,2023-11-14,ATM,26317.14
TX-00407,CO-0107,2023-02-04,online,18003.21
TX-00408,CO-0108,2023-05-06,ATM,37911.98
TX-00409,CO-0109,2024-07-06,POS,27321.08
TX-00410,CO-0110,2023-12-13,online,37361.23
TX-00411,CO-0111,2024-10-19,POS,85.41
TX-00412,CO-0112,2024-03-21,app_movil,12689.4
TX-00413,CO-0113,2024-01-29,transferencia,18852.62
TX-00414,CO-0114,2023-08-28,online,46801.77
TX-00415,CO-0115,2023-07-23,transferencia,48703.6
TX-00416,CO-0116,2024-12-10,ATM,39662.76
TX-00417,CO-0117,2023-07-05,transferencia,17252.96
TX-00418,CO-0118,2023-11-17,app_movil,14422.09
TX-00419,CO-0119,2024-10-10,online,15981.36
TX-00420,CO-0120,2024-10-18,app_movil,31219.44
TX-00421,CO-0121,2024-05-13,online,47474.27
TX-00422,CO-0122,2023-11-21,transferencia,37556.22
TX-00423,CO-0123,2023-08-26,app_movil,24239.62
TX-00424,CO-0124,2023-12-25,app_movil,26440.69
TX-00425,CO-0125,2024-11-01,transferencia,34001.74
TX-00426,CO-0126,2023-09-17,POS,30607.58
TX-00427,CO-0127,2024-03-21,transferencia,3235.36
TX-00428,CO-0128,2024-05-03,online,12556.21
TX-00429,CO-0129,2024-06-03,ATM,7088.75
TX-00430,CO-0130,2024-09-27,app_movil,39274.64
TX-00431,CO-0131,2024-05-19,transferencia,16612.19
TX-00432,CO-0132,2024-08-31,ATM,36526.27
TX-00433,CO-0133,2023-10-21,online,624.64
TX-00434,CO-0134,2023-10-19,app_movil,27530.95
TX-00435,CO-0135,2023-07-09,ATM,15152.81
TX-00436,CO-0136,2023-07-12,app_movil,49033.97
TX-00437,CO-0137,2023-07-27,POS,16818.37
TX-00438,CO-0138,2023-11-18,online,47245.01
TX-00439,CO-0139,2023-06-10,POS,19803.61
TX-00440,CO-0140,2024-05-15,POS,24509.44
TX-00441,CO-0141,2023-05-30,transferencia,42979.61
TX-00442,CO-0142,2024-08-25,app_movil,12385.07
TX-00443,CO-0143,2024-03-23,transferencia,12370.48
TX-00444,CO-0144,2024-05-25,app_movil,28473.44
TX-00445,CO-0145,2023-10-27,POS,34309.04
TX-00446,CO-0146,2024-02-14,app_movil,7033.41
TX-00447,CO-0147,2024-03-28,POS,4093.68
TX-00448,CO-0148,2024-04-04,ATM,17791.06
TX-00449,CO-0149,2023-11-08,ATM,16634.99
TX-00450,CO-0150,2023-11-24,POS,22946.05
TX-00451,CO-0151,2024-10-14,app_movil,13905.26
TX-00452,CO-0152,2023-02-05,transferencia,23023.05
TX-00453,CO-0153,2023-07-25,app_movil,35594.88
TX-00454,CO-0154,2024-05-03,app_movil,30933.2
TX-00455,CO-0155,2024-04-09,transferencia,1671.51
TX-00456,CO-0156,2024-03-01,ATM,20443.21
TX-00457,CO-0157,2024-07-14,transferencia,15885.43
TX-00458,CO-0158,2024-06-17,ATM,43253.98
TX-00459,CO-0159,2024-08-10,transferencia,5590.84
TX-00460,CO-0160,2024-03-12,POS,12074.28
TX-00461,CO-0161,2023-02-04,transferencia,26539.44
TX-00462,CO-0162,2024-03-11,transferencia,48889.1
TX-00463,CO-0163,2024-07-02,app_movil,8102.54
TX-00464,CO-0164,2024-01-16,POS,23745.42
TX-00465,CO-0165,2023-12-01,app_movil,36753.31
TX-00466,CO-0166,2023-05-14,app_movil,45011.15
TX-00467,CO-0167,2024-06-29,ATM,34425.4
TX-00468,CO-0168,2023-11-24,POS,27033.57
TX-00469,CO-0169,2023-10-26,ATM,24226.7
TX-00470,CO-0170,2023-10-23,POS,1073.79
TX-00471,CO-0171,2024-04-23,POS,2972.77
TX-00472,CO-0172,2024-06-19,POS,18954.97
TX-00473,CO-0173,2024-01-11,POS,17170.39
TX-00474,CO-0174,2024-03-27,online,35234.36
TX-00475,CO-0175,2023-11-05,POS,16792.4
TX-00476,CO-0176,2024-02-20,ATM,23883.11
TX-00477,CO-0177,2024-09-13,POS,19227.5
TX-00478,CO-0178,2024-12-13,app_movil,17420.73
TX-00479,CO-0179,2024-07-29,ATM,19693.14
TX-00480,CO-0180,2024-06-06,ATM,18147.37
TX-00481,CO-0181,2023-12-24,transferencia,11054.35
TX-00482,CO-0182,2024-10-13,ATM,13614.63
TX-00483,CO-0183,2024-11-18,app_movil,35120.38
TX-00484,CO-0184,2024-12-28,online,10593.83
TX-00485,CO-0185,2024-03-03,transferencia,39953.63
TX-00486,CO-0186,2024-08-12,POS,522.18
TX-00487,CO-0187,2023-08-04,transferencia,47261.6
TX-00488,CO-0188,2024-02-21,transferencia,44378.12
TX-00489,CO-0189,2024-07-12,POS,42897.96
TX-00490,CO-0190,2023-02-25,ATM,4805.55
TX-00491,CO-0191,2024-01-14,app_movil,49766.45
TX-00492,CO-0192,2023-05-11,online,21090.97
TX-00493,CO-0193,2023-06-15,app_movil,38516.14
TX-00494,CO-0194,2023-11-13,app_movil,31947.39
TX-00495,CO-0195,2024-06-01,POS,28207.81
TX-00496,CO-0196,2023-12-11,ATM,11031.34
TX-00497,CO-0197,2023-03-26,POS,8632.76
TX-00498,CO-0198,2023-09-29,app_movil,1854.22
TX-00499,CO-0199,2023-12-20,app_movil,14203.6
TX-00500,CO-0200,2024-02-29,ATM,45147.27
TX-00501,CO-0201,2024-11-20,online,4324.69
