transaccionId,cuentaId,monto,fecha,bancoDestino
TX-00070,CU-0109,49809.8,2024-10-29,G&T Continental
TX-00074,CU-0112,39964.97,2023-01-09,G&T Continental
TX-00075,CU-0080,10169.94,2023-08-12,Davivienda
TX-00081,CU-0130,46506.58,2024-05-29,HSBC
TX-00082,CU-0084,40478.87,2023-08-03,HSBC
TX-00085,CU-0134,48859.12,2024-05-18,Industrial
TX-00086,CU-0095,49394.58,2023-02-01,Industrial
TX-00087,CU-0108,34427.87,2024-11-13,Industrial
TX-00090,CU-0139,22744.19,2023-03-05,Industrial
TX-00092,CU-0128,8007.08,2024-09-05,Banistmo
TX-00093,CU-0127,45347.67,2023-03-17,G&T Continental
TX-00094,CU-0107,20688.66,2024-08-11,Davivienda
TX-00095,CU-0108,22028.77,2023-12-21,G&T Continental
TX-00097,CU-0116,40732.1,2023-05-15,Banistmo
TX-00099,CU-0142,3850.44,2023-09-01,Banrural
TX-00100,CU-0143,17003.42,2023-02-04,Banrural
TX-00101,CU-0145,17340.47,2024-02-14,Citibank
TX-00102,CU-0115,34851.33,2024-01-09,Citibank
TX-00103,CU-0119,46184.89,2024-08-16,Banrural
TX-00106,CU-0146,45120.04,2023-08-17,HSBC
TX-00107,CU-0150,47175.71,2023-06-11,Banrural
TX-00108,CU-0118,21436.23,2023-08-14,Banrural
TX-00109,CU-0112,14768.95,2023-09-14,Industrial
TX-00110,CU-0153,23005.43,2023-04-14,Davivienda
TX-00111,CU-0159,40278.39,2023-07-18,BAC
TX-00113,CU-0120,29853.65,2024-08-27,BAC
TX-00114,CU-0141,32693.58,2024-05-22,Davivienda
TX-00116,CU-0135,10625.14,2023-04-07,Citibank
TX-00117,CU-0140,6397.72,2023-10-06,Citibank
TX-00118,CU-0164,16395.68,2023-02-22,G&T Continental
TX-00120,CU-0141,33579.42,2023-02-05,HSBC
TX-00122,CU-0147,42229.02,2024-08-09,G&T Continental
TX-00123,CU-0168,30223.08,2023-04-18,Banistmo
TX-00124,CU-0127,24895.56,2024-06-20,BAC
TX-00125,CU-0142,14696.71,2024-11-07,Davivienda
TX-00127,CU-0177,30062.17,2023-01-15,Industrial
TX-00128,CU-0169,41286.32,2023-11-18,Citibank
TX-00129,CU-0153,36437.61,2023-08-22,BAC
TX-00131,CU-0144,19368.25,2023-06-19,Davivienda
TX-00132,CU-0162,44713.24,2023-11-14,G&T Continental
TX-00133,CU-0147,10901.2,2024-04-17,Davivienda
TX-00135,CU-0180,40949.05,2024-12-23,G&T Continental
TX-00138,CU-0154,20753.92,2023-12-16,G&T Continental
TX-00139,CU-0154,3583.08,2023-05-20,Banrural
TX-00141,CU-0191,40193.32,2023-10-04,Industrial
TX-00142,CU-0181,33981.98,2023-01-14,HSBC
TX-00143,CU-0149,24113.9,2024-08-31,G&T Continental
TX-00144,CU-0182,33122.89,2023-06-29,BAC
TX-00145,CU-0153,9475.25,2024-02-19,BAC
TX-00148,CU-0186,7319.37,2023-11-27,Industrial
TX-00149,CU-0152,48357.39,2024-12-25,Banistmo
TX-00150,CU-0154,40948.54,2023-11-19,Davivienda
TX-00151,CU-0177,43231.41,2023-03-18,Banistmo
TX-00152,CU-0186,49659.41,2024-10-26,G&T Continental
TX-00153,CU-0165,48528.05,2024-07-11,Davivienda
TX-00154,CU-0177,12966.25,2023-11-28,Citibank
TX-00155,CU-0205,47654.02,2023-02-22,HSBC
TX-00160,CU-0172,36951.89,2023-05-29,G&T Continental
TX-00163,CU-0170,23474.95,2023-08-03,Davivienda
TX-00166,CU-0198,4522.92,2024-12-30,Industrial
TX-00170,CU-0175,44528.11,2023-12-22,Citibank
TX-00173,CU-0203,5022.08,2024-05-30,Industrial
TX-00174,CU-0224,7396.48,2024-01-11,Banistmo
TX-00176,CU-0204,34264.27,2024-06-20,HSBC
TX-00177,CU-0218,8508.22,2024-01-06,Banrural
TX-00178,CU-0219,23346.87,2024-11-11,Davivienda
TX-00179,CU-0181,832.15,2024-07-21,Davivienda
TX-00180,CU-0201,19712.64,2023-06-05,Banrural
TX-00181,CU-0224,44528.6,2023-11-16,HSBC
TX-00182,CU-0191,24985.49,2024-08-07,Industrial
TX-00183,CU-0213,42663.14,2024-12-25,BAC
TX-00186,CU-0210,14512.31,2023-01-03,BAC
TX-00187,CU-0207,8150.44,2024-08-11,Banrural
TX-00188,CU-0214,26357.16,2023-03-23,Banistmo
TX-00191,CU-0224,45451.62,2024-01-24,G&T Continental
TX-00192,CU-0193,48220.55,2024-03-02,G&T Continental
TX-00194,CU-0243,2808.36,2023-07-01,HSBC
TX-00196,CU-0201,3822.47,2023-03-11,Banistmo
TX-00197,CU-0228,25795.33,2023-01-25,BAC
TX-00199,CU-0225,9968.03,2023-05-05,G&T Continental
TX-00201,CU-0221,8896.88,2023-01-06,Banrural
TX-00202,CU-0203,17833.33,2024-10-31,Industrial
TX-00204,CU-0249,30367.79,2023-06-20,Industrial
TX-00206,CU-0214,11938.1,2023-09-10,Industrial
TX-00207,CU-0220,12537.62,2024-02-11,BAC
TX-00209,CU-0215,10532.23,2024-08-21,Banrural
TX-00210,CU-0252,36871.49,2023-01-20,Banistmo
TX-00211,CU-0216,14381.24,2024-02-26,Banistmo
TX-00212,CU-0259,15972.98,2023-01-21,BAC
TX-00213,CU-0250,25562.77,2024-05-22,Industrial
TX-00215,CU-0239,24170.29,2023-10-23,Banrural
TX-00216,CU-0231,34593.83,2024-04-27,G&T Continental
TX-00218,CU-0256,13859.28,2024-06-26,HSBC
TX-00220,CU-0222,10963.91,2024-01-23,HSBC
TX-00221,CU-0250,5185.81,2023-01-07,Banistmo
TX-00226,CU-0248,46766.71,2023-08-11,Industrial
TX-00227,CU-0246,26166.76,2024-04-15,BAC
TX-00228,CU-0237,12432.19,2023-09-07,Davivienda
TX-00229,CU-0246,37795.73,2023-08-14,Citibank
TX-00232,CU-0279,43255.16,2023-04-06,Banistmo
TX-00234,CU-0262,1856.68,2024-08-25,Davivienda
TX-00235,CU-0247,26705.13,2024-09-09,Industrial
TX-00236,CU-0283,23968.95,2024-04-06,HSBC
TX-00237,CU-0260,10036.53,2024-12-04,Banrural
TX-00239,CU-0259,40519.8,2024-12-23,Banrural
TX-00240,CU-0241,1594.53,2024-12-31,Industrial
TX-00241,CU-0255,39651.66,2024-04-12,HSBC
TX-00242,CU-0289,29413.8,2024-02-01,BAC
TX-00244,CU-0291,49836.46,2024-03-05,HSBC
TX-00245,CU-0260,40462.75,2024-12-11,Industrial
TX-00247,CU-0256,18357.91,2024-10-26,Banistmo
TX-00248,CU-0281,31229.79,2024-02-19,Industrial
TX-00249,CU-0271,49969.44,2023-12-09,Industrial
TX-00250,CU-0262,35310.8,2023-10-12,G&T Continental
TX-00253,CU-0270,248.85,2023-10-06,Banrural
TX-00254,CU-0285,11929.7,2023-05-06,Citibank
TX-00255,CU-0287,38438.87,2024-09-13,Davivienda
TX-00257,CU-0301,22678.07,2023-07-31,G&T Continental
TX-00262,CU-0297,34795.94,2023-12-30,Industrial
TX-00263,CU-0287,40331.15,2024-04-15,Industrial
TX-00264,CU-0267,38394.85,2023-04-20,G&T Continental
TX-00265,CU-0308,48151.01,2023-06-11,Industrial
TX-00267,CU-0308,38822.79,2023-01-01,Banistmo
TX-00269,CU-0289,20527.64,2023-10-30,Davivienda
TX-00270,CU-0291,34380.83,2023-08-04,Banrural
TX-00271,CU-0317,19887.99,2023-06-21,HSBC
TX-00272,CU-0293,12336.27,2023-03-15,Industrial
TX-00274,CU-0306,41309.8,2024-01-29,HSBC
TX-00275,CU-0285,10216.18,2024-09-27,Banrural
TX-00276,CU-0311,33159.55,2023-07-09,Banistmo
TX-00277,CU-0304,31195.4,2024-04-27,Industrial
TX-00278,CU-0290,21603.66,2024-03-25,BAC
TX-00280,CU-0305,43123.13,2024-08-01,HSBC
TX-00281,CU-0311,37273.25,2023-03-17,Citibank
TX-00282,CU-0299,48800.13,2024-06-15,Banrural
TX-00283,CU-0327,11186.67,2024-03-30,HSBC
TX-00286,CU-0298,47313.85,2023-02-06,Banistmo
TX-00287,CU-0328,4639.57,2023-07-15,HSBC
TX-00288,CU-0290,21706.6,2023-06-27,Industrial
TX-00289,CU-0302,43714.06,2023-09-10,HSBC
TX-00292,CU-0320,29402.2,2023-08-12,Banrural
TX-00294,CU-0308,3316.21,2024-05-19,HSBC
TX-00296,CU-0323,40228.57,2024-03-17,Citibank
TX-00298,CU-0334,49011.44,2023-01-03,Industrial
TX-00300,CU-0332,43987.29,2024-11-05,Banistmo
TX-00301,CU-0349,33304.65,2024-10-25,G&T Continental
TX-00302,CU-0313,5507.18,2024-09-07,Banrural
TX-00303,CU-0345,25754.1,2024-08-29,Davivienda
TX-00305,CU-0316,49698.52,2024-07-20,Industrial
TX-00307,CU-0350,29519.04,2024-10-11,Davivienda
TX-00308,CU-0325,20552.5,2024-02-29,Davivienda
TX-00309,CU-0337,3763.57,2023-10-25,Davivienda
TX-00310,CU-0311,25290.95,2023-06-02,Banrural
TX-00311,CU-0337,38868.51,2023-02-22,HSBC
TX-00312,CU-0355,29243.55,2024-12-07,G&T Continental
TX-00313,CU-0352,234.95,2024-08-15,Banrural
TX-00314,CU-0363,21642.45,2024-03-03,BAC
TX-00316,CU-0360,14277.62,2024-08-11,BAC
TX-00318,CU-0367,26422.88,2023-05-28,HSBC
TX-00319,CU-0364,38445.48,2023-08-20,Citibank
TX-00320,CU-0328,19283.55,2023-04-07,Davivienda
TX-00323,CU-0329,12277.55,2023-02-07,G&T Continental
TX-00324,CU-0346,33769.69,2024-04-30,Industrial
TX-00325,CU-0327,29479.66,2023-01-16,BAC
TX-00326,CU-0349,8897.22,2024-11-11,HSBC
TX-00327,CU-0333,34420.09,2023-05-23,Banrural
TX-00328,CU-0348,17029.41,2023-09-18,G&T Continental
TX-00329,CU-0332,37632.16,2023-12-19,Banrural
TX-00330,CU-0340,45255.21,2023-05-18,Citibank
TX-00331,CU-0373,4042.48,2023-01-28,Davivienda
TX-00332,CU-0358,37447.53,2024-11-07,Industrial
TX-00334,CU-0370,1542.23,2023-08-11,Davivienda
TX-00335,CU-0353,21564.87,2024-11-09,G&T Continental
TX-00336,CU-0359,21107.22,2024-05-13,Davivienda
TX-00340,CU-0377,11092.22,2023-10-17,HSBC
TX-00341,CU-0374,6492.29,2023-09-28,Banistmo
TX-00344,CU-0378,15457.5,2023-02-05,HSBC
TX-00350,CU-0396,20371.04,2024-03-05,Industrial
TX-00352,CU-0386,49683.27,2024-08-06,Davivienda
TX-00353,CU-0374,45976.21,2023-08-19,Banistmo
TX-00354,CU-0394,16408.2,2024-08-22,Davivienda
TX-00355,CU-0375,37418.64,2023-06-27,BAC
TX-00356,CU-0360,30942.45,2024-04-16,HSBC
TX-00359,CU-0392,35402.92,2024-07-21,Citibank
TX-00362,CU-0389,4299.47,2024-05-15,Davivienda
TX-00364,CU-0404,35661.5,2024-10-08,Citibank
TX-00366,CU-0392,21182.72,2024-12-21,Industrial
TX-00368,CU-0413,16601.05,2023-07-04,Banrural
TX-00369,CU-0416,11608.37,2024-03-18,HSBC
TX-00371,CU-0384,2413.93,2024-11-12,BAC
TX-00374,CU-0376,49822.47,2024-02-07,Banistmo
TX-00377,CU-0398,2530.39,2023-06-07,Industrial
TX-00378,CU-0426,35759.28,2024-01-07,Banistmo
TX-00379,CU-0425,10351.95,2023-01-11,Banrural
TX-00381,CU-0390,13408.79,2024-03-01,Industrial
TX-00382,CU-0401,13022.8,2024-12-15,G&T Continental
TX-00383,CU-0398,46602.46,2023-04-20,G&T Continental
TX-00384,CU-0404,19729.19,2023-11-02,Davivienda
TX-00385,CU-0431,15924.98,2024-10-06,Davivienda
TX-00387,CU-0409,17941.56,2023-03-21,Industrial
TX-00388,CU-0429,48253.06,2024-12-30,Citibank
TX-00390,CU-0434,31593.28,2024-11-17,G&T Continental
TX-00393,CU-0411,29242.67,2023-02-07,Citibank
TX-00394,CU-0441,30453.11,2024-09-07,HSBC
TX-00395,CU-0401,48697.95,2024-05-04,Banrural
TX-00397,CU-0424,40770.39,2024-03-06,HSBC
TX-00398,CU-0433,14363.5,2024-01-04,Banistmo
TX-00400,CU-0402,39826.89,2023-03-29,Industrial
TX-00402,CU-0430,24517.41,2023-01-27,Industrial
TX-00405,CU-0410,40143.49,2024-09-04,Citibank
TX-00407,CU-0428,18003.21,2023-02-04,Banrural
TX-00411,CU-0416,85.41,2024-10-19,Davivienda
TX-00412,CU-0450,12689.4,2024-03-21,Citibank
TX-00413,CU-0447,18852.62,2024-01-29,Industrial
TX-00415,CU-0418,48703.6,2023-07-23,Banrural
TX-00417,CU-0427,17252.96,2023-07-05,Davivienda
TX-00418,CU-0466,14422.09,2023-11-17,Industrial
TX-00419,CU-0425,15981.36,2024-10-10,HSBC
TX-00420,CU-0421,31219.44,2024-10-18,Industrial
TX-00425,CU-0473,34001.74,2024-11-01,G&T Continental
TX-00426,CU-0435,30607.58,2023-09-17,Industrial
TX-00428,CU-0433,12556.21,2024-05-03,Banrural
TX-00430,CU-0480,39274.64,2024-09-27,G&T Continental
TX-00431,CU-0447,16612.19,2024-05-19,Banrural
TX-00432,CU-0480,36526.27,2024-08-31,HSBC
TX-00437,CU-0473,16818.37,2023-07-27,Davivienda
TX-00438,CU-0482,47245.01,2023-11-18,Banistmo
TX-00439,CU-0470,19803.61,2023-06-10,Davivienda
TX-00440,CU-0477,24509.44,2024-05-15,G&T Continental
TX-00444,CU-0489,28473.44,2024-05-25,HSBC
TX-00449,CU-0460,16634.99,2023-11-08,Citibank
TX-00450,CU-0471,22946.05,2023-11-24,BAC
TX-00451,CU-0471,13905.26,2024-10-14,Banistmo
TX-00453,CU-0477,35594.88,2023-07-25,HSBC
TX-00454,CU-0492,30933.2,2024-05-03,Banrural
TX-00455,CU-0456,1671.51,2024-04-09,G&T Continental
TX-00457,CU-0459,15885.43,2024-07-14,Davivienda
TX-00460,CU-0494,12074.28,2024-03-12,HSBC
TX-00461,CU-0476,26539.44,2023-02-04,Citibank
TX-00462,CU-0466,48889.1,2024-03-11,Banrural
TX-00463,CU-0494,8102.54,2024-07-02,BAC
TX-00464,CU-0480,23745.42,2024-01-16,Citibank
TX-00466,CU-0468,45011.15,2023-05-14,Davivienda
TX-00467,CU-0473,34425.4,2024-06-29,Citibank
TX-00468,CU-0472,27033.57,2023-11-24,Industrial
TX-00469,CU-0495,24226.7,2023-10-26,HSBC
TX-00472,CU-0510,18954.97,2024-06-19,G&T Continental
TX-00473,CU-0496,17170.39,2024-01-11,Davivienda
TX-00474,CU-0516,35234.36,2024-03-27,HSBC
TX-00475,CU-0488,16792.4,2023-11-05,BAC
TX-00477,CU-0520,19227.5,2024-09-13,Citibank
TX-00478,CU-0484,17420.73,2024-12-13,Citibank
TX-00481,CU-0516,11054.35,2023-12-24,HSBC
TX-00482,CU-0519,13614.63,2024-10-13,HSBC
TX-00483,CU-0512,35120.38,2024-11-18,Industrial
TX-00484,CU-0496,10593.83,2024-12-28,Industrial
TX-00485,CU-0510,39953.63,2024-03-03,Citibank
TX-00486,CU-0536,522.18,2024-08-12,BAC
TX-00489,CU-0538,42897.96,2024-07-12,G&T Continental
TX-00491,CU-0541,49766.45,2024-01-14,Banistmo
TX-00496,CU-0529,11031.34,2023-12-11,HSBC
TX-00497,CU-0526,8632.76,2023-03-26,Banrural
TX-00498,CU-0540,1854.22,2023-09-29,BAC
TX-00499,CU-0501,14203.6,2023-12-20,Industrial
TX-00500,CU-0529,45147.27,2024-02-29,HSBC
TX-00501,CU-0548,4324.69,2024-11-20,Industrial
TX-00503,CU-0519,40531.12,2023-07-16,Davivienda
TX-00508,CU-0550,7630.27,2023-04-01,BAC
TX-00510,CU-0532,18107.77,2023-05-25,Banrural
TX-00512,CU-0522,34859.22,2024-03-25,HSBC
TX-00513,CU-0556,15349.58,2024-12-09,Davivienda
TX-00514,CU-0556,36667.82,2023-09-12,HSBC
TX-00518,CU-0538,29182.66,2023-06-04,HSBC
TX-00520,CU-0538,49409.6,2024-02-17,Davivienda
TX-00521,CU-0559,45492.14,2023-12-05,Davivienda
TX-00522,CU-0549,38165.19,2023-02-02,Industrial
TX-00524,CU-0530,34032.61,2023-08-15,Citibank
TX-00526,CU-0549,21174.5,2024-07-04,Industrial
TX-00529,CU-0566,17980.38,2023-09-09,G&T Continental
TX-00530,CU-0564,1084.22,2024-01-22,HSBC
TX-00531,CU-0575,35789.06,2023-12-28,Industrial
TX-00532,CU-0549,45643.33,2024-10-30,BAC
TX-00536,CU-0544,16160.68,2024-05-06,BAC
TX-00537,CU-0561,6806.05,2024-09-21,Davivienda
TX-00540,CU-0588,46500.14,2024-11-20,Industrial
TX-00542,CU-0591,28932.41,2023-07-19,Davivienda
TX-00544,CU-0559,373.53,2023-07-01,Banrural
TX-00546,CU-0552,3164.92,2023-06-22,Citibank
TX-00547,CU-0582,7642.28,2023-08-01,BAC
TX-00548,CU-0558,12803.55,2023-04-25,Banrural
TX-00552,CU-0598,12116.68,2023-12-25,Davivienda
TX-00553,CU-0567,27212.29,2024-07-06,G&T Continental
TX-00554,CU-0569,23244.04,2023-02-02,G&T Continental
TX-00555,CU-0575,39479.31,2023-04-08,Industrial
TX-00556,CU-0565,35333.6,2023-01-03,HSBC
TX-00562,CU-0597,5279.14,2023-03-07,Citibank
TX-00564,CU-0598,1451.78,2023-03-17,Davivienda
TX-00565,CU-0606,38569.95,2023-08-27,HSBC
TX-00566,CU-0569,29909.06,2023-03-31,HSBC
TX-00567,CU-0599,5480.27,2024-10-29,Banrural
TX-00569,CU-0579,8434.89,2024-08-18,HSBC
TX-00574,CU-0623,40785.43,2024-07-21,Industrial
TX-00578,CU-0626,13192.25,2024-08-10,HSBC
TX-00579,CU-0589,16065.61,2023-11-22,Industrial
TX-00580,CU-0608,12715.77,2023-05-06,G&T Continental
TX-00581,CU-0605,23080.71,2024-02-01,HSBC
TX-00582,CU-0583,10668.73,2023-08-15,G&T Continental
TX-00585,CU-0623,42790.83,2024-02-13,G&T Continental
TX-00586,CU-0588,3765.28,2024-03-07,Industrial
TX-00587,CU-0618,48020.09,2024-12-25,Industrial
TX-00589,CU-0604,6355.21,2023-03-05,G&T Continental
TX-00591,CU-0633,4898.84,2024-12-19,Citibank
TX-00593,CU-0628,9424.36,2023-08-28,Banistmo
TX-00595,CU-0618,4815.46,2023-08-07,Davivienda
TX-00596,CU-0613,21270.34,2023-09-05,Industrial
TX-00598,CU-0605,37387.12,2023-02-24,Industrial
TX-00599,CU-0610,5332.82,2024-11-20,Davivienda
TX-00601,CU-0645,12437.98,2024-09-09,HSBC
TX-00602,CU-0642,7820.27,2024-01-07,Banistmo
TX-00603,CU-0642,2448.58,2023-01-05,Citibank
TX-00604,CU-0650,5787.61,2023-12-02,Citibank
TX-00605,CU-0616,32216.74,2024-09-27,Citibank
TX-00606,CU-0652,29952.16,2024-05-09,G&T Continental
TX-00607,CU-0637,22351.16,2023-06-06,G&T Continental
TX-00608,CU-0656,43939.4,2024-09-12,Banrural
TX-00609,CU-0614,4751.51,2024-09-03,Banistmo
TX-00611,CU-0656,37258.93,2023-02-25,Davivienda
TX-00612,CU-0641,48001.73,2023-05-01,HSBC
TX-00615,CU-0630,6173.09,2023-06-29,Davivienda
TX-00616,CU-0641,9482.08,2023-06-28,Davivienda
TX-00617,CU-0662,32531.4,2023-08-27,Davivienda
TX-00619,CU-0623,11930.61,2024-05-07,Industrial
TX-00620,CU-0650,30884.5,2024-09-23,G&T Continental
TX-00621,CU-0635,6805.72,2023-12-04,Banrural
TX-00622,CU-0654,17951.11,2024-12-01,Citibank
TX-00623,CU-0638,19775.11,2024-11-18,Banrural
TX-00624,CU-0654,22697.04,2023-08-16,Banrural
TX-00626,CU-0663,32783.58,2023-02-21,Davivienda
TX-00627,CU-0675,2227.12,2023-09-24,BAC
TX-00628,CU-0672,35576.18,2023-04-17,Davivienda
TX-00629,CU-0649,11415.08,2023-06-24,Banistmo
TX-00631,CU-0671,10367.91,2023-04-18,Davivienda
TX-00632,CU-0681,43900.04,2024-06-15,G&T Continental
TX-00635,CU-0645,3734.91,2024-04-04,BAC
TX-00636,CU-0673,27960.01,2023-09-10,G&T Continental
TX-00637,CU-0672,21889.17,2023-08-25,Banistmo
TX-00638,CU-0666,3069.39,2023-09-14,Davivienda
TX-00640,CU-0655,16102.25,2024-06-03,G&T Continental
TX-00643,CU-0644,45535.76,2023-10-15,HSBC
TX-00644,CU-0657,25777.11,2023-12-29,Industrial
TX-00646,CU-0667,20554.16,2024-11-28,G&T Continental
TX-00647,CU-0689,38279.88,2023-08-27,BAC
TX-00648,CU-0679,21543.14,2023-04-06,Banistmo
TX-00650,CU-0655,2863.04,2024-05-14,HSBC
TX-00651,CU-0662,24287.41,2024-10-08,BAC
TX-00653,CU-0665,6488.22,2024-05-03,HSBC
TX-00656,CU-0680,33031.91,2023-01-25,Banistmo
TX-00657,CU-0669,31790.43,2023-05-13,Citibank
TX-00661,CU-0708,34854.16,2024-07-05,BAC
TX-00664,CU-0681,5860.99,2024-02-08,Citibank
TX-00666,CU-0687,43657.62,2023-12-24,HSBC
TX-00667,CU-0711,28549.85,2023-09-18,Davivienda
TX-00669,CU-0718,1134.7,2024-12-31,Banistmo
TX-00670,CU-0695,26425.87,2023-08-05,G&T Continental
TX-00671,CU-0698,18070.47,2023-01-20,HSBC
TX-00672,CU-0680,19821.81,2023-05-18,Banrural
TX-00673,CU-0700,1985.74,2024-04-26,Davivienda
TX-00675,CU-0677,27848.07,2023-05-01,Davivienda
TX-00676,CU-0707,5451.39,2023-01-23,BAC
TX-00678,CU-0694,40929.74,2023-04-14,Banistmo
TX-00681,CU-0683,29689.78,2023-10-17,Banrural
TX-00682,CU-0699,34162.36,2023-03-28,Banistmo
TX-00685,CU-0727,35854.81,2024-08-11,HSBC
TX-00686,CU-0699,45475.35,2024-08-12,Banistmo
TX-00688,CU-0695,44099.65,2024-08-16,Banistmo
TX-00689,CU-0735,28011.89,2024-10-21,Industrial
TX-00690,CU-0729,40142.28,2024-08-08,BAC
TX-00691,CU-0733,12419.09,2023-06-01,Banistmo
TX-00692,CU-0732,6139.74,2023-05-10,Citibank
TX-00694,CU-0737,29420.49,2024-09-07,Banrural
TX-00695,CU-0708,17132.15,2024-11-04,Banistmo
TX-00696,CU-0712,24815.91,2023-01-16,Citibank
TX-00697,CU-0734,28762.34,2023-01-27,Davivienda
TX-00698,CU-0741,29564.8,2024-11-18,BAC
TX-00699,CU-0736,39257.0,2024-05-03,Banrural
TX-00702,CU-0706,31998.58,2024-09-27,Banrural
TX-00705,CU-0751,47112.24,2024-11-20,Davivienda
TX-00706,CU-0741,171.17,2023-12-08,Industrial
TX-00707,CU-0717,34294.43,2023-06-14,Davivienda
TX-00708,CU-0739,19459.78,2023-12-01,BAC
TX-00709,CU-0752,49548.97,2023-06-11,Davivienda
TX-00710,CU-0757,20493.32,2024-03-09,Citibank
TX-00712,CU-0749,9835.33,2024-01-05,BAC
TX-00713,CU-0761,21623.28,2023-08-18,Davivienda
TX-00717,CU-0767,30325.84,2023-12-24,HSBC
TX-00718,CU-0726,25486.14,2023-08-02,HSBC
TX-00719,CU-0733,10795.79,2023-11-12,BAC
TX-00720,CU-0765,14989.59,2023-07-02,Banistmo
TX-00722,CU-0735,17629.39,2024-09-17,HSBC
TX-00724,CU-0735,7792.93,2024-04-18,Banrural
TX-00725,CU-0754,17450.43,2023-03-26,Banistmo
TX-00727,CU-0733,21641.34,2024-08-16,HSBC
TX-00730,CU-0738,31394.14,2024-10-07,Davivienda
TX-00732,CU-0777,28776.99,2023-03-18,Banrural
TX-00734,CU-0748,38703.53,2024-06-07,BAC
TX-00735,CU-0760,23073.74,2024-12-25,HSBC
TX-00738,CU-0770,4182.42,2023-10-29,HSBC
TX-00741,CU-0784,1019.18,2023-03-21,Citibank
TX-00742,CU-0778,3462.37,2024-09-01,G&T Continental
TX-00747,CU-0780,23862.71,2024-12-12,BAC
TX-00749,CU-0758,49946.31,2023-01-07,Industrial
TX-00751,CU-0759,42074.56,2023-01-06,G&T Continental
TX-00753,CU-0793,33866.59,2023-09-25,Banrural
TX-00754,CU-0757,19069.59,2023-10-04,G&T Continental
TX-00756,CU-0775,17076.16,2023-02-12,Davivienda
TX-00757,CU-0807,42672.33,2023-02-03,Banistmo
TX-00759,CU-0763,20328.16,2023-06-04,Banistmo
TX-00760,CU-0783,49834.53,2024-09-13,G&T Continental
TX-00764,CU-0795,38006.47,2023-12-12,Citibank
TX-00766,CU-0774,2785.28,2024-07-23,G&T Continental
TX-00767,CU-0808,45525.3,2023-02-13,Banrural
TX-00768,CU-0779,42515.39,2023-11-30,Citibank
TX-00769,CU-0786,45116.4,2023-10-13,Banistmo
TX-00772,CU-0806,20758.4,2023-07-01,BAC
TX-00774,CU-0810,7501.88,2023-01-06,HSBC
TX-00775,CU-0810,32672.53,2023-02-15,HSBC
