clienteId,ubicacionId,fechaRegistro,esDomicilio,verificado
CL-0136,UB-0136,2022-04-08,true,true
CL-0137,UB-0137,2019-09-15,true,false
CL-0138,UB-0138,2016-01-10,true,true
CL-0139,UB-0139,2021-06-11,true,true
CL-0140,UB-0140,2022-08-12,true,false
CL-0141,UB-0141,2015-05-04,true,false
CL-0142,UB-0142,2022-02-25,true,true
CL-0143,UB-0143,2020-10-19,true,true
CL-0144,UB-0144,2017-10-14,true,true
CL-0145,UB-0145,2016-01-21,true,false
CL-0146,UB-0146,2018-08-27,true,true
CL-0147,UB-0147,2016-08-01,true,true
CL-0148,UB-0148,2016-01-27,true,false
CL-0149,UB-0149,2015-08-15,true,true
CL-0150,UB-0150,2018-03-06,true,true
CL-0151,UB-0151,2023-07-04,true,true
CL-0152,UB-0152,2021-02-16,true,true
CL-0153,UB-0153,2022-04-30,true,true
CL-0154,UB-0154,2015-11-06,true,true
CL-0155,UB-0155,2018-12-30,true,true
CL-0156,UB-0156,2018-04-09,true,false
CL-0157,UB-0157,2023-10-14,true,true
CL-0158,UB-0158,2021-03-27,true,true
CL-0159,UB-0159,2015-08-23,true,true
CL-0160,UB-0160,2019-04-08,true,true
CL-0161,UB-0161,2018-09-16,true,true
CL-0162,UB-0162,2022-05-09,true,false
CL-0163,UB-0163,2017-05-05,true,true
CL-0164,UB-0164,2019-03-29,true,false
CL-0165,UB-0165,2017-09-16,true,true
CL-0166,UB-0166,2021-11-22,true,true
CL-0167,UB-0167,2019-04-26,true,true
CL-0168,UB-0168,2019-10-25,true,true
CL-0169,UB-0169,2017-12-31,true,true
CL-0170,UB-0170,2018-06-27,true,true
CL-0171,UB-0171,2019-01-13,true,true
CL-0172,UB-0172,2021-04-25,true,true
CL-0173,UB-0173,2016-08-10,true,false
CL-0174,UB-0174,2018-05-16,true,true
CL-0175,UB-0175,2020-11-16,true,true
CL-0176,UB-0176,2020-03-29,true,true
CL-0177,UB-0177,2016-09-07,true,true
CL-0178,UB-0178,2021-09-28,true,false
CL-0179,UB-0179,2017-01-26,true,true
CL-0180,UB-0180,2021-12-11,true,true
CL-0181,UB-0181,2020-05-23,true,true
CL-0182,UB-0182,2016-11-09,true,true
CL-0183,UB-0183,2016-06-10,true,true
CL-0184,UB-0184,2017-05-10,true,true
CL-0185,UB-0185,2015-06-12,true,true
CL-0186,UB-0186,2022-04-19,true,true
CL-0187,UB-0187,2016-08-22,true,true
CL-0188,UB-0188,2016-06-30,true,true
CL-0189,UB-0189,2015-05-18,true,true
CL-0190,UB-0190,2015-10-12,true,false
CL-0191,UB-0191,2015-06-02,true,false
CL-0192,UB-0192,2021-03-02,true,true
CL-0193,UB-0193,2020-05-02,true,true
CL-0194,UB-0194,2020-10-26,true,true
CL-0195,UB-0195,2016-06-17,true,false
CL-0196,UB-0196,2016-06-04,true,true
CL-0197,UB-0197,2020-09-30,true,true
CL-0198,UB-0198,2021-12-02,true,true
CL-0199,UB-0199,2015-09-17,true,true
CL-0200,UB-0200,2018-10-01,true,true
CL-0201,UB-0001,2020-08-30,true,true
CL-0202,UB-0002,2020-06-03,true,true
CL-0203,UB-0003,2015-08-06,true,true
CL-0204,UB-0004,2017-08-11,true,true
CL-0205,UB-0005,2020-05-17,true,true
CL-0206,UB-0006,2019-07-14,true,true
CL-0207,UB-0007,2015-02-19,true,true
CL-0208,UB-0008,2020-05-23,true,true
CL-0209,UB-0009,2017-02-16,true,true
CL-0210,UB-0010,2019-07-17,true,true
CL-0211,UB-0011,2016-08-02,true,true
CL-0212,UB-0012,2015-06-10,true,true
CL-0213,UB-0013,2019-12-21,true,true
CL-0214,UB-0014,2022-12-15,true,true
CL-0215,UB-0015,2021-06-20,true,true
CL-0216,UB-0016,2022-09-04,true,true
CL-0217,UB-0017,2019-02-21,true,true
CL-0218,UB-0018,2015-12-28,true,false
CL-0219,UB-0019,2018-10-10,true,true
CL-0220,UB-0020,2016-08-19,true,true
CL-0221,UB-0021,2017-03-17,true,true
CL-0222,UB-0022,2018-01-18,true,true
CL-0223,UB-0023,2021-11-10,true,true
CL-0224,UB-0024,2015-05-30,true,true
CL-0225,UB-0025,2017-06-20,true,true
CL-0226,UB-0026,2019-11-16,true,false
CL-0227,UB-0027,2016-07-30,true,true
CL-0228,UB-0028,2022-07-31,true,true
CL-0229,UB-0029,2018-07-03,true,true
CL-0230,UB-0030,2018-01-15,true,true
CL-0231,UB-0031,2020-04-24,true,true
CL-0232,UB-0032,2019-12-08,true,true
CL-0233,UB-0033,2018-04-16,true,true
CL-0234,UB-0034,2023-03-19,true,true
CL-0235,UB-0035,2016-05-12,true,true
CL-0236,UB-0036,2017-07-20,true,true
CL-0237,UB-0037,2023-06-30,true,true
CL-0238,UB-0038,2021-01-27,true,true
CL-0239,UB-0039,2020-11-23,true,true
CL-0240,UB-0040,2020-11-16,true,true
CL-0241,UB-0041,2023-05-24,true,false
CL-0242,UB-0042,2023-07-12,true,false
CL-0243,UB-0043,2015-03-22,true,true
CL-0244,UB-0044,2019-05-17,true,true
CL-0245,UB-0045,2023-02-15,true,true
CL-0246,UB-0046,2015-09-24,true,true
CL-0247,UB-0047,2018-12-26,true,true
CL-0248,UB-0048,2018-12-24,true,true
CL-0249,UB-0049,2018-10-06,true,true
CL-0250,UB-0050,2017-07-31,true,true
CL-0251,UB-0051,2015-09-29,true,true
CL-0252,UB-0052,2023-07-27,true,true
CL-0253,UB-0053,2018-12-09,true,true
CL-0254,UB-0054,2018-08-07,true,false
CL-0255,UB-0055,2015-04-23,true,true
CL-0256,UB-0056,2017-02-27,true,false
CL-0257,UB-0057,2021-06-16,true,true
CL-0258,UB-0058,2020-03-23,true,true
CL-0259,UB-0059,2023-03-23,true,true
CL-0260,UB-0060,2019-08-05,true,false
CL-0261,UB-0061,2016-12-15,true,true
CL-0262,UB-0062,2020-10-24,true,true
CL-0263,UB-0063,2017-03-25,true,true
CL-0264,UB-0064,2017-10-20,true,false
CL-0265,UB-0065,2023-11-16,true,false
CL-0266,UB-0066,2022-03-22,true,true
CL-0267,UB-0067,2020-08-13,true,true
CL-0268,UB-0068,2022-01-21,true,true
CL-0269,UB-0069,2015-06-12,true,false
CL-0270,UB-0070,2021-12-30,true,false
CL-0271,UB-0071,2018-11-13,true,true
CL-0272,UB-0072,2019-10-24,true,true
CL-0273,UB-0073,2018-01-16,true,true
CL-0274,UB-0074,2022-01-21,true,true
CL-0275,UB-0075,2018-04-10,true,true
CL-0276,UB-0076,2021-12-11,true,true
CL-0277,UB-0077,2017-08-19,true,true
CL-0278,UB-0078,2016-07-16,true,true
CL-0279,UB-0079,2022-09-10,true,true
CL-0280,UB-0080,2019-12-03,true,true
CL-0281,UB-0081,2018-07-20,true,false
CL-0282,UB-0082,2015-06-12,true,true
CL-0283,UB-0083,2018-04-17,true,true
CL-0284,UB-0084,2020-03-18,true,true
CL-0285,UB-0085,2015-09-24,true,true
CL-0286,UB-0086,2020-09-24,true,true
CL-0287,UB-0087,2022-07-25,true,true
CL-0288,UB-0088,2022-07-21,true,true
CL-0289,UB-0089,2022-09-24,true,true
CL-0290,UB-0090,2017-08-10,true,false
CL-0291,UB-0091,2016-05-13,true,true
CL-0292,UB-0092,2018-02-02,true,false
CL-0293,UB-0093,2019-07-23,true,true
CL-0294,UB-0094,2017-04-01,true,true
CL-0295,UB-0095,2020-01-04,true,true
CL-0296,UB-0096,2023-12-22,true,true
CL-0297,UB-0097,2023-02-27,true,true
CL-0298,UB-0098,2017-04-16,true,true
CL-0299,UB-0099,2019-03-27,true,true
CL-0300,UB-0100,2015-11-10,true,false
CL-0301,UB-0101,2023-05-12,true,true
CL-0302,UB-0102,2022-09-27,true,true
CL-0303,UB-0103,2016-12-04,true,true
CL-0304,UB-0104,2021-09-29,true,true
CL-0305,UB-0105,2016-05-16,true,true
CL-0306,UB-0106,2018-08-25,true,true
CL-0307,UB-0107,2018-08-03,true,true
CL-0308,UB-0108,2021-11-05,true,true
CL-0309,UB-0109,2016-06-18,true,true
CL-0310,UB-0110,2021-09-21,true,false
CL-0311,UB-0111,2023-01-17,true,false
CL-0312,UB-0112,2015-05-21,true,true
CL-0313,UB-0113,2016-02-17,true,true
CL-0314,UB-0114,2022-03-10,true,false
CL-0315,UB-0115,2023-07-16,true,true
CL-0316,UB-0116,2019-09-01,true,true
CL-0317,UB-0117,2017-08-31,true,true
CL-0318,UB-0118,2017-04-25,true,true
CL-0319,UB-0119,2022-07-23,true,true
CL-0320,UB-0120,2019-07-03,true,true
CL-0321,UB-0121,2021-07-07,true,false
CL-0322,UB-0122,2017-08-19,true,true
CL-0323,UB-0123,2022-08-17,true,true
CL-0324,UB-0124,2020-07-05,true,true
CL-0325,UB-0125,2023-04-16,true,true
CL-0326,UB-0126,2022-06-08,true,true
CL-0327,UB-0127,2023-02-19,true,true
CL-0328,UB-0128,2019-01-05,true,true
CL-0329,UB-0129,2017-03-12,true,false
CL-0330,UB-0130,2018-05-03,true,true
CL-0331,UB-0131,2016-08-25,true,true
CL-0332,UB-0132,2015-05-22,true,true
CL-0333,UB-0133,2017-03-22,true,true
CL-0334,UB-0134,2016-11-23,true,true
CL-0335,UB-0135,2019-02-10,true,true
CL-0336,UB-0136,2022-04-02,true,true
CL-0337,UB-0137,2015-05-20,true,true
CL-0338,UB-0138,2017-03-15,true,true
CL-0339,UB-0139,2016-06-22,true,true
CL-0340,UB-0140,2016-09-27,true,true
CL-0341,UB-0141,2023-12-11,true,true
CL-0342,UB-0142,2017-04-22,true,false
CL-0343,UB-0143,2020-08-29,true,true
CL-0344,UB-0144,2017-08-16,true,true
CL-0345,UB-0145,2015-09-29,true,true
CL-0346,UB-0146,2019-08-05,true,true
CL-0347,UB-0147,2016-08-27,true,true
CL-0348,UB-0148,2018-02-02,true,true
CL-0349,UB-0149,2019-07-08,true,false
CL-0350,UB-0150,2022-01-27,true,true
CL-0351,UB-0151,2022-03-31,true,true
CL-0352,UB-0152,2021-11-03,true,true
CL-0353,UB-0153,2022-06-11,true,true
CL-0354,UB-0154,2022-10-16,true,false
CL-0355,UB-0155,2017-02-16,true,true
CL-0356,UB-0156,2016-04-25,true,true
CL-0357,UB-0157,2015-04-29,true,true
CL-0358,UB-0158,2015-07-30,true,true
CL-0359,UB-0159,2021-11-12,true,true
CL-0360,UB-0160,2022-08-12,true,true
CL-0361,UB-0161,2019-03-03,true,true
CL-0362,UB-0162,2022-07-31,true,false
CL-0363,UB-0163,2015-12-24,true,true
CL-0364,UB-0164,2015-03-30,true,true
CL-0365,UB-0165,2023-02-25,true,false
CL-0366,UB-0166,2017-05-09,true,true
CL-0367,UB-0167,2020-09-15,true,true
CL-0368,UB-0168,2018-03-04,true,false
CL-0369,UB-0169,2020-02-24,true,true
CL-0370,UB-0170,2015-10-23,true,true
CL-0371,UB-0171,2020-06-25,true,true
CL-0372,UB-0172,2016-02-20,true,false
CL-0373,UB-0173,2022-10-01,true,true
CL-0374,UB-0174,2021-08-11,true,true
CL-0375,UB-0175,2016-06-24,true,true
CL-0376,UB-0176,2019-03-09,true,true
CL-0377,UB-0177,2022-06-02,true,false
CL-0378,UB-0178,2023-03-23,true,true
CL-0379,UB-0179,2022-05-27,true,false
CL-0380,UB-0180,2020-05-09,true,true
CL-0381,UB-0181,2020-10-18,true,false
CL-0382,UB-0182,2019-05-10,true,false
CL-0383,UB-0183,2016-04-02,true,true
CL-0384,UB-0184,2016-10-17,true,true
CL-0385,UB-0185,2019-01-27,true,true
CL-0386,UB-0186,2018-10-18,true,true
CL-0387,UB-0187,2015-03-30,true,true
CL-0388,UB-0188,2016-09-09,true,false
CL-0389,UB-0189,2017-11-08,true,true
CL-0390,UB-0190,2019-08-01,true,true
CL-0391,UB-0191,2018-07-06,true,false
CL-0392,UB-0192,2016-07-23,true,false
CL-0393,UB-0193,2017-02-06,true,false
CL-0394,UB-0194,2015-04-04,true,true
CL-0395,UB-0195,2016-05-07,true,false
CL-0396,UB-0196,2017-12-15,true,true
CL-0397,UB-0197,2015-07-11,true,true
CL-0398,UB-0198,2019-05-16,true,true
CL-0399,UB-0199,2018-08-10,true,true
CL-0400,UB-0200,2020-08-23,true,false
CL-0401,UB-0001,2015-04-12,true,true
CL-0402,UB-0002,2017-11-09,true,true
CL-0403,UB-0003,2022-10-07,true,false
CL-0404,UB-0004,2018-01-12,true,true
CL-0405,UB-0005,2016-05-24,true,true
CL-0406,UB-0006,2021-09-09,true,true
CL-0407,UB-0007,2019-07-28,true,true
CL-0408,UB-0008,2023-10-12,true,true
CL-0409,UB-0009,2022-01-02,true,false
CL-0410,UB-0010,2023-05-12,true,true
CL-0411,UB-0011,2020-04-13,true,true
CL-0412,UB-0012,2020-10-23,true,true
CL-0413,UB-0013,2017-01-19,true,true
CL-0414,UB-0014,2016-11-25,true,true
CL-0415,UB-0015,2017-09-25,true,true
CL-0416,UB-0016,2019-12-12,true,true
CL-0417,UB-0017,2015-04-11,true,true
CL-0418,UB-0018,2021-05-16,true,true
CL-0419,UB-0019,2017-04-14,true,true
CL-0420,UB-0020,2016-08-23,true,true
CL-0421,UB-0021,2023-09-07,true,false
CL-0422,UB-0022,2015-09-03,true,false
CL-0423,UB-0023,2022-12-09,true,true
CL-0424,UB-0024,2020-12-25,true,true
CL-0425,UB-0025,2022-08-10,true,false
CL-0426,UB-0026,2019-03-10,true,true
CL-0427,UB-0027,2023-07-10,true,true
CL-0428,UB-0028,2016-07-05,true,true
CL-0429,UB-0029,2021-06-18,true,true
CL-0430,UB-0030,2015-01-06,true,true
CL-0431,UB-0031,2020-08-30,true,true
CL-0432,UB-0032,2017-04-15,true,false
CL-0433,UB-0033,2016-02-23,true,true
CL-0434,UB-0034,2021-03-26,true,true
CL-0435,UB-0035,2015-04-20,true,true
CL-0436,UB-0036,2023-06-17,true,true
CL-0437,UB-0037,2016-02-29,true,true
CL-0438,UB-0038,2017-01-12,true,true
CL-0439,UB-0039,2015-09-26,true,true
CL-0440,UB-0040,2019-04-27,true,false
CL-0441,UB-0041,2021-08-14,true,true
CL-0442,UB-0042,2022-03-01,true,false
CL-0443,UB-0043,2022-09-26,true,false
CL-0444,UB-0044,2022-12-07,true,true
CL-0445,UB-0045,2023-02-19,true,true
CL-0446,UB-0046,2019-05-16,true,true
CL-0447,UB-0047,2019-09-10,true,true
CL-0448,UB-0048,2021-08-30,true,true
CL-0449,UB-0049,2020-09-25,true,false
CL-0450,UB-0050,2018-03-10,true,true
CL-0451,UB-0051,2017-03-07,true,false
CL-0452,UB-0052,2023-12-17,true,true
CL-0453,UB-0053,2021-08-29,true,true
CL-0454,UB-0054,2022-10-19,true,true
CL-0455,UB-0055,2021-02-05,true,true
CL-0456,UB-0056,2019-01-27,true,true
CL-0457,UB-0057,2021-06-18,true,false
CL-0458,UB-0058,2018-10-31,true,true
CL-0459,UB-0059,2020-06-20,true,false
CL-0460,UB-0060,2019-12-18,true,false
CL-0461,UB-0061,2018-10-01,true,true
CL-0462,UB-0062,2020-11-06,true,true
CL-0463,UB-0063,2019-03-22,true,true
CL-0464,UB-0064,2016-09-16,true,false
CL-0465,UB-0065,2017-12-08,true,true
CL-0466,UB-0066,2021-08-02,true,true
CL-0467,UB-0067,2016-03-13,true,true
CL-0468,UB-0068,2022-02-11,true,false
CL-0469,UB-0069,2020-12-23,true,true
CL-0470,UB-0070,2019-09-19,true,false
CL-0471,UB-0071,2021-11-30,true,false
CL-0472,UB-0072,2022-03-28,true,true
CL-0473,UB-0073,2019-05-09,true,true
CL-0474,UB-0074,2017-03-14,true,false
CL-0475,UB-0075,2016-09-05,true,true
CL-0476,UB-0076,2015-03-21,true,true
CL-0477,UB-0077,2020-09-29,true,false
CL-0478,UB-0078,2015-03-23,true,false
CL-0479,UB-0079,2018-11-23,true,false
CL-0480,UB-0080,2020-01-20,true,true
CL-0481,UB-0081,2021-01-19,true,false
CL-0482,UB-0082,2015-10-04,true,true
CL-0483,UB-0083,2021-11-22,true,true
CL-0484,UB-0084,2017-09-03,true,true
CL-0485,UB-0085,2022-10-15,true,true
CL-0486,UB-0086,2018-03-12,true,true
CL-0487,UB-0087,2016-02-08,true,true
CL-0488,UB-0088,2016-10-27,true,true
CL-0489,UB-0089,2021-07-25,true,true
CL-0490,UB-0090,2021-10-23,true,true
CL-0491,UB-0091,2019-06-21,true,true
CL-0492,UB-0092,2017-08-16,true,true
CL-0493,UB-0093,2017-02-16,true,false
CL-0494,UB-0094,2019-05-08,true,true
CL-0495,UB-0095,2023-09-21,true,false
CL-0496,UB-0096,2020-10-31,true,false
CL-0497,UB-0097,2021-01-18,true,true
CL-0498,UB-0098,2020-09-20,true,true
CL-0499,UB-0099,2020-12-27,true,true
CL-0500,UB-0100,2020-02-16,true,true
CL-0501,UB-0101,2018-03-30,true,true
CL-0502,UB-0102,2021-05-30,true,false
CL-0503,UB-0103,2023-10-28,true,true
CL-0504,UB-0104,2018-12-23,true,true
CL-0505,UB-0105,2022-11-08,true,true
CL-0506,UB-0106,2019-06-04,true,true
CL-0507,UB-0107,2023-06-28,true,true
CL-0508,UB-0108,2020-10-13,true,true
CL-0509,UB-0109,2019-11-19,true,true
CL-0510,UB-0110,2018-10-23,true,true
CL-0511,UB-0111,2021-09-01,true,true
CL-0512,UB-0112,2016-01-17,true,true
CL-0513,UB-0113,2023-01-10,true,true
CL-0514,UB-0114,2018-03-20,true,true
CL-0515,UB-0115,2022-06-19,true,false
CL-0516,UB-0116,2022-06-02,true,true
CL-0517,UB-0117,2015-06-12,true,true
CL-0518,UB-0118,2023-02-06,true,true
CL-0519,UB-0119,2019-03-13,true,true
CL-0520,UB-0120,2022-04-22,true,true
CL-0521,UB-0121,2016-10-03,true,false
CL-0522,UB-0122,2015-07-12,true,true
CL-0523,UB-0123,2022-10-16,true,true
CL-0524,UB-0124,2023-09-23,true,true
CL-0525,UB-0125,2020-11-19,true,true
CL-0526,UB-0126,2021-09-06,true,false
CL-0527,UB-0127,2021-06-18,true,true
CL-0528,UB-0128,2017-06-22,true,true
CL-0529,UB-0129,2023-01-05,true,true
CL-0530,UB-0130,2017-10-04,true,true
CL-0531,UB-0131,2016-12-22,true,false
CL-0532,UB-0132,2021-01-18,true,true
CL-0533,UB-0133,2019-08-19,true,true
CL-0534,UB-0134,2015-11-21,true,false
CL-0535,UB-0135,2023-10-21,true,true
CL-0536,UB-0136,2022-04-24,true,true
CL-0537,UB-0137,2023-03-08,true,false
CL-0538,UB-0138,2015-10-12,true,true
CL-0539,UB-0139,2022-01-31,true,false
CL-0540,UB-0140,2021-11-26,true,false
CL-0541,UB-0141,2022-11-17,true,true
CL-0542,UB-0142,2015-08-19,true,true
CL-0543,UB-0143,2017-03-03,true,true
CL-0544,UB-0144,2019-06-27,true,false
CL-0545,UB-0145,2019-08-05,true,true
CL-0546,UB-0146,2023-08-13,true,true
CL-0547,UB-0147,2020-07-27,true,false
CL-0548,UB-0148,2018-02-14,true,true
CL-0549,UB-0149,2015-02-18,true,true
CL-0550,UB-0150,2021-07-09,true,true
CL-0551,UB-0151,2019-10-23,true,true
CL-0552,UB-0152,2019-02-02,true,false
CL-0553,UB-0153,2015-09-23,true,true
CL-0554,UB-0154,2017-08-11,true,true
CL-0555,UB-0155,2018-12-31,true,false
CL-0556,UB-0156,2022-08-01,true,true
CL-0557,UB-0157,2019-02-02,true,true
CL-0558,UB-0158,2022-02-03,true,true
CL-0559,UB-0159,2018-10-19,true,true
CL-0560,UB-0160,2019-07-29,true,true
CL-0561,UB-0161,2020-10-05,true,false
CL-0562,UB-0162,2016-10-28,true,true
CL-0563,UB-0163,2015-02-01,true,false
CL-0564,UB-0164,2019-01-05,true,true
CL-0565,UB-0165,2018-08-06,true,true
CL-0566,UB-0166,2018-11-17,true,true
CL-0567,UB-0167,2015-07-19,true,true
CL-0568,UB-0168,2017-10-29,true,false
CL-0569,UB-0169,2023-12-14,true,true
CL-0570,UB-0170,2017-03-26,true,true
CL-0571,UB-0171,2021-09-05,true,true
CL-0572,UB-0172,2020-02-22,true,false
CL-0573,UB-0173,2022-06-03,true,true
CL-0574,UB-0174,2015-02-09,true,true
CL-0575,UB-0175,2019-01-20,true,true
CL-0576,UB-0176,2017-05-29,true,true
CL-0577,UB-0177,2021-12-11,true,true
CL-0578,UB-0178,2016-12-22,true,true
CL-0579,UB-0179,2017-03-09,true,true
CL-0580,UB-0180,2017-10-23,true,true
CL-0581,UB-0181,2016-06-14,true,true
CL-0582,UB-0182,2016-09-08,true,true
CL-0583,UB-0183,2015-02-21,true,false
CL-0584,UB-0184,2020-04-15,true,false
CL-0585,UB-0185,2019-06-13,true,true
CL-0586,UB-0186,2020-11-20,true,true
CL-0587,UB-0187,2022-09-24,true,true
CL-0588,UB-0188,2016-05-15,true,true
CL-0589,UB-0189,2020-11-08,true,true
CL-0590,UB-0190,2017-09-21,true,true
CL-0591,UB-0191,2021-07-20,true,true
CL-0592,UB-0192,2023-03-02,true,true
CL-0593,UB-0193,2017-12-02,true,false
CL-0594,UB-0194,2022-01-14,true,true
CL-0595,UB-0195,2023-08-30,true,true
CL-0596,UB-0196,2022-09-27,true,false
CL-0597,UB-0197,2021-04-07,true,true
CL-0598,UB-0198,2017-06-12,true,true
CL-0599,UB-0199,2017-12-12,true,true
CL-0600,UB-0200,2019-02-16,true,true
CL-0601,UB-0001,2020-12-10,true,true
CL-0602,UB-0002,2015-01-27,true,true
CL-0603,UB-0003,2021-11-17,true,true
CL-0604,UB-0004,2016-01-15,true,true
CL-0605,UB-0005,2016-04-11,true,true
CL-0606,UB-0006,2020-03-04,true,true
