tarjetaId,cuentaId,fechaAsociacion,esPrincipal,limiteCompartido
TJ-0117,CU-0117,2021-10-29,true,14283.35
TJ-0118,CU-0118,2021-11-17,true,3744.36
TJ-0119,CU-0119,2020-04-20,true,40477.85
TJ-0120,CU-0120,2023-04-29,true,20525.15
TJ-0121,CU-0121,2020-04-27,true,26232.93
TJ-0122,CU-0122,2019-04-25,true,10123.22
TJ-0123,CU-0123,2021-08-19,true,41735.78
TJ-0124,CU-0124,2020-03-03,true,48506.86
TJ-0125,CU-0125,2020-05-27,true,22078.18
TJ-0126,CU-0126,2022-05-28,true,8574.05
TJ-0127,CU-0127,2020-04-26,true,25179.13
TJ-0128,CU-0128,2022-08-19,true,3749.38
TJ-0129,CU-0129,2018-06-09,true,31867.98
TJ-0130,CU-0130,2018-05-12,true,22838.26
TJ-0131,CU-0131,2023-04-09,true,12628.54
TJ-0132,CU-0132,2022-06-09,true,21544.38
TJ-0133,CU-0133,2018-06-27,true,12854.89
TJ-0134,CU-0134,2022-11-15,true,41889.56
TJ-0135,CU-0135,2022-12-17,true,22334.62
TJ-0136,CU-0136,2023-01-13,true,36017.46
TJ-0137,CU-0137,2018-02-27,true,14159.39
TJ-0138,CU-0138,2022-04-24,true,32555.84
TJ-0139,CU-0139,2018-03-31,true,3172.31
TJ-0140,CU-0140,2021-10-05,true,29994.75
TJ-0141,CU-0141,2020-08-26,true,37232.5
TJ-0142,CU-0142,2021-02-14,true,29110.4
TJ-0143,CU-0143,2020-02-10,true,48978.21
TJ-0144,CU-0144,2021-01-03,true,31048.18
TJ-0145,CU-0145,2018-10-04,true,32996.99
TJ-0146,CU-0146,2022-05-12,true,5185.65
TJ-0147,CU-0147,2018-06-28,true,10150.03
TJ-0148,CU-0148,2022-12-02,true,30865.83
TJ-0149,CU-0149,2019-09-16,true,21408.91
TJ-0150,CU-0150,2019-12-10,true,7830.55
TJ-0151,CU-0151,2021-08-21,true,17479.89
TJ-0152,CU-0152,2021-09-26,true,22827.58
TJ-0153,CU-0153,2021-06-01,true,44175.15
TJ-0154,CU-0154,2019-03-16,true,31378.54
TJ-0155,CU-0155,2020-12-04,true,36234.47
TJ-0156,CU-0156,2018-06-28,true,26545.73
TJ-0157,CU-0157,2018-06-06,true,22259.33
TJ-0158,CU-0158,2018-04-13,true,12374.69
TJ-0159,CU-0159,2020-08-12,true,14016.58
TJ-0160,CU-0160,2018-12-27,true,35767.22
TJ-0161,CU-0161,2022-04-09,true,43980.96
TJ-0162,CU-0162,2018-11-17,true,45626.89
TJ-0163,CU-0163,2020-06-12,true,7043.34
TJ-0164,CU-0164,2020-03-20,true,13172.47
TJ-0165,CU-0165,2020-04-02,true,15282.66
TJ-0166,CU-0166,2019-12-08,true,27170.49
TJ-0167,CU-0167,2021-01-05,true,33631.03
TJ-0168,CU-0168,2020-02-13,true,9717.62
TJ-0169,CU-0169,2022-05-02,true,13629.88
TJ-0170,CU-0170,2020-12-29,true,40909.69
TJ-0171,CU-0171,2023-09-23,true,5670.89
TJ-0172,CU-0172,2021-05-21,true,29668.85
TJ-0173,CU-0173,2021-01-24,true,21374.73
TJ-0174,CU-0174,2019-01-28,true,39742.49
TJ-0175,CU-0175,2019-10-10,true,32140.32
TJ-0176,CU-0176,2022-08-07,true,28027.23
TJ-0177,CU-0177,2021-09-04,true,48842.04
TJ-0178,CU-0178,2019-03-24,true,18720.51
TJ-0179,CU-0179,2023-03-26,true,15781.4
TJ-0180,CU-0180,2018-03-16,true,31874.63
TJ-0181,CU-0181,2020-10-30,true,28986.39
TJ-0182,CU-0182,2022-12-03,true,33037.39
TJ-0183,CU-0183,2018-04-30,true,21755.62
TJ-0184,CU-0184,2019-02-11,true,7819.42
TJ-0185,CU-0185,2022-12-06,true,42933.05
TJ-0186,CU-0186,2022-05-29,true,2501.82
TJ-0187,CU-0187,2023-12-15,true,36368.83
TJ-0188,CU-0188,2019-08-29,true,14011.58
TJ-0189,CU-0189,2022-11-29,true,4279.52
TJ-0190,CU-0190,2023-05-04,true,3519.8
TJ-0191,CU-0191,2022-08-06,true,24921.59
TJ-0192,CU-0192,2022-05-27,true,40975.84
TJ-0193,CU-0193,2018-05-15,true,49006.07
TJ-0194,CU-0194,2018-03-16,true,38988.04
TJ-0195,CU-0195,2018-03-19,true,9945.64
TJ-0196,CU-0196,2019-04-09,true,34291.65
TJ-0197,CU-0197,2023-01-21,true,31405.1
TJ-0198,CU-0198,2022-09-23,true,15868.08
TJ-0199,CU-0199,2022-12-28,true,1343.07
TJ-0200,CU-0200,2021-06-24,true,34789.86
TJ-0201,CU-0201,2022-08-05,true,33475.93
TJ-0202,CU-0202,2018-12-03,true,20772.06
TJ-0203,CU-0203,2022-06-20,true,4397.87
TJ-0204,CU-0204,2021-06-25,true,22384.59
TJ-0205,CU-0205,2019-07-05,true,17279.7
TJ-0206,CU-0206,2021-11-21,true,4148.24
TJ-0207,CU-0207,2022-03-03,true,4256.51
TJ-0208,CU-0208,2019-07-09,true,25593.16
TJ-0209,CU-0209,2018-05-01,true,9576.11
TJ-0210,CU-0210,2019-03-24,true,39550.25
TJ-0211,CU-0211,2021-01-30,true,9773.24
TJ-0212,CU-0212,2019-09-16,true,40837.86
TJ-0213,CU-0213,2021-04-12,true,25457.58
TJ-0214,CU-0214,2022-04-25,true,29716.71
TJ-0215,CU-0215,2023-11-06,true,17847.13
TJ-0216,CU-0216,2019-05-17,true,11312.56
TJ-0217,CU-0217,2023-12-01,true,4609.86
TJ-0218,CU-0218,2021-01-27,true,45076.4
TJ-0219,CU-0219,2018-03-31,true,32426.86
TJ-0220,CU-0220,2020-12-27,true,36956.9
TJ-0221,CU-0221,2020-08-08,true,45500.55
TJ-0222,CU-0222,2018-06-09,true,41114.51
TJ-0223,CU-0223,2019-07-04,true,46689.16
TJ-0224,CU-0224,2023-01-18,true,47775.46
TJ-0225,CU-0225,2019-07-16,true,30911.02
TJ-0226,CU-0226,2023-01-04,true,5988.09
TJ-0227,CU-0227,2019-05-25,true,6174.96
TJ-0228,CU-0228,2019-03-24,true,48554.66
TJ-0229,CU-0229,2018-06-16,true,48922.33
TJ-0230,CU-0230,2021-11-20,true,26580.11
TJ-0231,CU-0231,2023-08-24,true,15275.4
TJ-0232,CU-0232,2020-03-13,true,47865.55
TJ-0233,CU-0233,2019-11-21,true,19378.43
TJ-0234,CU-0234,2020-05-11,true,5449.84
TJ-0235,CU-0235,2020-06-26,true,49544.12
TJ-0236,CU-0236,2021-05-19,true,29671.59
TJ-0237,CU-0237,2022-10-03,true,2346.68
TJ-0238,CU-0238,2023-09-29,true,4378.88
TJ-0239,CU-0239,2023-09-24,true,8845.17
TJ-0240,CU-0240,2021-10-14,true,47261.41
TJ-0241,CU-0241,2019-06-09,true,6315.27
TJ-0242,CU-0242,2020-08-25,true,27661.28
TJ-0243,CU-0243,2021-11-04,true,9022.21
TJ-0244,CU-0244,2019-11-12,true,46283.73
TJ-0245,CU-0245,2020-06-12,true,6959.82
TJ-0246,CU-0246,2018-09-26,true,16243.94
TJ-0247,CU-0247,2020-01-29,true,42575.96
TJ-0248,CU-0248,2018-11-21,true,4886.41
TJ-0249,CU-0249,2021-06-27,true,24673.49
TJ-0250,CU-0250,2023-01-26,true,31865.63
TJ-0251,CU-0251,2018-02-04,true,13621.67
TJ-0252,CU-0252,2023-12-25,true,33457.18
TJ-0253,CU-0253,2020-07-21,true,4829.85
TJ-0254,CU-0254,2019-12-14,true,1847.76
TJ-0255,CU-0255,2018-05-26,true,16392.95
TJ-0256,CU-0256,2020-07-31,true,29544.72
TJ-0257,CU-0257,2021-06-23,true,12980.35
TJ-0258,CU-0258,2019-11-15,true,45323.22
TJ-0259,CU-0259,2021-02-08,true,17996.1
TJ-0260,CU-0260,2018-11-10,true,46535.71
TJ-0261,CU-0261,2020-05-06,true,27251.54
TJ-0262,CU-0262,2023-11-08,true,46116.61
TJ-0263,CU-0263,2021-01-12,true,10891.55
TJ-0264,CU-0264,2018-01-14,true,22472.05
TJ-0265,CU-0265,2018-11-25,true,13875.28
TJ-0266,CU-0266,2023-12-01,true,23106.87
TJ-0267,CU-0267,2021-02-25,true,9750.96
TJ-0268,CU-0268,2020-06-07,true,1221.64
TJ-0269,CU-0269,2018-01-26,true,29662.85
TJ-0270,CU-0270,2018-08-02,true,41824.03
TJ-0271,CU-0271,2019-02-20,true,27124.43
TJ-0272,CU-0272,2023-06-14,true,3980.83
TJ-0273,CU-0273,2022-09-10,true,32214.03
TJ-0274,CU-0274,2020-03-18,true,8240.8
TJ-0275,CU-0275,2019-08-29,true,40874.67
TJ-0276,CU-0276,2018-08-17,true,4901.66
TJ-0277,CU-0277,2022-03-26,true,9467.68
TJ-0278,CU-0278,2023-09-20,true,46617.52
TJ-0279,CU-0279,2018-12-26,true,39033.71
TJ-0280,CU-0280,2018-05-22,true,46919.91
TJ-0281,CU-0281,2023-03-17,true,12853.38
TJ-0282,CU-0282,2019-12-05,true,45860.96
TJ-0283,CU-0283,2019-03-05,true,40940.92
TJ-0284,CU-0284,2023-03-15,true,44268.74
TJ-0285,CU-0285,2018-05-12,true,23276.53
TJ-0286,CU-0286,2019-09-08,true,4634.69
TJ-0287,CU-0287,2018-03-17,true,22111.64
TJ-0288,CU-0288,2021-12-05,true,32507.77
TJ-0289,CU-0289,2021-10-01,true,21858.56
TJ-0290,CU-0290,2022-02-26,true,12433.62
TJ-0291,CU-0291,2018-04-05,true,3458.63
TJ-0292,CU-0292,2019-09-07,true,22336.95
TJ-0293,CU-0293,2023-07-13,true,5047.92
TJ-0294,CU-0294,2018-10-09,true,23275.4
TJ-0295,CU-0295,2023-02-17,true,22804.39
TJ-0296,CU-0296,2020-08-16,true,34085.26
TJ-0297,CU-0297,2021-09-17,true,13694.8
TJ-0298,CU-0298,2020-05-10,true,34275.91
TJ-0299,CU-0299,2022-10-19,true,5605.33
TJ-0300,CU-0300,2018-10-29,true,27453.87
TJ-0301,CU-0301,2023-10-20,true,6436.63
TJ-0302,CU-0302,2021-02-16,true,39071.9
TJ-0303,CU-0303,2019-12-07,true,32948.53
TJ-0304,CU-0304,2019-04-19,true,25845.26
TJ-0305,CU-0305,2020-01-09,true,28762.7
TJ-0306,CU-0306,2020-09-16,true,3525.77
TJ-0307,CU-0307,2018-04-13,true,44066.66
TJ-0308,CU-0308,2021-01-29,true,30706.59
TJ-0309,CU-0309,2019-10-05,true,45338.23
TJ-0310,CU-0310,2020-12-27,true,21222.21
TJ-0311,CU-0311,2023-04-02,true,20649.87
TJ-0312,CU-0312,2019-02-22,true,20975.81
TJ-0313,CU-0313,2022-08-11,true,39021.99
TJ-0314,CU-0314,2019-04-23,true,27238.93
TJ-0315,CU-0315,2023-03-13,true,2779.15
TJ-0316,CU-0316,2018-07-22,true,5583.43
TJ-0317,CU-0317,2018-03-25,true,42490.63
TJ-0318,CU-0318,2019-10-05,true,3933.92
TJ-0319,CU-0319,2023-05-01,true,12314.8
TJ-0320,CU-0320,2022-11-24,true,20680.91
TJ-0321,CU-0321,2022-01-10,true,33754.02
TJ-0322,CU-0322,2023-04-23,true,44673.22
TJ-0323,CU-0323,2021-10-08,true,49274.65
TJ-0324,CU-0324,2021-09-19,true,24644.11
TJ-0325,CU-0325,2018-06-25,true,10354.87
TJ-0326,CU-0326,2018-10-11,true,33004.36
TJ-0327,CU-0327,2022-09-10,true,40788.23
TJ-0328,CU-0328,2018-10-22,true,23734.07
TJ-0329,CU-0329,2023-07-27,true,48860.72
TJ-0330,CU-0330,2020-07-31,true,32784.97
TJ-0331,CU-0331,2019-09-01,true,40051.69
TJ-0332,CU-0332,2019-11-29,true,17882.16
TJ-0333,CU-0333,2018-04-27,true,20517.43
TJ-0334,CU-0334,2020-02-23,true,17869.72
TJ-0335,CU-0335,2020-06-16,true,6927.64
TJ-0336,CU-0336,2019-04-26,true,35194.51
TJ-0337,CU-0337,2018-11-01,true,33470.38
TJ-0338,CU-0338,2018-07-10,true,2486.36
TJ-0339,CU-0339,2019-03-20,true,9558.47
TJ-0340,CU-0340,2023-11-29,true,9905.15
TJ-0341,CU-0341,2021-01-24,true,26616.35
TJ-0342,CU-0342,2022-11-07,true,5604.35
TJ-0343,CU-0343,2018-12-08,true,5749.54
TJ-0344,CU-0344,2020-02-18,true,44254.2
TJ-0345,CU-0345,2023-10-31,true,2286.71
TJ-0346,CU-0346,2023-03-21,true,43520.98
TJ-0347,CU-0347,2018-12-17,true,3776.73
TJ-0348,CU-0348,2019-01-13,true,9138.07
TJ-0349,CU-0349,2020-11-05,true,36179.25
TJ-0350,CU-0350,2020-07-29,true,26057.82
TJ-0351,CU-0351,2022-01-14,true,30857.42
TJ-0352,CU-0352,2022-03-23,true,12062.93
TJ-0353,CU-0353,2021-05-24,true,16788.96
TJ-0354,CU-0354,2021-08-27,true,36562.61
TJ-0355,CU-0355,2022-05-21,true,27795.1
TJ-0356,CU-0356,2019-04-10,true,31374.12
TJ-0357,CU-0357,2022-04-23,true,9476.76
TJ-0358,CU-0358,2020-02-27,true,44686.88
TJ-0359,CU-0359,2018-07-13,true,1443.51
TJ-0360,CU-0360,2022-12-23,true,12420.68
TJ-0361,CU-0361,2020-03-16,true,23812.04
TJ-0362,CU-0362,2021-11-10,true,24441.67
TJ-0363,CU-0363,2018-05-27,true,26388.42
TJ-0364,CU-0364,2021-09-18,true,4123.28
TJ-0365,CU-0365,2018-02-20,true,47085.65
TJ-0366,CU-0366,2023-02-09,true,25256.11
TJ-0367,CU-0367,2020-07-16,true,11497.02
TJ-0368,CU-0368,2022-10-15,true,26795.16
TJ-0369,CU-0369,2022-08-09,true,4126.41
TJ-0370,CU-0370,2021-05-25,true,20429.71
TJ-0371,CU-0371,2021-12-26,true,48166.27
TJ-0372,CU-0372,2023-01-10,true,18176.4
TJ-0373,CU-0373,2020-06-28,true,4260.74
TJ-0374,CU-0374,2018-06-29,true,46748.77
TJ-0375,CU-0375,2022-08-08,true,43441.46
TJ-0376,CU-0376,2022-12-22,true,16181.03
TJ-0377,CU-0377,2020-01-19,true,24245.5
TJ-0378,CU-0378,2022-12-26,true,46808.5
TJ-0379,CU-0379,2021-01-24,true,26645.84
TJ-0380,CU-0380,2018-09-15,true,9620.45
TJ-0381,CU-0381,2022-03-08,true,18135.29
TJ-0382,CU-0382,2019-02-05,true,34285.64
TJ-0383,CU-0383,2021-11-14,true,10934.42
TJ-0384,CU-0384,2023-07-23,true,28807.08
TJ-0385,CU-0385,2021-02-02,true,23121.93
TJ-0386,CU-0386,2018-02-09,true,4219.77
TJ-0387,CU-0387,2021-09-29,true,28014.52
TJ-0388,CU-0388,2022-08-19,true,41128.16
TJ-0389,CU-0389,2022-09-05,true,26791.11
TJ-0390,CU-0390,2021-03-03,true,46353.83
TJ-0391,CU-0391,2019-12-05,true,22786.22
TJ-0392,CU-0392,2019-10-17,true,18674.2
TJ-0393,CU-0393,2021-09-17,true,42540.32
TJ-0394,CU-0394,2019-11-25,true,43726.12
TJ-0395,CU-0395,2020-02-15,true,42146.41
TJ-0396,CU-0396,2019-09-03,true,14444.72
TJ-0397,CU-0397,2019-07-21,true,10227.82
TJ-0398,CU-0398,2023-11-06,true,36995.97
TJ-0399,CU-0399,2018-10-27,true,7681.57
TJ-0400,CU-0400,2021-03-01,true,10533.57
TJ-0401,CU-0401,2022-12-08,true,6153.84
TJ-0402,CU-0402,2021-07-05,true,49158.14
TJ-0403,CU-0403,2019-03-15,true,3338.7
TJ-0404,CU-0404,2020-10-08,true,29007.61
TJ-0405,CU-0405,2019-04-21,true,16121.5
TJ-0406,CU-0406,2019-06-19,true,33965.9
TJ-0407,CU-0407,2018-08-18,true,4024.55
TJ-0408,CU-0408,2021-05-24,true,2982.96
TJ-0409,CU-0409,2022-12-15,true,41515.4
TJ-0410,CU-0410,2020-12-01,true,31569.79
TJ-0411,CU-0411,2019-02-04,true,28797.58
TJ-0412,CU-0412,2023-09-18,true,10928.56
TJ-0413,CU-0413,2021-04-26,true,28746.55
TJ-0414,CU-0414,2019-02-01,true,6479.1
TJ-0415,CU-0415,2022-10-14,true,44439.13
TJ-0416,CU-0416,2023-01-24,true,2511.5
TJ-0417,CU-0417,2019-12-27,true,44468.34
TJ-0418,CU-0418,2018-09-19,true,4590.02
TJ-0419,CU-0419,2022-08-24,true,29309.85
TJ-0420,CU-0420,2020-07-03,true,39939.33
TJ-0421,CU-0421,2023-02-16,true,32535.74
TJ-0422,CU-0422,2023-01-30,true,23700.46
TJ-0423,CU-0423,2019-08-09,true,30794.6
TJ-0424,CU-0424,2023-04-18,true,14374.41
TJ-0425,CU-0425,2022-05-14,true,22606.34
TJ-0426,CU-0426,2020-05-05,true,45780.67
TJ-0427,CU-0427,2023-03-07,true,8198.1
TJ-0428,CU-0428,2023-06-13,true,42317.41
TJ-0429,CU-0429,2019-12-21,true,4591.28
TJ-0430,CU-0430,2019-07-13,true,24704.27
TJ-0431,CU-0431,2018-04-25,true,35992.5
TJ-0432,CU-0432,2018-08-16,true,20814.43
TJ-0433,CU-0433,2023-10-03,true,32876.81
TJ-0434,CU-0434,2022-05-31,true,15238.82
TJ-0435,CU-0435,2023-12-23,true,25480.22
TJ-0436,CU-0436,2020-10-12,true,15751.01
TJ-0437,CU-0437,2022-12-16,true,46710.32
TJ-0438,CU-0438,2020-02-21,true,34119.81
TJ-0439,CU-0439,2022-02-05,true,26133.15
TJ-0440,CU-0440,2023-02-24,true,10451.47
TJ-0441,CU-0441,2018-12-24,true,5185.85
TJ-0442,CU-0442,2020-05-31,true,18924.53
TJ-0443,CU-0443,2020-01-09,true,16361.74
TJ-0444,CU-0444,2022-04-17,true,24019.48
TJ-0445,CU-0445,2021-08-02,true,20980.62
TJ-0446,CU-0446,2021-04-06,true,16302.46
TJ-0447,CU-0447,2020-07-08,true,6873.81
TJ-0448,CU-0448,2019-11-03,true,45540.83
TJ-0449,CU-0449,2019-03-29,true,43792.25
TJ-0450,CU-0450,2022-03-11,true,46676.64
TJ-0451,CU-0451,2018-11-15,true,10942.99
TJ-0452,CU-0452,2023-08-11,true,10096.62
TJ-0453,CU-0453,2020-08-22,true,48923.68
TJ-0454,CU-0454,2019-08-19,true,31512.85
TJ-0455,CU-0455,2018-05-21,true,35715.2
TJ-0456,CU-0456,2022-10-30,true,1187.43
TJ-0457,CU-0457,2023-10-21,true,48577.93
TJ-0458,CU-0458,2022-05-01,true,34460.44
TJ-0459,CU-0459,2022-12-16,true,48766.61
TJ-0460,CU-0460,2018-05-18,true,24039.28
TJ-0461,CU-0461,2021-03-24,true,40849.33
TJ-0462,CU-0462,2023-12-06,true,46557.18
TJ-0463,CU-0463,2018-07-07,true,38143.66
TJ-0464,CU-0464,2019-03-22,true,26174.04
TJ-0465,CU-0465,2023-06-03,true,6015.08
TJ-0466,CU-0466,2023-06-23,true,46501.17
TJ-0467,CU-0467,2018-04-01,true,27494.98
TJ-0468,CU-0468,2020-11-06,true,28290.55
TJ-0469,CU-0469,2021-07-29,true,46723.83
TJ-0470,CU-0470,2019-10-17,true,25021.34
TJ-0471,CU-0471,2019-03-11,true,4544.28
TJ-0472,CU-0472,2019-10-27,true,25176.68
TJ-0473,CU-0473,2018-02-27,true,23823.09
TJ-0474,CU-0474,2020-04-17,true,48464.33
TJ-0475,CU-0475,2022-10-10,true,5058.14
TJ-0476,CU-0476,2020-09-05,true,10179.77
TJ-0477,CU-0477,2021-05-29,true,3776.68
TJ-0478,CU-0478,2022-06-18,true,42220.56
TJ-0479,CU-0479,2019-10-29,true,42141.59
TJ-0480,CU-0480,2020-03-05,true,19976.66
TJ-0481,CU-0481,2023-09-06,true,49091.22
TJ-0482,CU-0482,2023-02-13,true,28586.81
TJ-0483,CU-0483,2018-11-22,true,40182.85
TJ-0484,CU-0484,2018-12-03,true,11394.48
TJ-0485,CU-0485,2023-04-29,true,12221.25
TJ-0486,CU-0486,2022-09-19,true,19989.43
TJ-0487,CU-0487,2022-07-17,true,23420.65
TJ-0488,CU-0488,2019-03-26,true,29340.98
TJ-0489,CU-0489,2022-11-03,true,39561.55
TJ-0490,CU-0490,2022-12-01,true,26689.51
TJ-0491,CU-0491,2022-04-09,true,9485.28
TJ-0492,CU-0492,2022-04-05,true,24993.7
TJ-0493,CU-0493,2021-01-14,true,4141.54
TJ-0494,CU-0494,2019-12-13,true,20942.79
TJ-0495,CU-0495,2022-01-29,true,29448.43
TJ-0496,CU-0496,2018-06-18,true,3662.2
TJ-0497,CU-0497,2020-05-31,true,46662.05
TJ-0498,CU-0498,2019-03-31,true,49930.47
TJ-0499,CU-0499,2019-07-20,true,23149.78
TJ-0500,CU-0500,2019-07-30,true,5174.59
TJ-0501,CU-0501,2021-12-22,true,7043.19
TJ-0502,CU-0502,2022-12-25,true,44590.61
TJ-0503,CU-0503,2018-03-19,true,30730.02
TJ-0504,CU-0504,2022-07-10,true,37975.16
TJ-0505,CU-0505,2023-02-22,true,11729.11
TJ-0506,CU-0506,2022-10-23,true,24267.86
TJ-0507,CU-0507,2020-11-01,true,48218.44
TJ-0508,CU-0508,2019-09-06,true,28153.39
TJ-0509,CU-0509,2020-11-26,true,8081.77
TJ-0510,CU-0510,2023-06-23,true,26460.01
TJ-0511,CU-0511,2019-01-13,true,41404.1
TJ-0512,CU-0512,2023-08-11,true,42362.91
TJ-0513,CU-0513,2018-02-08,true,16878.26
TJ-0514,CU-0514,2021-11-28,true,46319.73
TJ-0515,CU-0515,2019-04-08,true,7274.39
