clienteId,dispositivoId,primerUso,frecuencia,esPropio
CL-0038,DV-0031,2022-02-12,50,false
CL-0032,DV-0032,2023-08-03,15,true
CL-0039,DV-0032,2023-08-27,125,false
CL-0033,DV-0033,2022-09-10,143,true
CL-0040,DV-0033,2022-01-09,113,false
CL-0034,DV-0034,2023-09-24,151,true
CL-0041,DV-0034,2022-04-07,73,false
CL-0035,DV-0035,2023-09-12,62,true
CL-0042,DV-0035,2023-05-20,28,false
CL-0036,DV-0036,2023-09-07,24,true
CL-0043,DV-0036,2022-02-02,71,false
CL-0037,DV-0037,2023-01-14,29,true
CL-0044,DV-0037,2022-11-07,32,false
CL-0038,DV-0038,2022-09-19,98,true
CL-0045,DV-0038,2023-12-23,138,false
CL-0039,DV-0039,2023-05-29,31,true
CL-0046,DV-0039,2023-05-22,82,false
CL-0040,DV-0040,2023-02-24,17,true
CL-0047,DV-0040,2022-02-13,145,false
CL-0041,DV-0041,2022-12-24,143,true
CL-0048,DV-0041,2022-08-21,76,false
CL-0042,DV-0042,2023-07-07,186,true
CL-0049,DV-0042,2022-09-03,87,false
CL-0043,DV-0043,2023-09-03,17,true
CL-0050,DV-0043,2022-06-13,120,false
CL-0044,DV-0044,2022-12-10,59,true
CL-0051,DV-0044,2023-03-04,191,false
CL-0045,DV-0045,2022-07-09,78,true
CL-0052,DV-0045,2023-04-30,158,false
CL-0046,DV-0046,2023-09-25,191,true
CL-0053,DV-0046,2022-02-27,91,false
CL-0047,DV-0047,2022-07-07,196,true
CL-0054,DV-0047,2022-08-24,175,false
CL-0048,DV-0048,2022-07-17,188,true
CL-0055,DV-0048,2023-11-08,185,false
CL-0049,DV-0049,2022-11-12,122,true
CL-0056,DV-0049,2022-12-12,4,false
CL-0050,DV-0050,2023-08-15,18,true
CL-0057,DV-0050,2023-05-11,141,false
CL-0051,DV-0051,2022-07-17,92,true
CL-0058,DV-0051,2023-03-08,50,false
CL-0052,DV-0052,2023-10-25,97,true
CL-0059,DV-0052,2022-10-04,9,false
CL-0053,DV-0053,2023-10-08,162,true
CL-0060,DV-0053,2023-11-17,95,false
CL-0054,DV-0054,2023-06-25,85,true
CL-0061,DV-0054,2023-06-03,142,false
CL-0055,DV-0055,2022-03-16,26,true
CL-0062,DV-0055,2023-07-13,96,false
CL-0056,DV-0056,2022-12-25,116,true
CL-0063,DV-0056,2023-05-02,22,false
CL-0057,DV-0057,2023-04-28,6,true
CL-0064,DV-0057,2023-03-30,116,false
CL-0058,DV-0058,2023-01-05,121,true
CL-0065,DV-0058,2023-03-13,111,false
CL-0059,DV-0059,2022-05-15,119,true
CL-0066,DV-0059,2022-03-15,15,false
CL-0060,DV-0060,2023-12-28,100,true
CL-0067,DV-0060,2022-04-16,9,false
CL-0061,DV-0061,2022-10-19,45,true
CL-0068,DV-0061,2022-02-03,64,false
CL-0062,DV-0062,2022-01-22,122,true
CL-0069,DV-0062,2022-07-31,181,false
CL-0063,DV-0063,2022-12-24,60,true
CL-0070,DV-0063,2023-07-30,100,false
CL-0064,DV-0064,2023-06-26,37,true
CL-0071,DV-0064,2023-05-28,17,false
CL-0065,DV-0065,2022-11-26,160,true
CL-0072,DV-0065,2023-04-24,138,false
CL-0066,DV-0066,2022-01-22,3,true
CL-0073,DV-0066,2023-04-24,167,false
CL-0067,DV-0067,2023-07-29,99,true
CL-0074,DV-0067,2022-04-30,110,false
CL-0068,DV-0068,2023-09-12,1,true
CL-0075,DV-0068,2022-03-05,134,false
CL-0069,DV-0069,2022-11-22,63,true
CL-0076,DV-0069,2022-09-24,183,false
CL-0070,DV-0070,2023-04-23,84,true
CL-0077,DV-0070,2022-11-19,16,false
CL-0071,DV-0071,2023-03-26,77,true
CL-0078,DV-0071,2023-06-22,26,false
CL-0072,DV-0072,2022-09-22,77,true
CL-0079,DV-0072,2022-11-10,61,false
CL-0073,DV-0073,2023-08-28,68,true
CL-0080,DV-0073,2022-10-15,106,false
CL-0074,DV-0074,2023-09-09,44,true
CL-0081,DV-0074,2023-02-14,103,false
CL-0075,DV-0075,2022-06-28,107,true
CL-0082,DV-0075,2022-08-10,153,false
CL-0076,DV-0076,2022-12-19,25,true
CL-0083,DV-0076,2023-08-23,179,false
CL-0077,DV-0077,2023-06-19,28,true
CL-0084,DV-0077,2022-08-22,137,false
CL-0078,DV-0078,2022-08-27,49,true
CL-0085,DV-0078,2022-10-14,180,false
CL-0079,DV-0079,2023-09-23,166,true
CL-0086,DV-0079,2022-11-08,21,false
CL-0080,DV-0080,2022-11-23,87,true
CL-0087,DV-0080,2022-07-04,147,false
CL-0081,DV-0081,2023-09-25,41,true
CL-0088,DV-0081,2023-04-19,119,false
CL-0082,DV-0082,2023-04-28,174,true
CL-0089,DV-0082,2023-04-10,23,false
CL-0083,DV-0083,2022-07-14,95,true
CL-0090,DV-0083,2023-07-01,159,false
CL-0084,DV-0084,2023-09-12,166,true
CL-0091,DV-0084,2023-02-26,31,false
CL-0085,DV-0085,2023-02-06,6,true
CL-0092,DV-0085,2022-03-01,21,false
CL-0086,DV-0086,2022-07-29,27,true
CL-0093,DV-0086,2022-04-30,63,false
CL-0087,DV-0087,2023-11-21,161,true
CL-0094,DV-0087,2023-05-20,129,false
CL-0088,DV-0088,2023-04-01,18,true
CL-0095,DV-0088,2023-07-08,121,false
CL-0089,DV-0089,2023-11-06,156,true
CL-0096,DV-0089,2023-04-18,171,false
CL-0090,DV-0090,2023-12-27,135,true
CL-0097,DV-0090,2023-10-19,149,false
CL-0091,DV-0091,2022-06-19,147,true
CL-0098,DV-0091,2022-09-05,15,false
CL-0092,DV-0092,2023-08-12,15,true
CL-0099,DV-0092,2023-04-07,121,false
CL-0093,DV-0093,2022-05-25,82,true
CL-0100,DV-0093,2023-07-22,77,false
CL-0094,DV-0094,2022-02-19,14,true
CL-0101,DV-0094,2023-09-13,165,false
CL-0095,DV-0095,2022-01-06,107,true
CL-0102,DV-0095,2022-07-11,163,false
CL-0096,DV-0096,2022-12-06,7,true
CL-0103,DV-0096,2023-08-23,198,false
CL-0097,DV-0097,2022-10-06,105,true
CL-0104,DV-0097,2023-12-23,99,false
CL-0098,DV-0098,2023-11-14,102,true
CL-0105,DV-0098,2022-01-04,86,false
CL-0099,DV-0099,2022-01-02,107,true
CL-0106,DV-0099,2023-06-14,146,false
CL-0100,DV-0100,2022-01-27,47,true
CL-0107,DV-0100,2023-01-08,190,false
CL-0101,DV-0101,2023-01-14,188,true
CL-0108,DV-0101,2022-06-10,130,false
CL-0102,DV-0102,2023-06-18,197,true
CL-0109,DV-0102,2023-09-04,117,false
CL-0103,DV-0103,2022-07-22,118,true
CL-0110,DV-0103,2023-10-16,144,false
CL-0104,DV-0104,2022-09-27,7,true
CL-0111,DV-0104,2023-03-29,169,false
CL-0105,DV-0105,2022-01-12,68,true
CL-0112,DV-0105,2022-04-28,149,false
CL-0106,DV-0106,2022-01-28,45,true
CL-0113,DV-0106,2022-10-02,31,false
CL-0107,DV-0107,2023-02-25,174,true
CL-0114,DV-0107,2022-04-17,127,false
CL-0108,DV-0108,2023-04-04,35,true
CL-0115,DV-0108,2022-07-15,128,false
CL-0109,DV-0109,2023-08-07,163,true
CL-0116,DV-0109,2023-03-27,195,false
CL-0110,DV-0110,2022-08-23,9,true
CL-0117,DV-0110,2023-08-05,4,false
CL-0111,DV-0111,2022-12-03,58,true
CL-0118,DV-0111,2022-07-19,195,false
CL-0112,DV-0112,2022-02-27,30,true
CL-0119,DV-0112,2023-11-23,152,false
CL-0113,DV-0113,2022-06-14,85,true
CL-0120,DV-0113,2022-05-08,135,false
CL-0114,DV-0114,2023-03-14,73,true
CL-0121,DV-0114,2023-04-04,6,false
CL-0115,DV-0115,2022-09-22,136,true
CL-0122,DV-0115,2023-01-17,190,false
CL-0116,DV-0116,2022-11-22,12,true
CL-0123,DV-0116,2022-06-24,53,false
CL-0117,DV-0117,2022-03-26,64,true
CL-0124,DV-0117,2023-04-06,194,false
CL-0118,DV-0118,2022-10-28,182,true
CL-0125,DV-0118,2022-10-05,126,false
CL-0119,DV-0119,2022-05-04,89,true
CL-0126,DV-0119,2023-01-23,92,false
CL-0120,DV-0120,2022-02-23,56,true
CL-0127,DV-0120,2023-04-30,26,false
CL-0121,DV-0121,2022-11-28,189,true
CL-0128,DV-0121,2023-12-26,8,false
CL-0122,DV-0122,2022-01-11,124,true
CL-0129,DV-0122,2022-09-20,143,false
CL-0123,DV-0123,2023-06-12,57,true
CL-0130,DV-0123,2023-06-07,39,false
CL-0124,DV-0124,2023-03-23,138,true
CL-0131,DV-0124,2022-05-29,15,false
CL-0125,DV-0125,2022-03-25,37,true
CL-0132,DV-0125,2022-02-05,37,false
CL-0126,DV-0126,2022-04-21,82,true
CL-0133,DV-0126,2022-05-27,104,false
CL-0127,DV-0127,2022-06-27,13,true
CL-0134,DV-0127,2023-05-11,169,false
CL-0128,DV-0128,2023-11-27,200,true
CL-0135,DV-0128,2023-03-12,176,false
CL-0129,DV-0129,2023-04-29,147,true
CL-0136,DV-0129,2023-01-09,183,false
CL-0130,DV-0130,2023-05-20,81,true
CL-0137,DV-0130,2023-11-27,119,false
CL-0131,DV-0131,2022-04-17,187,true
CL-0138,DV-0131,2023-06-02,111,false
CL-0132,DV-0132,2023-09-07,115,true
CL-0139,DV-0132,2022-05-25,95,false
CL-0133,DV-0133,2022-01-17,7,true
CL-0140,DV-0133,2023-03-23,153,false
CL-0134,DV-0134,2023-04-23,63,true
CL-0141,DV-0134,2023-03-10,88,false
CL-0135,DV-0135,2023-06-12,115,true
CL-0142,DV-0135,2023-10-21,182,false
CL-0136,DV-0136,2023-08-20,67,true
CL-0143,DV-0136,2023-08-27,179,false
CL-0137,DV-0137,2022-06-01,169,true
CL-0144,DV-0137,2022-08-04,31,false
CL-0138,DV-0138,2023-10-10,89,true
CL-0145,DV-0138,2022-04-21,29,false
CL-0139,DV-0139,2022-01-09,163,true
CL-0146,DV-0139,2023-07-26,21,false
CL-0140,DV-0140,2023-05-21,132,true
CL-0147,DV-0140,2022-07-22,21,false
CL-0141,DV-0141,2022-08-22,85,true
CL-0148,DV-0141,2023-04-15,19,false
CL-0142,DV-0142,2023-09-26,16,true
CL-0149,DV-0142,2023-08-29,177,false
CL-0143,DV-0143,2022-07-21,178,true
CL-0150,DV-0143,2023-02-24,109,false
CL-0144,DV-0144,2022-04-24,124,true
CL-0151,DV-0144,2023-02-24,93,false
CL-0145,DV-0145,2023-06-04,130,true
CL-0152,DV-0145,2022-03-29,135,false
CL-0146,DV-0146,2023-06-07,62,true
CL-0153,DV-0146,2023-04-22,97,false
CL-0147,DV-0147,2022-01-23,108,true
CL-0154,DV-0147,2022-03-11,167,false
CL-0148,DV-0148,2023-12-21,116,true
CL-0155,DV-0148,2022-03-21,34,false
CL-0149,DV-0149,2022-12-30,88,true
CL-0156,DV-0149,2023-12-07,15,false
CL-0150,DV-0150,2023-04-07,89,true
CL-0157,DV-0150,2023-07-08,68,false
CL-0151,DV-0151,2023-08-11,51,true
CL-0158,DV-0151,2023-09-17,30,false
CL-0152,DV-0152,2023-11-18,123,true
CL-0159,DV-0152,2023-07-03,41,false
CL-0153,DV-0153,2023-03-06,69,true
CL-0160,DV-0153,2022-03-01,141,false
CL-0154,DV-0154,2022-07-21,70,true
CL-0161,DV-0154,2023-11-09,70,false
CL-0155,DV-0155,2022-11-11,54,true
CL-0162,DV-0155,2022-10-09,16,false
CL-0156,DV-0156,2022-07-07,133,true
CL-0163,DV-0156,2023-06-19,86,false
CL-0157,DV-0157,2023-12-06,81,true
CL-0164,DV-0157,2023-08-31,153,false
CL-0158,DV-0158,2022-03-28,15,true
CL-0165,DV-0158,2023-06-08,117,false
CL-0159,DV-0159,2023-04-09,28,true
CL-0166,DV-0159,2023-05-16,81,false
CL-0160,DV-0160,2023-03-24,97,true
CL-0167,DV-0160,2023-11-30,64,false
CL-0161,DV-0161,2022-11-17,126,true
CL-0168,DV-0161,2023-08-19,1,false
CL-0162,DV-0162,2022-07-19,190,true
CL-0169,DV-0162,2023-06-04,18,false
CL-0163,DV-0163,2023-07-06,109,true
CL-0170,DV-0163,2023-06-17,52,false
CL-0164,DV-0164,2022-06-15,16,true
CL-0171,DV-0164,2022-01-10,120,false
CL-0165,DV-0165,2022-07-28,142,true
CL-0172,DV-0165,2023-12-03,101,false
CL-0166,DV-0166,2022-12-03,75,true
CL-0173,DV-0166,2022-08-27,114,false
CL-0167,DV-0167,2022-01-04,28,true
CL-0174,DV-0167,2022-05-06,34,false
CL-0168,DV-0168,2023-02-08,153,true
CL-0175,DV-0168,2023-08-23,46,false
CL-0169,DV-0169,2023-06-22,156,true
CL-0176,DV-0169,2023-04-16,166,false
CL-0170,DV-0170,2022-05-20,35,true
CL-0177,DV-0170,2022-09-26,147,false
CL-0171,DV-0171,2023-04-01,105,true
CL-0178,DV-0171,2022-04-03,157,false
CL-0172,DV-0172,2023-11-27,57,true
CL-0179,DV-0172,2022-11-14,137,false
CL-0173,DV-0173,2023-05-22,122,true
CL-0180,DV-0173,2023-10-22,175,false
CL-0174,DV-0174,2023-01-26,12,true
CL-0181,DV-0174,2022-04-09,57,false
CL-0175,DV-0175,2022-04-15,6,true
CL-0182,DV-0175,2024-01-01,160,false
CL-0176,DV-0176,2023-07-01,110,true
CL-0183,DV-0176,2022-05-15,67,false
CL-0177,DV-0177,2023-01-08,51,true
CL-0184,DV-0177,2022-03-23,32,false
CL-0178,DV-0178,2022-11-18,194,true
CL-0185,DV-0178,2023-05-20,28,false
CL-0179,DV-0179,2023-07-13,36,true
CL-0186,DV-0179,2023-02-04,86,false
CL-0180,DV-0180,2022-05-18,47,true
CL-0187,DV-0180,2023-04-12,30,false
CL-0181,DV-0181,2023-12-10,3,true
CL-0188,DV-0181,2023-02-17,136,false
CL-0182,DV-0182,2022-09-24,105,true
CL-0189,DV-0182,2023-03-10,112,false
CL-0183,DV-0183,2023-01-01,107,true
CL-0190,DV-0183,2023-01-10,139,false
CL-0184,DV-0184,2022-09-14,9,true
CL-0191,DV-0184,2022-10-18,48,false
CL-0185,DV-0185,2023-10-14,183,true
CL-0192,DV-0185,2023-08-17,22,false
CL-0186,DV-0186,2023-10-23,16,true
CL-0193,DV-0186,2022-08-09,114,false
CL-0187,DV-0187,2022-10-01,150,true
CL-0194,DV-0187,2023-04-08,50,false
CL-0188,DV-0188,2023-03-11,77,true
CL-0195,DV-0188,2023-01-07,107,false
CL-0189,DV-0189,2023-05-23,19,true
CL-0196,DV-0189,2022-06-13,21,false
CL-0190,DV-0190,2023-12-21,42,true
CL-0197,DV-0190,2022-11-03,156,false
CL-0191,DV-0191,2023-07-20,187,true
CL-0198,DV-0191,2023-04-02,111,false
CL-0192,DV-0192,2023-10-18,78,true
CL-0199,DV-0192,2022-03-18,83,false
CL-0193,DV-0193,2022-12-27,122,true
CL-0200,DV-0193,2023-11-17,35,false
CL-0194,DV-0194,2022-05-05,174,true
CL-0201,DV-0194,2022-09-11,17,false
CL-0195,DV-0195,2023-12-14,160,true
CL-0202,DV-0195,2022-03-27,64,false
CL-0196,DV-0196,2023-08-20,97,true
CL-0203,DV-0196,2023-06-23,62,false
CL-0197,DV-0197,2023-08-29,180,true
CL-0204,DV-0197,2022-02-18,44,false
CL-0198,DV-0198,2023-05-29,41,true
CL-0205,DV-0198,2023-08-14,116,false
CL-0199,DV-0199,2023-03-20,125,true
CL-0206,DV-0199,2022-06-30,46,false
CL-0200,DV-0200,2022-01-17,127,true
CL-0207,DV-0200,2022-03-28,198,false
CL-0201,DV-0201,2023-10-21,20,true
CL-0208,DV-0201,2022-08-09,94,false
CL-0202,DV-0202,2022-01-29,165,true
CL-0209,DV-0202,2023-12-30,59,false
CL-0203,DV-0203,2022-07-13,105,true
CL-0210,DV-0203,2023-02-27,133,false
CL-0204,DV-0204,2023-08-28,74,true
CL-0211,DV-0204,2023-09-15,74,false
CL-0205,DV-0205,2023-09-12,37,true
CL-0212,DV-0205,2023-05-22,144,false
CL-0206,DV-0206,2022-07-30,110,true
CL-0213,DV-0206,2023-05-03,124,false
CL-0207,DV-0207,2022-10-13,76,true
CL-0214,DV-0207,2023-05-18,49,false
CL-0208,DV-0208,2022-06-23,75,true
CL-0215,DV-0208,2022-12-06,116,false
CL-0209,DV-0209,2022-04-28,147,true
CL-0216,DV-0209,2022-12-05,94,false
CL-0210,DV-0210,2022-10-05,145,true
CL-0217,DV-0210,2023-03-22,139,false
CL-0211,DV-0211,2022-09-17,122,true
CL-0218,DV-0211,2022-06-11,117,false
CL-0212,DV-0212,2023-12-05,103,true
CL-0219,DV-0212,2022-02-13,67,false
CL-0213,DV-0213,2022-03-12,188,true
CL-0220,DV-0213,2022-06-28,140,false
CL-0214,DV-0214,2022-04-05,123,true
CL-0221,DV-0214,2023-05-27,29,false
CL-0215,DV-0215,2023-05-13,24,true
CL-0222,DV-0215,2023-01-30,150,false
CL-0216,DV-0216,2023-08-28,74,true
CL-0223,DV-0216,2022-10-06,80,false
CL-0217,DV-0217,2022-07-09,166,true
CL-0224,DV-0217,2023-07-29,49,false
CL-0218,DV-0218,2023-08-20,97,true
CL-0225,DV-0218,2022-08-07,45,false
CL-0219,DV-0219,2022-10-06,127,true
CL-0226,DV-0219,2022-02-11,3,false
CL-0220,DV-0220,2022-11-14,43,true
CL-0227,DV-0220,2023-08-22,175,false
CL-0221,DV-0221,2023-11-05,96,true
CL-0228,DV-0221,2022-11-26,186,false
CL-0222,DV-0222,2023-12-29,70,true
CL-0229,DV-0222,2023-04-26,30,false
CL-0223,DV-0223,2022-06-19,13,true
CL-0230,DV-0223,2022-02-07,113,false
CL-0224,DV-0224,2022-08-26,23,true
CL-0231,DV-0224,2023-01-28,143,false
CL-0225,DV-0225,2022-02-13,138,true
CL-0232,DV-0225,2022-02-14,98,false
CL-0226,DV-0226,2023-07-29,47,true
CL-0233,DV-0226,2022-10-04,37,false
CL-0227,DV-0227,2022-09-09,159,true
CL-0234,DV-0227,2023-10-12,154,false
CL-0228,DV-0228,2023-05-01,164,true
CL-0235,DV-0228,2023-03-25,101,false
CL-0229,DV-0229,2023-12-12,124,true
CL-0236,DV-0229,2022-11-24,51,false
CL-0230,DV-0230,2022-05-11,160,true
CL-0237,DV-0230,2023-08-05,146,false
CL-0231,DV-0231,2023-07-04,57,true
CL-0238,DV-0231,2023-08-15,26,false
CL-0232,DV-0232,2023-07-19,123,true
CL-0239,DV-0232,2023-12-20,88,false
CL-0233,DV-0233,2023-09-14,147,true
CL-0240,DV-0233,2022-02-22,93,false
CL-0234,DV-0234,2023-05-30,136,true
CL-0241,DV-0234,2022-11-04,30,false
CL-0235,DV-0235,2023-08-21,195,true
CL-0242,DV-0235,2023-10-26,194,false
CL-0236,DV-0236,2022-11-14,132,true
CL-0243,DV-0236,2022-07-07,71,false
CL-0237,DV-0237,2023-03-04,76,true
CL-0244,DV-0237,2023-12-01,198,false
CL-0238,DV-0238,2022-04-29,18,true
CL-0245,DV-0238,2023-06-26,134,false
CL-0239,DV-0239,2022-01-05,60,true
CL-0246,DV-0239,2022-10-04,103,false
CL-0240,DV-0240,2023-04-08,12,true
CL-0247,DV-0240,2023-12-21,5,false
CL-0241,DV-0241,2023-03-09,28,true
CL-0248,DV-0241,2023-03-09,155,false
CL-0242,DV-0242,2022-08-08,139,true
CL-0249,DV-0242,2022-09-29,126,false
CL-0243,DV-0243,2022-09-02,131,true
CL-0250,DV-0243,2022-03-16,8,false
CL-0244,DV-0244,2023-12-09,102,true
CL-0251,DV-0244,2022-09-09,128,false
CL-0245,DV-0245,2022-01-05,176,true
CL-0252,DV-0245,2023-03-26,44,false
CL-0246,DV-0246,2022-03-14,144,true
CL-0253,DV-0246,2023-01-17,10,false
CL-0247,DV-0247,2023-07-29,33,true
CL-0254,DV-0247,2022-05-21,101,false
CL-0248,DV-0248,2022-03-08,103,true
CL-0255,DV-0248,2022-09-12,79,false
CL-0249,DV-0249,2022-02-17,88,true
CL-0256,DV-0249,2022-10-16,100,false
CL-0250,DV-0250,2022-10-20,157,true
CL-0257,DV-0250,2023-06-04,84,false
CL-0251,DV-0251,2023-09-22,6,true
CL-0258,DV-0251,2022-04-25,122,false
CL-0252,DV-0252,2022-12-22,44,true
CL-0259,DV-0252,2022-11-13,16,false
CL-0253,DV-0253,2023-12-17,3,true
CL-0260,DV-0253,2022-03-15,117,false
CL-0254,DV-0254,2023-01-10,93,true
CL-0261,DV-0254,2022-01-26,75,false
CL-0255,DV-0255,2023-08-30,171,true
CL-0262,DV-0255,2022-09-01,84,false
CL-0256,DV-0256,2023-04-06,141,true
CL-0263,DV-0256,2022-04-28,74,false
CL-0257,DV-0257,2022-04-06,39,true
CL-0264,DV-0257,2023-04-29,125,false
CL-0258,DV-0258,2022-01-25,20,true
CL-0265,DV-0258,2023-01-05,62,false
CL-0259,DV-0259,2022-07-18,134,true
CL-0266,DV-0259,2023-05-22,153,false
CL-0260,DV-0260,2022-05-19,170,true
CL-0267,DV-0260,2023-07-06,62,false
CL-0261,DV-0261,2023-08-24,44,true
CL-0268,DV-0261,2023-09-01,32,false
CL-0262,DV-0262,2022-06-07,62,true
CL-0269,DV-0262,2023-05-30,173,false
CL-0263,DV-0263,2022-05-07,188,true
CL-0270,DV-0263,2022-03-24,168,false
CL-0264,DV-0264,2023-07-21,126,true
CL-0271,DV-0264,2022-10-12,168,false
CL-0265,DV-0265,2022-02-16,15,true
CL-0272,DV-0265,2023-05-23,65,false
CL-0266,DV-0266,2022-08-17,193,true
CL-0273,DV-0266,2022-05-27,99,false
CL-0267,DV-0267,2022-06-18,138,true
CL-0274,DV-0267,2023-10-08,65,false
CL-0268,DV-0268,2022-08-06,43,true
CL-0275,DV-0268,2022-08-18,170,false
CL-0269,DV-0269,2023-05-14,99,true
CL-0276,DV-0269,2022-02-12,187,false
CL-0270,DV-0270,2023-10-09,55,true
CL-0277,DV-0270,2022-11-24,97,false
CL-0271,DV-0271,2023-05-01,36,true
CL-0278,DV-0271,2023-08-31,72,false
CL-0272,DV-0272,2022-10-08,38,true
CL-0279,DV-0272,2022-10-20,124,false
CL-0273,DV-0273,2022-06-26,36,true
CL-0280,DV-0273,2022-06-11,109,false
CL-0274,DV-0274,2022-10-21,123,true
CL-0281,DV-0274,2022-06-02,129,false
CL-0275,DV-0275,2022-09-11,165,true
CL-0282,DV-0275,2022-09-08,57,false
CL-0276,DV-0276,2022-11-09,192,true
CL-0283,DV-0276,2022-08-30,41,false
CL-0277,DV-0277,2023-10-10,97,true
CL-0284,DV-0277,2022-02-15,198,false
CL-0278,DV-0278,2023-12-04,173,true
CL-0285,DV-0278,2022-08-11,47,false
CL-0279,DV-0279,2022-05-20,39,true
CL-0286,DV-0279,2023-11-06,115,false
CL-0280,DV-0280,2022-12-05,97,true
CL-0287,DV-0280,2022-04-13,128,false
CL-0281,DV-0281,2023-10-29,91,true
CL-0288,DV-0281,2023-06-25,55,false
CL-0282,DV-0282,2022-11-09,175,true
CL-0289,DV-0282,2022-10-06,172,false
CL-0283,DV-0283,2022-03-15,117,true
CL-0290,DV-0283,2022-08-13,7,false
CL-0284,DV-0284,2023-10-01,130,true
CL-0291,DV-0284,2023-12-14,22,false
CL-0285,DV-0285,2023-06-12,193,true
CL-0292,DV-0285,2022-03-27,184,false
CL-0286,DV-0286,2023-08-12,182,true
CL-0293,DV-0286,2022-05-27,74,false
CL-0287,DV-0287,2023-11-07,37,true
CL-0294,DV-0287,2022-10-14,29,false
CL-0288,DV-0288,2022-06-24,154,true
CL-0295,DV-0288,2023-03-24,58,false
CL-0289,DV-0289,2022-12-31,155,true
CL-0296,DV-0289,2023-05-20,95,false
CL-0290,DV-0290,2022-06-14,36,true
CL-0297,DV-0290,2023-06-10,179,false
CL-0291,DV-0291,2023-06-05,59,true
CL-0298,DV-0291,2022-06-02,8,false
CL-0292,DV-0292,2023-09-27,57,true
CL-0299,DV-0292,2023-08-26,126,false
CL-0293,DV-0293,2022-09-26,159,true
CL-0300,DV-0293,2023-07-15,10,false
CL-0294,DV-0294,2022-01-28,156,true
CL-0301,DV-0294,2022-06-30,157,false
CL-0295,DV-0295,2022-08-25,105,true
CL-0302,DV-0295,2023-03-30,113,false
CL-0296,DV-0296,2023-07-01,95,true
CL-0303,DV-0296,2022-03-26,71,false
CL-0297,DV-0297,2022-12-24,88,true
CL-0304,DV-0297,2022-10-04,198,false
CL-0298,DV-0298,2023-09-01,80,true
CL-0305,DV-0298,2022-10-18,70,false
CL-0299,DV-0299,2022-11-10,37,true
CL-0306,DV-0299,2023-09-07,166,false
CL-0300,DV-0300,2023-04-20,57,true
CL-0307,DV-0300,2023-05-16,38,false
CL-0301,DV-0301,2023-03-15,144,true
CL-0308,DV-0301,2022-07-12,42,false
CL-0302,DV-0302,2022-08-25,53,true
CL-0309,DV-0302,2022-09-17,137,false
CL-0303,DV-0303,2022-08-07,52,true
CL-0310,DV-0303,2023-05-12,173,false
