transaccionId,monto,fecha,descripcion,estado,esSospechosa,canal,moneda,categoriaGasto,horaLocal
TX-00077,34178.7,2023-08-23,Explicabo at.,aprobada,false,online,USD,viajes,4
TX-00078,34528.19,2023-06-04,Maiores odit adipisci corrupti.,aprobada,false,transferencia,GTQ,salud,16
TX-00079,34339.75,2024-03-15,Ab deleniti laborum.,rechazada,false,transferencia,USD,transferencia,0
TX-00080,33069.2,2024-07-29,Dolores consequuntur inventore nihil.,aprobada,false,app_movil,GTQ,transporte,4
TX-00081,46506.58,2024-05-29,Dicta beatae aspernatur.,aprobada,false,POS,USD,servicios,20
TX-00082,40478.87,2023-08-03,Voluptatum commodi eveniet.,aprobada,false,transferencia,GTQ,viajes,0
TX-00083,32550.07,2024-09-23,Error quia dignissimos.,aprobada,false,ATM,GTQ,entretenimiento,12
TX-00084,20713.15,2023-12-01,Deleniti porro fugiat fuga.,aprobada,false,ATM,GTQ,educacion,5
TX-00085,48859.12,2024-05-18,Ad laudantium.,aprobada,false,ATM,GTQ,entretenimiento,6
TX-00086,49394.58,2023-02-01,Commodi nobis reprehenderit.,aprobada,false,transferencia,USD,servicios,8
TX-00087,34427.87,2024-11-13,Eveniet ab.,aprobada,false,online,USD,salud,20
TX-00088,17154.07,2024-12-06,Quasi distinctio officiis laudantium nemo.,aprobada,false,online,GTQ,ropa,23
TX-00089,31571.66,2023-02-18,Pariatur corporis quae suscipit veniam.,aprobada,false,POS,USD,salud,18
TX-00090,22744.19,2023-03-05,Nam voluptate.,aprobada,false,app_movil,GTQ,transporte,16
TX-00091,7596.62,2024-09-29,Accusantium corrupti voluptates rerum iste.,aprobada,false,app_movil,GTQ,retiro_efectivo,10
TX-00092,8007.08,2024-09-05,Expedita eum dolore consectetur necessitatibus.,aprobada,false,transferencia,USD,salud,11
TX-00093,45347.67,2023-03-17,Vero corporis.,aprobada,false,ATM,GTQ,educacion,0
TX-00094,20688.66,2024-08-11,Occaecati exercitationem velit eum cupiditate.,aprobada,false,app_movil,GTQ,viajes,15
TX-00095,22028.77,2023-12-21,Fugiat consequuntur vero distinctio.,aprobada,false,app_movil,GTQ,entretenimiento,11
TX-00096,41985.66,2024-11-02,Sunt dolor veniam.,revertida,false,app_movil,GTQ,educacion,3
TX-00097,40732.1,2023-05-15,Nostrum ad vero aperiam.,aprobada,false,transferencia,GTQ,retiro_efectivo,21
TX-00098,9493.7,2023-09-20,Temporibus quam voluptas.,rechazada,false,transferencia,USD,ropa,9
TX-00099,3850.44,2023-09-01,Possimus eaque.,aprobada,false,app_movil,USD,retiro_efectivo,12
TX-00100,17003.42,2023-02-04,Sapiente esse consequatur voluptatem assumenda.,rechazada,false,online,USD,transferencia,20
TX-00101,17340.47,2024-02-14,Eum molestias corrupti magni.,rechazada,false,online,USD,retiro_efectivo,19
TX-00102,34851.33,2024-01-09,Inventore explicabo.,aprobada,false,ATM,USD,transferencia,18
TX-00103,46184.89,2024-08-16,Ipsam ex.,rechazada,false,app_movil,USD,transporte,0
TX-00104,20759.27,2023-04-19,Dignissimos incidunt reiciendis possimus.,aprobada,false,app_movil,GTQ,ropa,0
TX-00105,35276.61,2024-05-19,Ex soluta exercitationem.,aprobada,false,app_movil,GTQ,servicios,1
TX-00106,45120.04,2023-08-17,Optio modi vitae.,aprobada,false,ATM,USD,salud,0
TX-00107,47175.71,2023-06-11,Aspernatur odit hic.,aprobada,false,transferencia,GTQ,transferencia,3
TX-00108,21436.23,2023-08-14,Harum alias ipsa.,aprobada,false,app_movil,GTQ,alimentacion,15
TX-00109,14768.95,2023-09-14,Odit unde architecto molestiae maiores.,aprobada,false,app_movil,GTQ,viajes,7
TX-00110,23005.43,2023-04-14,Illo ipsum facilis quo.,aprobada,false,app_movil,GTQ,alimentacion,0
TX-00111,40278.39,2023-07-18,Adipisci aliquid minima.,aprobada,false,online,GTQ,servicios,15
TX-00112,19560.76,2024-04-06,Sit iusto ipsam numquam vel.,aprobada,false,online,GTQ,salud,8
TX-00113,29853.65,2024-08-27,Eius ipsa.,aprobada,false,online,USD,ropa,23
TX-00114,32693.58,2024-05-22,Minima doloremque labore error.,aprobada,false,app_movil,USD,salud,17
TX-00115,25879.03,2024-05-29,Perferendis voluptate laborum.,aprobada,false,POS,GTQ,transporte,11
TX-00116,10625.14,2023-04-07,Excepturi quam nulla aut.,aprobada,false,ATM,GTQ,transferencia,10
TX-00117,6397.72,2023-10-06,Tempore atque expedita harum.,rechazada,false,app_movil,USD,retiro_efectivo,13
TX-00118,16395.68,2023-02-22,Voluptate voluptas voluptatibus.,pendiente,false,POS,GTQ,transporte,18
TX-00119,41600.82,2024-09-14,Quisquam rem nesciunt.,rechazada,false,app_movil,USD,alimentacion,3
TX-00120,33579.42,2023-02-05,Aliquam alias reprehenderit numquam aliquam.,aprobada,false,POS,GTQ,retiro_efectivo,18
TX-00121,19630.49,2024-12-27,Unde ex ipsa atque et.,aprobada,false,online,GTQ,educacion,8
TX-00122,42229.02,2024-08-09,Quibusdam sint.,aprobada,false,online,GTQ,transferencia,7
TX-00123,30223.08,2023-04-18,Officia error ab.,aprobada,false,POS,GTQ,transferencia,17
TX-00124,24895.56,2024-06-20,Voluptas molestias quasi.,aprobada,false,transferencia,GTQ,transporte,12
TX-00125,14696.71,2024-11-07,Ab recusandae necessitatibus voluptatum.,aprobada,false,POS,GTQ,educacion,11
TX-00126,31516.63,2023-04-17,Vero fugit nam ipsum.,aprobada,false,ATM,GTQ,transferencia,11
TX-00127,30062.17,2023-01-15,Itaque expedita quidem.,aprobada,false,ATM,GTQ,entretenimiento,11
TX-00128,41286.32,2023-11-18,Rerum dicta quisquam odio itaque.,aprobada,false,online,GTQ,transferencia,2
TX-00129,36437.61,2023-08-22,Est eligendi minus.,aprobada,false,transferencia,USD,entretenimiento,1
TX-00130,22388.44,2024-03-04,Soluta non sunt sint.,aprobada,false,transferencia,USD,viajes,22
TX-00131,19368.25,2023-06-19,Illum odio ut.,rechazada,false,POS,USD,retiro_efectivo,20
TX-00132,44713.24,2023-11-14,Architecto impedit voluptatibus.,aprobada,false,online,GTQ,salud,2
TX-00133,10901.2,2024-04-17,Ea molestiae cumque aliquam aspernatur.,aprobada,false,app_movil,GTQ,salud,17
TX-00134,9835.68,2023-09-02,Quaerat praesentium explicabo iure.,aprobada,false,POS,GTQ,transferencia,16
TX-00135,40949.05,2024-12-23,Earum rem nisi.,aprobada,false,transferencia,GTQ,viajes,21
TX-00136,8350.54,2023-01-05,Molestias nihil.,rechazada,false,ATM,GTQ,ropa,16
TX-00137,27551.06,2023-05-01,Asperiores pariatur repellendus.,pendiente,false,transferencia,GTQ,transporte,2
TX-00138,20753.92,2023-12-16,Vero perspiciatis.,aprobada,false,app_movil,GTQ,servicios,16
TX-00139,3583.08,2023-05-20,Adipisci cumque explicabo ex.,aprobada,false,app_movil,USD,retiro_efectivo,15
TX-00140,43729.85,2023-03-02,Quam perspiciatis.,aprobada,false,ATM,USD,retiro_efectivo,1
TX-00141,40193.32,2023-10-04,Tempora perspiciatis necessitatibus.,revertida,false,app_movil,GTQ,retiro_efectivo,10
TX-00142,33981.98,2023-01-14,Dolorem ipsam at.,aprobada,false,ATM,GTQ,alimentacion,7
TX-00143,24113.9,2024-08-31,Eum reprehenderit nisi veritatis.,aprobada,false,app_movil,USD,entretenimiento,16
TX-00144,33122.89,2023-06-29,Error consequatur cum.,aprobada,false,transferencia,GTQ,ropa,15
TX-00145,9475.25,2024-02-19,Provident sequi.,rechazada,false,app_movil,GTQ,viajes,2
TX-00146,18180.78,2024-12-12,Corporis voluptate minima.,aprobada,false,online,USD,ropa,22
TX-00147,17778.65,2023-11-04,Aut eos minima.,aprobada,false,online,USD,educacion,5
TX-00148,7319.37,2023-11-27,Mollitia expedita.,aprobada,false,transferencia,GTQ,viajes,17
TX-00149,48357.39,2024-12-25,Deserunt ab doloremque dicta.,aprobada,false,transferencia,GTQ,retiro_efectivo,18
TX-00150,40948.54,2023-11-19,Debitis iste sed itaque.,aprobada,false,POS,USD,servicios,3
TX-00151,43231.41,2023-03-18,Modi atque voluptatem.,pendiente,false,ATM,GTQ,viajes,17
TX-00152,49659.41,2024-10-26,Itaque voluptate.,aprobada,false,app_movil,GTQ,viajes,15
TX-00153,48528.05,2024-07-11,Exercitationem quisquam.,rechazada,false,transferencia,GTQ,salud,0
TX-00154,12966.25,2023-11-28,Explicabo rerum consequuntur.,revertida,false,transferencia,USD,entretenimiento,7
TX-00155,47654.02,2023-02-22,Magnam repellendus omnis sed iure.,rechazada,false,online,GTQ,educacion,16
TX-00156,10145.5,2023-09-04,Quisquam assumenda suscipit possimus ipsa.,aprobada,false,online,USD,retiro_efectivo,12
TX-00157,31187.16,2024-01-04,Dicta a.,aprobada,false,ATM,GTQ,ropa,9
TX-00158,15846.45,2023-12-12,Ut eum.,aprobada,false,online,USD,retiro_efectivo,2
TX-00159,9627.0,2024-07-10,Ullam minus consequatur sed.,pendiente,false,ATM,GTQ,salud,12
TX-00160,36951.89,2023-05-29,Nam ipsum.,rechazada,false,online,GTQ,viajes,21
TX-00161,33589.22,2023-06-14,Eos exercitationem.,aprobada,false,transferencia,USD,retiro_efectivo,23
TX-00162,46776.89,2023-09-14,Rem fugiat velit.,pendiente,false,app_movil,GTQ,entretenimiento,18
TX-00163,23474.95,2023-08-03,Aliquid ipsa voluptatem.,revertida,false,ATM,GTQ,ropa,20
TX-00164,28017.72,2024-03-30,Ut praesentium.,aprobada,false,online,USD,entretenimiento,15
TX-00165,49543.94,2023-07-13,Repellat facilis neque.,aprobada,false,POS,USD,transferencia,18
TX-00166,4522.92,2024-12-30,Corrupti eos ullam eos.,aprobada,false,transferencia,USD,salud,8
TX-00167,9279.64,2023-09-04,Commodi voluptatem est sint.,aprobada,false,POS,GTQ,educacion,12
TX-00168,18032.93,2023-12-16,Suscipit velit rem.,rechazada,false,POS,GTQ,transporte,16
TX-00169,15921.7,2024-06-26,Fugit laudantium.,rechazada,false,transferencia,USD,salud,5
TX-00170,44528.11,2023-12-22,Nesciunt eaque excepturi.,aprobada,false,POS,GTQ,alimentacion,1
TX-00171,7541.62,2024-05-01,Magnam ratione aliquid.,aprobada,false,ATM,GTQ,educacion,16
TX-00172,49192.86,2024-08-16,Optio culpa tempore.,pendiente,false,POS,USD,retiro_efectivo,9
TX-00173,5022.08,2024-05-30,Quas mollitia atque deserunt veritatis.,revertida,false,online,GTQ,viajes,14
TX-00174,7396.48,2024-01-11,Accusantium perferendis et debitis.,aprobada,false,POS,GTQ,viajes,6
TX-00175,45362.08,2023-11-18,Eveniet deserunt.,aprobada,false,transferencia,GTQ,salud,13
TX-00176,34264.27,2024-06-20,Provident esse repudiandae asperiores praesentium.,aprobada,false,app_movil,USD,retiro_efectivo,1
TX-00177,8508.22,2024-01-06,Explicabo rerum.,aprobada,false,POS,GTQ,entretenimiento,18
TX-00178,23346.87,2024-11-11,Sit neque iure cumque earum.,aprobada,false,online,GTQ,salud,12
TX-00179,832.15,2024-07-21,Laudantium earum veritatis dolorum.,aprobada,false,ATM,GTQ,alimentacion,7
TX-00180,19712.64,2023-06-05,Vitae fuga illum quos.,aprobada,false,ATM,GTQ,alimentacion,23
TX-00181,44528.6,2023-11-16,Facere repellat deserunt.,aprobada,false,ATM,GTQ,retiro_efectivo,22
TX-00182,24985.49,2024-08-07,Odio doloribus quidem.,rechazada,false,online,GTQ,transporte,21
TX-00183,42663.14,2024-12-25,Exercitationem fugit molestiae nam amet.,aprobada,false,ATM,GTQ,alimentacion,8
TX-00184,35669.35,2024-12-07,Quam itaque similique laboriosam itaque.,aprobada,false,POS,GTQ,viajes,1
TX-00185,8954.4,2023-05-28,Occaecati perferendis ipsam maiores hic.,aprobada,false,app_movil,GTQ,ropa,13
TX-00186,14512.31,2023-01-03,Tenetur natus.,rechazada,false,online,GTQ,ropa,2
TX-00187,8150.44,2024-08-11,Dolores minima ut assumenda et.,aprobada,false,app_movil,GTQ,transporte,4
TX-00188,26357.16,2023-03-23,Velit doloribus qui fugit.,aprobada,false,transferencia,GTQ,viajes,9
TX-00189,43316.59,2023-01-07,A dolorum accusantium.,aprobada,false,POS,GTQ,transferencia,5
TX-00190,13099.72,2024-11-06,Eaque sed praesentium iure.,aprobada,false,POS,GTQ,retiro_efectivo,14
TX-00191,45451.62,2024-01-24,Non eveniet eos illo.,rechazada,false,transferencia,USD,entretenimiento,3
TX-00192,48220.55,2024-03-02,Placeat optio distinctio repellendus.,pendiente,false,online,GTQ,servicios,2
TX-00193,49337.69,2023-08-15,Harum enim aspernatur ducimus dicta.,aprobada,false,online,USD,entretenimiento,10
TX-00194,2808.36,2023-07-01,Officia assumenda inventore id nihil.,pendiente,false,app_movil,USD,educacion,11
TX-00195,28616.05,2023-12-21,Quae ipsa fugiat.,aprobada,false,ATM,GTQ,educacion,16
TX-00196,3822.47,2023-03-11,Ducimus maiores.,rechazada,false,POS,GTQ,alimentacion,14
TX-00197,25795.33,2023-01-25,Enim quas quis.,aprobada,false,ATM,GTQ,alimentacion,19
TX-00198,21691.72,2023-04-07,Perferendis dolorum eos aut.,revertida,false,POS,GTQ,ropa,13
TX-00199,9968.03,2023-05-05,Tempore adipisci ea quibusdam at.,aprobada,false,ATM,GTQ,transporte,21
TX-00200,17848.02,2023-03-09,Corporis ad facere.,aprobada,false,transferencia,GTQ,retiro_efectivo,10
TX-00201,8896.88,2023-01-06,Reprehenderit deleniti expedita.,aprobada,false,online,USD,entretenimiento,18
TX-00202,17833.33,2024-10-31,Eveniet iste sint.,aprobada,false,transferencia,GTQ,retiro_efectivo,2
TX-00203,5542.03,2024-03-27,Ipsa eaque nemo dolorum.,aprobada,false,online,USD,retiro_efectivo,4
TX-00204,30367.79,2023-06-20,Voluptatum omnis veniam sit.,aprobada,false,ATM,GTQ,alimentacion,13
TX-00205,36836.12,2024-12-30,Explicabo quos mollitia ullam.,rechazada,false,POS,GTQ,transferencia,15
TX-00206,11938.1,2023-09-10,Est illum numquam.,aprobada,false,transferencia,USD,entretenimiento,9
TX-00207,12537.62,2024-02-11,Ut dolor consectetur quia.,aprobada,false,ATM,USD,salud,15
TX-00208,14791.43,2024-11-26,Atque rerum.,aprobada,false,transferencia,USD,servicios,9
TX-00209,10532.23,2024-08-21,Nam inventore beatae excepturi dolorem.,aprobada,false,online,GTQ,entretenimiento,8
TX-00210,36871.49,2023-01-20,Alias laudantium non esse.,rechazada,false,transferencia,GTQ,alimentacion,11
TX-00211,14381.24,2024-02-26,In minus ipsa hic.,aprobada,false,online,GTQ,entretenimiento,3
TX-00212,15972.98,2023-01-21,Repellendus assumenda eum consequatur.,aprobada,false,POS,GTQ,alimentacion,16
TX-00213,25562.77,2024-05-22,Pariatur sapiente.,rechazada,false,online,GTQ,ropa,21
TX-00214,27859.12,2023-08-05,Dolorem sit quidem atque.,aprobada,false,online,GTQ,entretenimiento,3
TX-00215,24170.29,2023-10-23,Inventore molestiae.,aprobada,false,transferencia,GTQ,transferencia,1
TX-00216,34593.83,2024-04-27,Ex fuga.,aprobada,false,transferencia,GTQ,educacion,3
TX-00217,10028.46,2023-09-20,Assumenda excepturi a rem.,rechazada,false,POS,GTQ,retiro_efectivo,0
TX-00218,13859.28,2024-06-26,Architecto repellat dolorem quia possimus.,aprobada,false,transferencia,GTQ,servicios,22
TX-00219,39038.84,2024-09-05,Quas nulla.,rechazada,false,app_movil,GTQ,viajes,9
TX-00220,10963.91,2024-01-23,Quis illo suscipit aperiam.,pendiente,false,app_movil,USD,educacion,4
TX-00221,5185.81,2023-01-07,Tenetur quos illum.,rechazada,false,app_movil,GTQ,retiro_efectivo,8
TX-00222,29714.66,2024-05-28,Quibusdam iure placeat.,aprobada,false,app_movil,GTQ,ropa,16
TX-00223,33922.25,2024-08-22,Harum dolorum nisi optio.,rechazada,false,ATM,GTQ,alimentacion,17
TX-00224,38688.01,2023-04-30,Sint nemo deserunt.,aprobada,false,transferencia,GTQ,entretenimiento,7
TX-00225,48713.93,2024-01-18,Doloribus occaecati magni.,aprobada,false,online,GTQ,viajes,15
TX-00226,46766.71,2023-08-11,Qui quis exercitationem.,aprobada,false,online,GTQ,transporte,17
TX-00227,26166.76,2024-04-15,A eius autem.,aprobada,false,app_movil,GTQ,educacion,15
TX-00228,12432.19,2023-09-07,Quae repellat impedit.,rechazada,false,transferencia,GTQ,educacion,2
TX-00229,37795.73,2023-08-14,Illo sunt modi natus itaque.,aprobada,false,transferencia,GTQ,transferencia,7
TX-00230,29974.79,2023-05-19,Expedita nesciunt eius.,rechazada,false,online,USD,viajes,7
TX-00231,9418.42,2024-09-06,Sint dolor.,aprobada,false,transferencia,USD,servicios,11
TX-00232,43255.16,2023-04-06,Blanditiis quam tempore possimus.,pendiente,false,online,GTQ,transferencia,22
TX-00233,15235.97,2023-12-03,Accusantium qui eligendi.,rechazada,false,app_movil,GTQ,servicios,23
TX-00234,1856.68,2024-08-25,Impedit rerum.,aprobada,false,app_movil,USD,alimentacion,14
TX-00235,26705.13,2024-09-09,Nostrum doloribus laboriosam.,aprobada,false,app_movil,GTQ,viajes,14
TX-00236,23968.95,2024-04-06,Quae alias tempore architecto excepturi.,revertida,false,online,GTQ,viajes,18
TX-00237,10036.53,2024-12-04,Distinctio accusamus voluptate.,aprobada,false,POS,GTQ,ropa,21
TX-00238,45197.88,2024-08-17,Optio laudantium reprehenderit.,aprobada,false,app_movil,GTQ,alimentacion,17
TX-00239,40519.8,2024-12-23,Porro laboriosam ducimus.,aprobada,false,POS,GTQ,ropa,9
TX-00240,1594.53,2024-12-31,Voluptate impedit excepturi mollitia.,aprobada,false,online,USD,transporte,6
TX-00241,39651.66,2024-04-12,Enim magni eaque.,pendiente,false,transferencia,GTQ,transporte,21
TX-00242,29413.8,2024-02-01,Facilis voluptatem maxime.,aprobada,false,app_movil,GTQ,servicios,18
TX-00243,15417.06,2023-03-13,Inventore quisquam sint ullam.,aprobada,false,app_movil,GTQ,educacion,7
TX-00244,49836.46,2024-03-05,Expedita dignissimos.,aprobada,false,online,GTQ,transporte,14
TX-00245,40462.75,2024-12-11,Distinctio et aperiam.,pendiente,false,app_movil,GTQ,transporte,10
TX-00246,42004.92,2023-06-20,Cupiditate aliquam natus.,aprobada,false,ATM,USD,retiro_efectivo,18
TX-00247,18357.91,2024-10-26,In amet.,aprobada,false,transferencia,GTQ,transferencia,16
TX-00248,31229.79,2024-02-19,Repellendus suscipit odit.,revertida,false,transferencia,GTQ,retiro_efectivo,2
TX-00249,49969.44,2023-12-09,Deserunt nostrum illum.,aprobada,false,online,USD,salud,21
TX-00250,35310.8,2023-10-12,Consectetur animi neque cum.,aprobada,false,ATM,GTQ,viajes,1
TX-00251,18426.82,2024-02-18,Repellat magnam optio tempore officia.,aprobada,false,transferencia,USD,alimentacion,10
TX-00252,37571.29,2023-09-19,Vero hic culpa commodi.,aprobada,false,POS,GTQ,transporte,13
TX-00253,248.85,2023-10-06,Accusantium ducimus repudiandae aspernatur.,aprobada,false,online,GTQ,servicios,0
TX-00254,11929.7,2023-05-06,Quos totam quos.,aprobada,false,POS,GTQ,viajes,4
TX-00255,38438.87,2024-09-13,Quas repellendus suscipit.,aprobada,false,POS,GTQ,transferencia,14
TX-00256,36651.49,2024-05-30,Repellendus sit numquam maiores.,aprobada,false,ATM,GTQ,ropa,5
TX-00257,22678.07,2023-07-31,Odio qui ex voluptatum ratione.,aprobada,false,online,USD,educacion,4
